{'短评内容': '房间很安静，入住客人不多，交通也算方便。卫生情况也不错', '短评打分': 5}
{'短评内容': '非常不错的', '短评打分': 5}
{'短评内容': '便宜，环境还不错', '短评打分': 5}
{'短评内容': '在老城区算是不错的了，地毯脏，任何东西都需要花钱消费。连水都没有送，还要7块一瓶。', '短评打分': 4}
{'短评内容': '服务员态度很好，说话豪爽不愧为东北女汉纸，环境整洁、配套设施齐全，性价比蛮高的！', '短评打分': 5}
{'短评内容': '房价臭味很大，行政房，换了大床房，味道小些，管理混乱，牙刷也没放。', '短评打分': 2}
{'短评内容': '环境还不错，人也很好', '短评打分': 5}
{'短评内容': '设施很好干净', '短评打分': 5}
{'短评内容': '环境很好，前台服务态度也非常棒，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店外观很豪华，一至三楼是餐厅，吃饭很方便，只有四楼是客房，客房设施有点旧，周边环境差', '短评打分': 4}
{'短评内容': '酒店外观很豪华，一至三楼是餐厅，吃饭很方便，只有四楼是客房，客房设施有点旧，周边环境差', '短评打分': 4}
{'短评内容': '不错，不错啊，啊啊啊，真的不错啊！！！！', '短评打分': 3}
{'短评内容': '环境不错，服务到位，下次还会来', '短评打分': 3}
{'短评内容': '性价比超级高的一家酒店，新装修的，不错！', '短评打分': 3}
