{'短评内容': '脏、乱、差！各种脏、卫生间、床上用品更是！', '短评打分': 1}
{'短评内容': '有三人，总体良好。房间隔音一般略有点贵', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '周边很方便', '短评打分': 4}
{'短评内容': '……………………可以………………', '短评打分': 4}
{'短评内容': '可以………………………………', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '一般，无限还可以哦', '短评打分': 3}
{'短评内容': '感觉房间不值那个价钱…', '短评打分': 3}
{'短评内容': '每次出差到这里，都是住在这个酒店，主要是离我办事的地方近，出行交通也是很方便，最主要的就是周边的生活配套，有几家面馆和羊汤馆，味道很不错。。。', '短评打分': 4}
{'短评内容': '总体还不错 50能住那样的房间。  狗狗好。', '短评打分': 3}
{'短评内容': '价格实惠！出行方便！', '短评打分': 3}
{'短评内容': '环境不好，房间很小，壁纸很脏。不过很暖和', '短评打分': 1}
