{'短评内容': '出差赶飞机住宿还不错，每半小时都要车送机场。', '短评打分': 4}
{'短评内容': '没吃早餐，房间小，被子薄，需用空调，只是离机场近，方便，早上有车送，自己步行到机场也只需要10分钟，赶机挺方便。', '短评打分': 3}
{'短评内容': '酒店地板灰尘有点大，水温不够高', '短评打分': 4}
{'短评内容': '有停车场，离机场近', '短评打分': 5}
{'短评内容': '位置离机场八九分吧', '短评打分': 5}
{'短评内容': '房间较小较旧较简陋，卫生一般，茶盘里居然有一只死苍蝇，可能是刚打过药吧，其实主要是周围环境太差，后面是一条臭水沟，济南机场的宾馆区都在这片，环境都很差，好在这是连锁店，可靠些，还有院内停车场，私人的宾馆都是停在门口路边，到处是土。总之大床房230还行吧，可以开发票。', '短评打分': 4}
{'短评内容': '非常不错  京东大爱，已经离不开了 玩不腻 每天都关注  宝宝衣食住行都靠京东，活动多价格弹性大 特喜欢', '短评打分': 5}
{'短评内容': '速度快，服务态度好，为消费者想', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 5}
{'短评内容': '很好，每次去都住这里，', '短评打分': 5}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间还可以就是有点小', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '朋友推荐，不错', '短评打分': 5}
{'短评内容': '挺不错的。。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '方便，经济，干净', '短评打分': 4}
{'短评内容': '免费接送 非常好', '短评打分': 5}
{'短评内容': '帮同事定的，同事说还不错', '短评打分': 4}
{'短评内容': '离机场很近，是一个很好的实惠宾馆之选择。价格在机场周边来说还算便宜。一分钱一分货吧。替朋友订的。', '短评打分': 4}
{'短评内容': '房间很宽敞，卫生条件也不错，床上还是比较舒适的，离济南机场也很近，几次赶早去机场都住这里了，有专车接送，非常好。', '短评打分': 5}
{'短评内容': '其他都好就是不明原因噪音大，隔音也差', '短评打分': 5}
{'短评内容': '还可以，装备有点差，但服务很好！', '短评打分': 4}
{'短评内容': '离机场比较近，有接送机服务，比较不错！就是酒店隔音效果有待提高！', '短评打分': 4}
{'短评内容': '离机场方便，接送机很适合在酒店小憩，以后会再次光顾的', '短评打分': 5}
{'短评内容': '还不错，挺好', '短评打分': 5}
