{'descr': '有停车场，方便。', 'star': 4}
{'descr': '位置很好，有停车场。我对酒店非常满意。不仅卫生干净，环境优雅，还方便快捷。下次来石家庄还住这里哦。', 'star': 5}
{'descr': '很快捷，如家这种连锁以短平快取胜，经济实用，是出行的不错选择', 'star': 5}
{'descr': '入住时间比较晚，酒店环境不错，价格公道，服务员态度好，免费给升级了房间，适合短期入住，就是购物有点儿不方便。', 'star': 5}
{'descr': '房间不错，位置方便', 'star': 5}
{'descr': '不错   挺安静   卫生    服务好。', 'star': 5}
{'descr': '非常不错的店，干净整洁，豪华房间挺不错，非常不错的店，干净整洁，豪华房间挺不错，非常不错的店，干净整洁，豪华房间挺不错', 'star': 5}
{'descr': '性价比还可以，价格便宜。', 'star': 4}
{'descr': '整体还可以，价格比较便宜，所以不能要求人家提供星级服务啊！性价比较高。', 'star': 4}
{'descr': '交通十分方便，在院里，周围很安静，一楼有餐厅，吃饭比较方便，经济实惠，房间比较干净，性价比比较好，值得推荐', 'star': 4}
{'descr': '环境不错', 'star': 4}
{'descr': '干净，交通方便，安全，居住很舒适，很暖和，旁边就是公园，环境很好，下次还来，价格合理。', 'star': 5}
{'descr': '比较安静，跟其他如家一样', 'star': 4}
{'descr': '还不错的', 'star': 5}
{'descr': '酒店比较好找，从火车站打车15元。房间内部干净，客房很多。美中不足:餐厅整顿，没有餐！', 'star': 5}
{'descr': '位置很好，周围有公园和民心河，设施也很好，服务员服务态度很好，早餐8元吃到饱。推荐！', 'star': 5}
{'descr': '房间有点小，特惠房没窗户，隔音效果不是很好', 'star': 5}
{'descr': '环境可以，交通方便，价格实惠，实实在在的好', 'star': 5}
{'descr': '—米兰风尚酒店地理位置优越，方便停车，周边餐饮店距离很近。房间设施基本可以满足需要。', 'star': 3}
{'descr': '还可以,入住过多次,有几个楼,比较大的如家,比较好找', 'star': 5}
{'descr': '十房间陈旧，卫生条件待提高。', 'star': 3}
{'descr': '酒店位置不好，难找。设施陈旧，排风扇噪音巨大无比。即使关了排风扇也还有不知从哪儿传来的嗡嗡声，让人彻夜难眠。被子有一股浓烈的烟味儿，毛巾旧的发灰色。是我住过的最差的如家。', 'star': 1}
{'descr': '如家的环境很好、很温馨，赠送了两瓶水。也很安静、交通也很便利，推荐给大家啦', 'star': 5}
{'descr': '酒店位置不错，旁边是个公园，出门，早上是个集市，晚上也有小吃摊，对面是个超市。', 'star': 3}
{'descr': '房间布局很漂亮 服务很贴心 还备有针线包', 'star': 3}
{'descr': '环境舒适,隔音不好。', 'star': 3}
{'descr': '闹中取静，环境不错，房间挺干净，就是这次定的是特惠，没有窗户，暖气应该是地暖，太热了，喝了好几壶水。', 'star': 5}
{'descr': '酒店没拖鞋  ，下床洗个澡什么的不方便 ，屋子太严密，手机一直没信号，想打电话得出去   。', 'star': 3}
{'descr': '还不错，很好值得去住，安静卫生，可以推荐给朋友去住', 'star': 5}
{'descr': '还不错，地理位置比较好，很安静。就是打车不太方便，只有走到西边大街上打车才容易些，回来时因为等半天等不到车差点误了火车。', 'star': 5}
{'descr': '不错，第二次入住了，出入较方便，是出差在外的首选。', 'star': 5}
{'descr': '酒店挺干净的，交通还算方便，总体来讲还是不错的~', 'star': 5}
{'descr': '很满意', 'star': 3}
{'descr': '挺干净的，也很安静。早上出门就是早市，买东西很方便也很便宜。就是早餐有点贵，不如上早市上吃，非常便宜还好吃。', 'star': 5}
{'descr': '如家就是如家，真心好！服务人员的态度非常亲和，周围很安静，又挨着西清公园，早上晚上散散步很方便又惬意~', 'star': 5}
{'descr': '好可以，基本满意', 'star': 3}
{'descr': '一般吧，房间太小，卫生打扫的不够仔细。尤其是洗澡没有护发素很别扭', 'star': 5}
{'descr': '性价比OK,餐厅的菜OK,房间算大,适合出差人事住住', 'star': 5}
{'descr': '环境还算幽静，换了几次房，服务态度还行。餐厅的饭菜做得不错，也实惠！', 'star': 5}
{'descr': '地方有点偏，而且服务跟不上，网线、电蚊香都需要自己下楼去拿~', 'star': 1}
{'descr': '还好', 'star': 3}
{'descr': '家间还行，只是比较偏，也许运气不好，我房间看到一只大老鼠爬上吊顶', 'star': 3}
{'descr': '太吵了', 'star': 3}
{'descr': '服务态度不错！！！不过应该把房间物品应该查验清楚。', 'star': 5}
{'descr': '环境还好,但隔音不是一般的糟.服务员下午收拾东西和隔壁客人夜里四点的喧哗直如在耳边,无法入睡.', 'star': 3}
{'descr': '好吵，火车在外面跑啊跑啊的。还有早上起来突然发现浴巾和床单都是破的。', 'star': 1}
{'descr': '缺点：有点小贵189元，卫生间隔音不好，总能听到楼上的水声，房间太小，早点12元很一般\n优点：服务周到，热情。门口就可以直接买火车票，省了去车站排队了这点方便，', 'star': 1}
{'descr': '这家酒店已经住了很多次了,环境很好,服务很给力!', 'star': 5}
{'descr': '酒店住了很多次了，尤其是冰天雪地的时候，房间很暖和，服务态度也好，现在入住还有优惠券，下次还住这里。', 'star': 5}
{'descr': '很专业的酒店，前台服务相当专业！唯一就是门牌号，很让人疑惑，让人以为是十几楼呢。呵呵！', 'star': 5}
{'descr': '酒店环境好，周边交通便利，希望继续努力，下次还住这里。顶一下！', 'star': 5}
{'descr': '这家酒店住了很多次，环境好，服务态度HOT，非常喜欢这里，希望继续努力，就是房间的隔音效果一般，有时候晚上在走廊就能听到房间里的动静，希望能够改进一下。', 'star': 5}
{'descr': '比较安静，服务也不错，房间较其他如家感觉大了不少！', 'star': 5}
{'descr': '这家酒店已经住过很多次了，服务态度，环境设施都很好，就是前台入住的客人多，办理入住要花时间。', 'star': 5}
{'descr': '服务很满意', 'star': 3}
{'descr': '酒店位置很好，打车方便。服务人员态度热情，我已经住过几次了，下次还会住这里的。顶！', 'star': 5}
{'descr': '刚入冬，酒店的暖气有点太热，但是酒店却只有很厚的冬被，孩子热的上火了。希望酒店能增加备用的薄被子，以满足不同客户的需求！', 'star': 5}
{'descr': '酒店不错，性价比也挺高的，特舒适，希望朋友们多了解。', 'star': 5}
{'descr': '如家都一个样 干净！\n房间挺温馨的 \n电视的台数也很多 早餐没吃到 不知道有什么\n本人特喜欢吃酒店的早餐 不知道为啥~~~', 'star': 5}
{'descr': '环境、卫生、服务都不错。前台服务员有时就一名，办手续有时稍慢。', 'star': 5}
{'descr': '很干净，服务也很好，很满意。', 'star': 5}
{'descr': '晚上会有轰轰的放水声一样的声音，很吵，而且会吵一个晚上，睡不好。', 'star': 5}
{'descr': '比较干净,相对舒适。性价比还行', 'star': 5}
{'descr': '服务态度好，房间干净舒适，下次来还住这里。', 'star': 5}
{'descr': '第一次住，周围环境不错，闹中取静，旁边有条小河。', 'star': 5}
{'descr': '地理位置好，房间内部环境也很好。。总之比较舒服。', 'star': 3}
{'descr': '位置很好，环境也不错。挺好的，，赞一个咯。。。。', 'star': 5}
{'descr': '这还行', 'star': 5}
{'descr': '要是能合作水床就更好了', 'star': 3}
{'descr': '干净整洁', 'star': 5}
{'descr': '至少我看来还好，挺不错的，前台工作人员很为顾客考虑', 'star': 5}
{'descr': '就是地方不好找，外面的标识不多，找了一会儿才找到。别的方面都很好~', 'star': 5}
{'descr': '在经济型酒店中，价位稍高些。\r\n\r\n临近民心河，环境不错。', 'star': 5}
{'descr': '条件一般，性价比一般', 'star': 5}
{'descr': 'hen hao ', 'star': 3}
{'descr': '环境不错,干净,服务比较热情。就是早餐的品种比较少。总体还算满意', 'star': 5}
{'descr': '基本尚可，但是有流莺出入，影响休息', 'star': 5}
{'descr': '服务态度都不错啊', 'star': 5}
{'descr': '还不错，服务态度很好', 'star': 5}
{'descr': '感觉不是很好，性价比不高，管理有点乱。', 'star': 3}
{'descr': '整体感觉如家不如锦江之星舒适一点，并且价格偏高。', 'star': 1}
{'descr': '其他都好 就是隔音太悲剧了。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '经济，推荐', 'star': 5}
{'descr': '总的说还可以.', 'star': 5}
{'descr': '整体上还是很不错的，值得推荐', 'star': 3}
{'descr': '很不错', 'star': 5}
{'descr': '酒店的环境还不错，位置也方便，我觉得性家比还可以，我比较满意 ', 'star': 3}
{'descr': '服务态度很好！\r\n房间不大，没有衣橱。', 'star': 5}
