{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '总体不错，就是水龙头花洒不好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常棒，， 物超所值得，清洁干净，星级的水平，非常好。', '短评打分': 5}
{'短评内容': '环境很好，服务态度也好', '短评打分': 5}
{'短评内容': '还可以的呢', '短评打分': 5}
{'短评内容': '还不错，价格偏贵', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '卫生较差，床上有头发，床铺有折痕，貌似没洗，马桶有蟑螂，洗脸盆的水龙头洗个手都难，花洒水小，这个价格相对较高，不值！服务员的态度就很好！', '短评打分': 4}
{'短评内容': '门口单行道，对出行有点影响。第一天的浴巾太差。第二天换新的还好。', '短评打分': 4}
{'短评内容': '门口单行道，对出行有点影响。第一天的浴巾太差。第二天换新的还好。', '短评打分': 4}
{'短评内容': '不错的酒店，下次来还住这里', '短评打分': 5}
