{'descr': '周围吃饭的地方多，停车不方便，硬件差，早餐时间短，8点以后就没有了，两点退房不错，性价比还可以。', 'star': 4}
{'descr': '早餐是家常早餐，鸡蛋和粥；不能加床，可以带孩子，有停车场，位置不错，交通方便', 'star': 5}
{'descr': '空间适中', 'star': 5}
{'descr': '！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！好', 'star': 4}
{'descr': '不怎么样', 'star': 2}
{'descr': '一般吧！', 'star': 3}
{'descr': '不满意', 'star': 3}
{'descr': '还凑合吧，反正也不贵', 'star': 3}
{'descr': '环境不错', 'star': 5}
{'descr': '觉得还好的', 'star': 5}
{'descr': '环境一般，Wi-Fi速度很慢，', 'star': 3}
{'descr': '垃圾', 'star': 1}
{'descr': '一般', 'star': 3}
{'descr': '预订时要求有无线宽带结果没有隔音差，托鞋洗澡后滑还让人滑倒了', 'star': 3}
{'descr': '房间环境差，空调不管用。以后不会考虑这家酒店了。', 'star': 3}
{'descr': '还不错，这个价格还好，房间也算干净，网速也还行。', 'star': 5}
{'descr': '房间简单干净，性价比高，主要是位置方便，出门打车容易。另外隔音效果还不错，环境较安静，很不错，可以推荐给朋友', 'star': 5}
{'descr': '不贵 性价比较高 周边条件挺好的 公交购物饭店超市都有 服务态度也特别到位 就是酒店不临街需要提前找一下 还有就是毛巾不好', 'star': 5}
{'descr': '酒店位置比较偏僻，外地人很难找，房内物品不是比较一般，对得起这个价格，总之是物美价廉～', 'star': 5}
{'descr': '服务态度差不说,房间蟑螂多,在桌子上爬来爬去.蚊子咬的没法睡.太差了', 'star': 1}
{'descr': ' 刚刚入住 感觉很干净 服务也好 性价比很高 推荐！', 'star': 3}
{'descr': '房间很干净，关键是去机场很方便，对面打的士二十元左右就到机场了。', 'star': 5}
{'descr': '环境不错，挺清净的，就是基础设施不太好，毛巾发黑', 'star': 5}
{'descr': '比较一般的酒店，有点简陋，尤其是洗漱用品。', 'star': 1}
{'descr': '服务还行，设施太差，尤其是卫生用品很低劣。', 'star': 1}
{'descr': '条件太差，和网上不一样，还没有之前住过的维客宾馆服装城店号', 'star': 3}
{'descr': '不错，欢迎大家来住，我很喜欢这个酒店，下次还来。', 'star': 5}
{'descr': '离办事的地方很近，来回方便，性价比很好，不错', 'star': 5}
{'descr': '有停车场,真是不错,房间也可以', 'star': 3}
{'descr': '今日商务酒店干净清洁,性价比较高,位置较偏,头次来的不好找,餐厅物美价廉。', 'star': 3}
{'descr': '不錯．．．．環境也還行．．．價錢實惠．．．！嘻嘻．．．．', 'star': 5}
{'descr': '酒店价格实惠 卫生干净 只是第一次去的时候不好找 以后去就方便了 ', 'star': 5}
{'descr': '服务态度很好，很干净卫生，交通比较便利~~~~~~~~~~~', 'star': 5}
