{'短评内容': '，测定', '短评打分': 5}
{'短评内容': '蛮不错的', '短评打分': 4}
{'短评内容': '最差的一次出差体验，首先，刚到酒店，前台就丧着脸，跟欠她钱似的，房间非常脏，马桶上都是尿的痕迹，空调温度上来的非常慢，很冷，听出租车说周围都是小姐，经常有带小姐的过来开房，心里更别扭了，本来出差要住几天，住了一天就受不了了，赶紧换了个酒店。', '短评打分': 1}
{'短评内容': '已经多次住静雅酒店，特别是早餐很丰盛可口！', '短评打分': 5}
{'短评内容': '真心不错，价格实惠干净卫生，服务员非常热情，我这边业务负责山东地区所以每次来滕州都会入住静雅酒店', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '垃圾中的战斗机，付完款去房间看了立马退房走人！原因如下：1、到房间时门是开着的，旁边的房间门也是开着的，并且无安全锁链，门锁有明显撬开过的痕迹，让人感觉不安全。2、房间里有发霉的味道，枕头被褥有烟味。3、卫生间的天花板都脱皮了，毛巾感觉用了好几年了，脱毛了都。酒店对不住“静雅”这俩字。', '短评打分': 2}
{'短评内容': '酒店地理位置优越，酒店配套软硬设施齐全，交通比较便捷，早餐品种略显单调，整体感觉还可以，是商务之旅不错的选择。  ', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体还行，可能是去晚了，感觉早餐不是很丰富。', '短评打分': 4}
{'短评内容': '周边好差 4分', '短评打分': 2}
{'短评内容': '电视就十个台，房间挺小！', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '酒店有点旧，卫生条件一般。', '短评打分': 3}
{'短评内容': '不错，滕州最好的酒店了，早餐挺好，交通方便。', '短评打分': 5}
{'短评内容': '不灵。位置太偏，硬件设施还行，软件没达到四星标准', '短评打分': 1}
{'短评内容': '酒店还可以，在当地算不错了，有的房间有霉味，换个房间就好了', '短评打分': 3}
{'短评内容': '酒店很差，看上去挺好，但是配套设施很不完善，而且服务很差，尤其是前台那两个女的', '短评打分': 1}
