{'短评内容': '卫生干净价格也便宜 停车也比较方便早餐没去吃不知道怎么样', '短评打分': 5}
{'短评内容': '距离广元火车站很近，出站后步行5分钟即到。', '短评打分': 5}
{'短评内容': '酒店很干净', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以住', '短评打分': 5}
{'短评内容': '不错的酒店，', '短评打分': 5}
{'短评内容': '这个价格，这样的酒店还可以吧。至少房间挺大的，就是早餐有待改善', '短评打分': 5}
{'短评内容': '酒店设施很齐全，有吹风机，环境很好，房间很大。酒店对面的面条很好吃', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '快乐健健康康快快乐乐', '短评打分': 5}
{'短评内容': '酒店不错呀，酒店不错呀', '短评打分': 5}
{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错～', '短评打分': 4}
{'短评内容': '酒店很干净，设施齐全，离火车站和长途汽车站非常近，离皇泽寺景区也很近，附近公交线路多，出行方便。下次去广元还会继续住这一家的', '短评打分': 5}
{'短评内容': '酒店很好，这个价位的酒店比的上有些地方的五星级，', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '酒店不错，我那间朝向不好，不知道有没朝江房', '短评打分': 4}
{'短评内容': '老地方，更舒适', '短评打分': 5}
{'短评内容': '基本挺好的', '短评打分': 4}
