{'短评内容': '房间真心不错。性价比高', '短评打分': 5}
{'短评内容': '去郑州一直都在这住', '短评打分': 5}
{'短评内容': '房间干净卫生，停车方便。', '短评打分': 5}
{'短评内容': '一直在这酒店住，这次住的房间床有点问题，吱吱啦啦的。整晚没睡好，其他方面还是不错的，临街还是有点小吵。', '短评打分': 5}
{'短评内容': '位置很好，房间很干净，我住的郑州性价比最高的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不错，价格不贵。', '短评打分': 5}
{'短评内容': '价格便宜，干净卫生。', '短评打分': 5}
{'短评内容': '852369', '短评打分': 5}
{'短评内容': '！！！！！！！可以！！！！', '短评打分': 5}
{'短评内容': '！！！！！！！可以！！！！', '短评打分': 5}
{'短评内容': '还行就是打扫有点拖拉', '短评打分': 5}
{'短评内容': '很好，性价比高！！！！', '短评打分': 5}
{'短评内容': '还不错，12点退房时间有点早，服务更好的话就更好了。', '短评打分': 4}
{'短评内容': '房间比较小而旧，而且感觉好脏，所谓的豪华房也不过就是重新装修了一下，而且还有气味。', '短评打分': 3}
{'短评内容': '硬件比较老旧，床品很干净。昨晚房间突然停电，还好服务台小伙子及时来到，换了房间。其他的豆还可以。', '短评打分': 4}
{'短评内容': '每次来郑州大多都会住此酒店、地理位置很好、房间很大、服务也不错、价格也合理、唯一欠缺的是设施比较陈旧、但听服务员说近期在逐步修正。', '短评打分': 5}
{'短评内容': '還行吧！必竟是去工作的 只有晚上回去睡覺而已', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '性价比还行吧', '短评打分': 4}
{'短评内容': '挺好的，多次入住', '短评打分': 5}
{'短评内容': '住过好几次了，挺不错的，特别是早餐味道不错！', '短评打分': 5}
{'短评内容': '房间不行，太小，服务态度差，总之垃圾！晚上还会停电，来电之后电脑上不了网！', '短评打分': 1}
{'短评内容': '酒店的大床商务房间并不比上次居住的“乐居房”强多少，只是洗浴的龙头大些。这家酒店的优点是隔音效果比较好。和周围其它酒店比性价比强', '短评打分': 3}
{'短评内容': '不错，很值！饭菜很不错~~~很喜欢\n比较安静，不吵~服务员态度不错', '短评打分': 5}
{'短评内容': '很不错，服务态度很好。房间布置的也不错。', '短评打分': 5}
{'短评内容': '酒店交通挺方便的，就是吃饭的地方不好找，房间整体还不错，就是沐浴头固定了，洗的不太爽', '短评打分': 5}
{'短评内容': '很不错，服务很好。房价布置的也不错。就是吃饭不方便。', '短评打分': 5}
{'短评内容': '酒店的性价比还是不错的噢！稍微旧了一点，其他还好', '短评打分': 5}
{'短评内容': '各方面不错，总体满意。装修方面不是很细致，淋浴喷头不可移动，宝宝洗澡不方便。over', '短评打分': 3}
{'短评内容': '酒店服务非常好！酒店前台态度非常佳！性价比还是可以的！', '短评打分': 5}
{'短评内容': '住过好几次，卫生间洗浴淋喷头是固定的，建议换下活动的，毛巾洗的不干净，总台有个服务员服务态度很差！', '短评打分': 5}
{'短评内容': '一般吧，房间蛮干净，前台服务员态度不咋样。', '短评打分': 3}
{'短评内容': '我住的是“乐居房”，房间装修简约、实用，卫生良好，符合快捷酒店的概念。不足是：1、淋雨固定，不能手持，女人不方便；2、没有吹风机', '短评打分': 3}
{'短评内容': '环境还是不错的，就是我发现这家酒店的牙刷有可能是二次利用的，拆开袋子以后牙刷柄上都是白色的物质。没有早餐，说是帮忙叫车结果我们等了四十分钟还是自己出门打的车。', '短评打分': 5}
{'短评内容': '很不错的酒店。也很舒服。位置还好吧。也好找。', '短评打分': 5}
{'短评内容': '位置、早餐、停车都不错，只是朝向马路一面晚上休息环境有点噪杂，可以推荐。', '短评打分': 3}
{'短评内容': '交通方便，卫生尚可，性价比比较高，值得推荐。', '短评打分': 5}
{'短评内容': '入住的是乐居房，价格便宜，房间也不算很小。\n优点：很干净，服务人员的态度很好，出门就是苏荷，离国贸也比较近\n缺点：宽带是网线式的，没有WIFI，但网速还可以。热水水压不稳，需要放水一段时间后才能正常，房间是中午12点退房。', '短评打分': 5}
{'短评内容': '酒店不错，很理想，，，', '短评打分': 3}
{'短评内容': '酒店位置卫生都不错，早餐也比较丰富。但临街房间夜晚有点不安静。', '短评打分': 5}
{'短评内容': '酒店很干净，环境也不错，旁边就是苏荷酒吧，下次还会住那里。\n', '短评打分': 5}
{'短评内容': '太热，结账离开时我告知有急事，服务员还是照本宣科，打发票也很慢，值得不要。', '短评打分': 1}
{'短评内容': '酒店位置非常好，饭店、酒吧出门就有，邻近大商等大型购物中心。房间内部简洁整齐，用餐可送至房间，以后会继续住', '短评打分': 5}
{'短评内容': '酒店地理位置还可以，就是整体服务不够专业性，尤其是前台。', '短评打分': 5}
{'短评内容': '性价比不错，干净卫生，交通便利，周边生活方便。', '短评打分': 5}
{'短评内容': '硬件设施还可以，但是软件比较差。房间内没有吹风机，要了多次，说没有！酒店总有很多人在开会，早餐和午餐总是吃不到什么东西，服务不行。', '短评打分': 1}
{'短评内容': '感觉不错，比较新，就是有点吵，靠近花园路，还有自助午餐不好吃！', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 3}
{'短评内容': ' 房間算乾淨，煙味不算重，週邊商圈很多。下次還會考慮入住。', '短评打分': 3}
{'短评内容': '就是一个快捷酒店，位置好，但开车进出不太方便。楼下有酒吧和KTV，夜生活好打发。', '短评打分': 1}
{'短评内容': '房间不大，但很干净整洁，离酒店不远就是大超市，购物也方便，不理想的就是打车不方便', '短评打分': 5}
{'短评内容': '酒店各种条件不错,环境有点嘈杂。', '短评打分': 3}
{'短评内容': '地理位置不错，为了能上网特地订的数码房，结果一直断网，房间也不干净，性价比差。', '短评打分': 1}
{'短评内容': '依然是令人满意的酒店依然是令人依然是令人满意的依然是令人满意的酒店酒店满意的酒店依然是令人满意的酒店依然是令人满意的酒店', '短评打分': 5}
