{'descr': '总体来说很方便，附近有饭店小吃', 'star': 5}
{'descr': '好行，就是没入住不能取消的', 'star': 4}
{'descr': '酒店的配套交通各方面都还不错。，因为我是会员，向店方表示我要两点钟退房。没想到酒店方竞说我不是在官网订的。不能享受，这令我很失望，我在全国的锦江之星住下来。第一次听到这样的解释。真是无语。希望常州锦江之星在酒店服务员好好教育为客人服务好', 'star': 4}
{'descr': '没入住可以退么？', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '常住这一家，第一次用京东订。价格也是蛮优惠的。就是预订说含单早前台却并没说明或提示，并表示不清楚。', 'star': 5}
{'descr': '选了好多酒店，最终选择了这家，干净，很安静。', 'star': 5}
{'descr': '每次到常州首选，地理位置好，交通便捷。房间也不错', 'star': 5}
{'descr': '性价比不错', 'star': 5}
{'descr': '我订的商务房，地板都是破的，床单上还有长头发，感觉都没换洗的，脏死了', 'star': 3}
{'descr': '还不错，就是窗户靠着鼓风机，夜里有点吵。', 'star': 5}
{'descr': '酒店环境，卫生，服务很不错，下次还在这家入住，赞', 'star': 4}
{'descr': '酒店服务热情周到，住宿环境卫生，清静，下次还在此入住，很不错呀！', 'star': 4}
{'descr': '环境不错，比较安静，挺干净', 'star': 5}
{'descr': '还不错 和之前住的比 地方不大', 'star': 5}
{'descr': '不错 就是不好停车', 'star': 5}
{'descr': '性价比还是很高的。', 'star': 3}
{'descr': '床铺很舒适，地段也不错！洗澡的水温也很适宜。', 'star': 5}
{'descr': '很好，很贴心。房间内的挂衣架正对空调，很方便洗衣服后利用空调吹风吹干衣服。卫生间也不是对着床，而是对着门廊。', 'star': 5}
{'descr': '锦江的床很舒服，因为是假期所以价格有点高。平时价格不是很高', 'star': 5}
{'descr': '还行吧，支持一下，常州这边酒店比其他同等城市同等酒店感觉都好了不少~~~，这个性价比也很高，只是房间隔音效果差了点，晚上隔壁睡觉打呼噜都能听到', 'star': 5}
{'descr': '还不错了，比汉庭好，还更便宜~~~~~~~~~~~~~', 'star': 5}
{'descr': '还可以，干净，有档次~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '房间很干净，外面也不吵，住得很舒服。', 'star': 3}
{'descr': '挺干净的', 'star': 3}
{'descr': '交通方便，门口就是西新桥BRT站牌，打车到火车站北广场12块钱足以。很不错！就是附近商超都没有，不太方便，买什么都得走很远，或者坐车。旁边是豪生酒店，压力大~', 'star': 5}
{'descr': '房间不错很干净，不过我住的这间房间窗户的靠近天井，而且采光不是很好！', 'star': 5}
{'descr': '总体上很不错。还可以的，很方便。', 'star': 3}
{'descr': '确实不错，交通很方便，干净、宁静、舒适。前台小姐很热情。', 'star': 3}
{'descr': '环境不错 物美价廉 地点交通方便，比较适合出差旅游', 'star': 5}
{'descr': '地理位置不错，到火车站较近。但窗外的风声有点大，可能是两栋楼间空隙较小。', 'star': 5}
{'descr': '很方便，，很不错。值得入住啊！边上就是快速公交线', 'star': 5}
{'descr': '位置不错，就是周围没啥吃饭的地方，酒店整洁干净，性价比还不错。', 'star': 5}
{'descr': '整体环境还可以，比较舒适，干净卫生。\n位置离火车站很近，公交车也就4-5站', 'star': 5}
{'descr': '整体感觉不错，吃的也还好，下次去常州还是会住此酒店的！', 'star': 5}
{'descr': '环境还可以...就是当到了退房时间没有电话通知 就直接断掉房间的电源 这个有点不好', 'star': 5}
{'descr': '酒店总体感觉不错，就是单人间B是暗窗，感觉不好', 'star': 5}
{'descr': '房间挺温馨的，虽然小了点，但是也算高性价比了吧。\n\n隔音稍差，此外都挺满意', 'star': 5}
{'descr': '单人间袖珍、干净、该有的都有，最重要的是价格合理、地理位置好。', 'star': 5}
{'descr': ' 很安静，环境不错，卫生很好。', 'star': 3}
{'descr': '条件非常的好、住着很舒适、交通也方便、尽管比其他酒店稍贵、还是很值得的', 'star': 5}
{'descr': '酒店交通很方便，去常州火车站、城铁站、长途汽车站，常州北站都很便捷。酒店里面很干净，房间也比较大，性价比很高。', 'star': 5}
{'descr': '环境不错 服务也很好 各项措施都有很好 干净整洁', 'star': 5}
{'descr': '交通方便，2人住了单人间一晚，也很舒服。房间设施和照明等，都比较令人满意，床比较软', 'star': 5}
{'descr': '位置很好，酒店设施也很新，不错！门口就是BRT~', 'star': 5}
{'descr': '不错，干净，整洁，但网速有点慢，但还能接受', 'star': 5}
{'descr': '环境非常不错，交通便利，室内干净舒适，特别是洗澡水的水量和温度特别适合，以后还会继续入住贵酒店。', 'star': 5}
{'descr': '服务很好，房间都比较干净整洁，整体感觉不错。', 'star': 5}
{'descr': '酒店地理位置优越，进出办事交通很便利。客房内宽敞整洁，整体式的卫浴也很清爽。性价比超高！', 'star': 5}
{'descr': '好酒店，好评！房间设计风格简约温馨，住着挺舒服。唯一遗憾的是自带的餐厅只能提供简餐，不是锦江大厨无法点菜。', 'star': 5}
{'descr': '酒店本身不错。干净，卫生，舒适。只是吃饭太不方便。附近连买瓶水的地方都没有。', 'star': 3}
{'descr': '还不错，房间虽然很紧凑，但是很温馨，价格公道，附近交通很方便，值得', 'star': 5}
{'descr': '交通便捷，住的挺舒适的。就是周围有人施工，有点灰，其它还不错。', 'star': 5}
{'descr': '环境不错，挺干净的。前台服务不错，就是去的路上有点波折。她说的公交路线在高铁出口的巴士站上没有。打了辆的士结果司机不知道地方，到了西新桥问了好几个人才找到。不过交通确实方便，离市中心也就几站路。一回生二回熟，下次去就方便了。', 'star': 5}
