{'短评内容': '价格不贵，环境还可以', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '位置好，方便', '短评打分': 5}
{'短评内容': '跟几十元的旅馆一样，设备太差，卫生也差', '短评打分': 1}
{'短评内容': '不错 下次还来', '短评打分': 5}
{'短评内容': '隔音很差，但是服务人员还是挺友善地', '短评打分': 4}
{'短评内容': '环境还不错，价位也合适', '短评打分': 5}
{'短评内容': '京东订酒店很方便，价格也低。好好好', '短评打分': 5}
{'短评内容': '来考试订的酒店，白天还好，一到晚上边上的ktv动静太大了，吵的直接睡不着，酒店的隔音需要多下功夫呀！', '短评打分': 4}
{'短评内容': '非常不错，环境干净整洁，服务周到，这是第二次入住啦！以后还会继续光顾本店！', '短评打分': 5}
{'短评内容': '还好吧！但房间真的不小，住起来挺方便的！推荐', '短评打分': 5}
{'短评内容': '酒店其他的还好，让我无法忍受的是隔音太差了，不知道隔壁是不是KTV，凌晨了还能听到嘈杂的音乐和歌声，声音还很大，还有快睡着的时候突然听到咳嗽声，以为房间进来人了，吓我一跳，起来看了看，没人，又听到几声咳嗽才明白原来是隔壁的声音，弄得我几乎一晚上没睡好？', '短评打分': 3}
{'短评内容': '感觉还行，有点吵', '短评打分': 4}
{'短评内容': '还可以吧????????????', '短评打分': 5}
{'短评内容': '离ktv太近 晚上根本休息不好 四点多还有嗷嗷唱歌的 一晚上也没休息好 床头遗留了超级浓烈的香水味 我们被熏的都吐了 好在给前台打电话给我们换了个房间 以后不会再来住了 房间里没有牙刷连收费的牙刷也没有 去前台拿免费的 跟我说 要给好评才给 我也是醉了', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '经常住房间被子薄点。其他还好。', '短评打分': 5}
{'短评内容': '第一次定这儿的商务大床给了个有沙发的房间！', '短评打分': 5}
{'短评内容': '性价比不错了 大瓶农夫山泉才五块钱 唯一不好就是低楼层的KTV', '短评打分': 3}
{'短评内容': '傍边KTV太吵，房间布置的像迷宫，不推荐', '短评打分': 1}
{'短评内容': '不错，住的地方很干净，就是晚上有一点吵，总体很好', '短评打分': 5}
{'短评内容': '不错哦！！！！！！！！！！！！！！！！不错哦！！！！！！！！！！！！！！！！', '短评打分': 5}
