{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店热水不太热', '短评打分': 4}
{'短评内容': '非常不错。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '挺不错的，老板娘挺照顾的。', '短评打分': 5}
{'短评内容': '这个房间同事住的，她就拍了一张照片。我们去的时候因为开导航走的，走了好远，其实就在河边的巷子里…KFC对面的巷子里，总体环境还不错，老板人也很好哦(´-ω-`)谢谢', '短评打分': 5}
{'短评内容': '一起定了八间房，都不错', '短评打分': 5}
{'短评内容': '环境，就在虹桥肯德基附近，肯德基对面的胡同里50米左右。离江边 100米左右的距离，靠近江边的胡同口是原始人酒吧，沿着酒吧向里面走100米左右就是酒店，再向右走到头，街对面就是肯德基。下了小巴打听虹桥肯德基就可以了。房间现在住宿很吵，也脏，主要是因为房间后面是一个胡同，胡同对面正在盖房子，白天基本无法休息。半夜酒吧散去时会有车子不时经过。10月下旬的蚊子还是很多。服务，老板不会去巴士下车处接你，但', '短评打分': 4}
{'短评内容': '一分价钱一分货。对得起价格。随便住住，不能抱有太高期望。也算是体验了一回当地客栈。', '短评打分': 3}
{'短评内容': '房间很干净，很大，离虹桥非常近，而且闹中取静。128元的标间超值，下次来还住这！', '短评打分': 5}
{'短评内容': '还行，与描述的基本一致，性价比相符。 ', '短评打分': 4}
{'短评内容': '很好的一次体验，不过开关插座有问题不够灵敏，热水要很久很久才出来。老板娘很好，很好说话', '短评打分': 3}
{'短评内容': '淡季去的，很不错，就是没有电吹风', '短评打分': 3}
{'短评内容': '很好老板人很热情，下次还会住', '短评打分': 3}
{'短评内容': '不错，住的楼顶，可以晾衣服', '短评打分': 3}
