{'短评内容': '位置超级超级好！附近有地铁，有好吃的，好玩的！', '短评打分': 5}
{'短评内容': '房间清净，适合出差入住', '短评打分': 5}
{'短评内容': '还是挺好的，只是隔音有点差', '短评打分': 5}
{'短评内容': '酒店服务还需要加强，环境卫生都不错', '短评打分': 5}
{'短评内容': '不错、就是没窗户、有味道', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '态度好', '短评打分': 5}
{'短评内容': '挺好的，房间灯光效果还可以，卫生间的灯光太过昏黑，照镜子看不清楚，估计是因为卫生间是磨砂玻璃组装的吧。', '短评打分': 4}
{'短评内容': '这家酒店不错地理位置也很好，已经住了好几次了', '短评打分': 5}
{'短评内容': '出差还方便，靠近地铁，出行便利。房间马马虎虎，值这价。', '短评打分': 5}
{'短评内容': '第一次用携程，朋友教我的，挺方便快捷，环境也满意！', '短评打分': 5}
{'短评内容': '迷你房比较小，主要是离地铁口近，去哪里都方便。', '短评打分': 5}
{'短评内容': '无线太慢根本用不了建议加大带宽', '短评打分': 3}
{'短评内容': '别的还行，就房间好小，刚刚比枕头大一点点。', '短评打分': 3}
{'短评内容': '里面环境一般，硬件都有些久，不好试用', '短评打分': 4}
{'短评内容': '迷你房，小巧玲珑，虽然小，但是内在条件还是不错的，设想也周到，可能房间的隔音效果不是很理想，别的也还不错。', '短评打分': 5}
{'短评内容': '不错哦,环境不错,卫生不错,停车方便,值得推荐!\n', '短评打分': 5}
{'短评内容': '太迷你了，床太小，只够一个人睡，不隔音，外面走道过往人声太噪，睡不好。另外无窗空气差。\n如果隔音好听不见走廊声音还算能接受。', '短评打分': 1}
{'短评内容': '一般般啦，迷你房真的很迷你，一张小床就差不多占满了。没窗户，洗手间灯坏了，电视遥控器也有点问题……', '短评打分': 1}
{'短评内容': '，海月酒店交通便利，楼下14路，37路车直到广商，离地铁站也近。就是大伙入住前检查是否有消费品被开要交钱，出现小插曲兴好解决。', '短评打分': 3}
{'短评内容': '总体而言，\u3000性价比一般，\u3000同一价位的房间的大小差别很大，\u3000特别是床的大小。\u3000住之前最好先看一下房间！', '短评打分': 5}
{'短评内容': '吹了一晚上空调，感觉怎么冷呢，早晨才知道原来没有制热功能。隔音太差，隔壁三个老太一晚上叽叽喳喳，**呢！！幸亏第二天**走了。房间里面电话非常不好用，几乎无法使用。硬件差，不过服务还好，电话后，很快就上来说了三个**，但是**继续**，讲一些*语，听起来异常兴奋。真想敲破墙挖个洞看看她们哪里肿了！卫生间还可以的，门口的服务也可以的，借把伞也还没有让“打条”！推荐的小吃街。', '短评打分': 1}
{'短评内容': '非常好~还会再次入住，还有迷你小冰箱，无线网络~~~', '短评打分': 5}
{'短评内容': '酒店很干净，还真是够小，性价比不错。', '短评打分': 3}
{'短评内容': '环境干净，整洁', '短评打分': 3}
{'短评内容': '房间设施老旧，卫生间有异味，卫生间的玻璃门很难关，然后就是卫生间的排气扇老是滴黑水。房间的隔音也不好，连离得很远的电梯到层叮的声音都听得到。\n不过交通确实很方便', '短评打分': 5}
{'短评内容': '房间虽小，但五脏俱全，交通方便是亮点，还回来！', '短评打分': 5}
{'短评内容': '可以啊~ 新年去广州塔倒数，住的这边。环境可以~ 房间卫生也不错。', '短评打分': 5}
{'短评内容': '外部环境较好，房间设备一般，卫生状况80分，床垫质量差', '短评打分': 5}
{'短评内容': '交通便利，服务不错，性价比挺高。值得推荐。', '短评打分': 5}
{'短评内容': '商务房还是不错的.面向小区,挺舒适!主要是交通方便.离琶洲展览馆也不远.', '短评打分': 5}
{'短评内容': '酒店是新装修的，网速还比较快，就是房间小点了，不过性价比还可以', '短评打分': 5}
{'短评内容': '不错很好，很推荐啊不错很好，很推荐啊不错很好，很推荐啊不错很好，很推荐啊', '短评打分': 5}
{'短评内容': '总体感觉还可以，不过里面小细节不好，比如刚电脑的桌子，很小，很不舒服。数字电视节目还是断断续续。类似网络卡的样子。', '短评打分': 5}
{'短评内容': '感觉很不错，服务热情，交通方便。', '短评打分': 3}
{'短评内容': '交通方便，价格可以，房子小，环境不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '赤岗站C1出口出来直行，路口左转，医院的对面就是酒店~不过，不推荐住211号房三人房，无窗又挨近服务员值班桌，半夜对讲机的声音听得清清楚楚，很吵~', '短评打分': 5}
{'短评内容': '还可以，虽然店面小了点，但是里边设施还行', '短评打分': 5}
{'短评内容': '第一次入住就觉得环境不错，交通也很便利，但唯一不足的地方 就是房间小', '短评打分': 5}
{'短评内容': '海月三人间没窗户，大楼外立面搭很多铁架，进出不方便', '短评打分': 3}
{'短评内容': '所在地交通很便利，服务很周到，有求必应，没的说', '短评打分': 5}
{'短评内容': '房间比较小，唯一的窗户是开走廊里，酒店可能刚装修，装修的味道比较大。\n房间比较干净，安全不错，房间外面到处都是摄像头，附近吃饭和交通都比较好，总体来说不错，值得推荐。', '短评打分': 5}
{'短评内容': '房子除了有点小，环境十分干净，交通便捷。', '短评打分': 3}
{'短评内容': '酒店内环境挺好的，就是房间面积太小了，还算满意', '短评打分': 3}
{'短评内容': '很迷你，硬件一般，交通方便，服务好。', '短评打分': 3}
{'短评内容': '环境很干净，环境很干净，环境很干净，环境很干净。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '地理位置不错，房间还可以，有机会还会再订的', '短评打分': 5}
