{'短评内容': '位置很好找，交通特别便利，前台小何妹妹服务很好，很贴心，设施设备齐全，卫生干净，早餐也是棒棒的哟，还有DAY面条。', '短评打分': 5}
{'短评内容': '何雨服务好，性价比高，卫生干净，早餐好，设施设备号，位置好', '短评打分': 5}
{'短评内容': '何雨服务好。位置好，性价比超高，卫生干净，设施设备齐全', '短评打分': 5}
{'短评内容': '房间很好，住的很舒服。', '短评打分': 5}
{'短评内容': '前台张美女服务好，早餐好，性价比高，位置好，设施设备好，卫生干净', '短评打分': 5}
{'短评内容': '早餐好，前台张美女服务好，设施设备好，卫生干净，性价比高，位置好找，下次还来', '短评打分': 5}
{'短评内容': '位置好，性价比超高，卫生干净，前台小何服务好，设施设备齐全。早餐也是棒报告哒', '短评打分': 5}
{'短评内容': '都还是，只是我想问一下。空调吹了一晚上制冷效果居然那么差。', '短评打分': 5}
{'短评内容': '这里的房间舒服，就像回自己家一样，服务很好！我昨天晚上遇到了困难，给前台说了我的困难，前台服务员何雨，立即向店长李喻清请示。店长下班之后，己是晚上23:30了，还为了我的困难专门到店里为我解决问题。我很是感谢。在此，感谢怡家酒店，你们有这样的服务人员，相信你们的服务一定棒棒的。我会常来。在崇州住酒店，就来怡家酒店。价格便宜，服务好！', '短评打分': 5}
{'短评内容': '干净，就是洗澡间有点小。', '短评打分': 5}
{'短评内容': '房间设施比较温馨，前台美女接待热情，总的来说很不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的。很温馨', '短评打分': 5}
{'短评内容': '前台小妹妹人挺可爱的，环境不错不错', '短评打分': 1}
{'短评内容': '环境好前台小吴服务好', '短评打分': 5}
{'短评内容': '环境不错，很干净，价格实惠', '短评打分': 5}
{'短评内容': '卫生有待加强，房间热水不稳定，无线网络信号不好！', '短评打分': 4}
{'短评内容': '超值，愉快的一晚。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间不错，早餐可以，值得推荐', '短评打分': 3}
{'短评内容': '住起来很舒服，而且也很安静，感觉很干净，服务态度蛮好的', '短评打分': 5}
{'短评内容': '酒店位置有点偏而且吃的很少，早餐很差', '短评打分': 3}
{'短评内容': '到店很晚离店很早，没注意太多。送的早餐可以忽略。', '短评打分': 5}
{'短评内容': '很不错，往前走就是西江，不远处就可以吃天主堂鸡片~', '短评打分': 5}
{'短评内容': '酒店很不错，环境和交通都很方便，下次来还住，很好。', '短评打分': 5}
{'短评内容': '还行，会员和翼龙不能同时用,让我很纠结，还就是楼上在施工，好吵。。。', '短评打分': 5}
{'短评内容': '酒店还可以的咯 就是离汽车站远了点  不过206路公交车直达的', '短评打分': 5}
