{'短评内容': '卫生不好！', '短评打分': 2}
{'短评内容': '感觉不是很干净，房间也小，离火车站有点远', '短评打分': 3}
{'短评内容': '感觉不是很干净，房间也小，离火车站有点远', '短评打分': 3}
{'短评内容': '感觉不是很干净，房间也小，离火车站有点远', '短评打分': 3}
{'短评内容': '环境空气都不错，价格合理，就是门松动，隔音效果差点', '短评打分': 5}
{'短评内容': '还不错，房间挺大，网速也可以', '短评打分': 5}
{'短评内容': '不错，出差来的，价格合理，位置也不错', '短评打分': 5}
{'短评内容': '出差一直都住在这，离火车站近，离商场近，都挺好的', '短评打分': 3}
{'短评内容': '很好，干净卫生，价格不高，性价比非常高', '短评打分': 3}
{'短评内容': '不哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '平时出差在这里住已经习惯了！但是这个季节去住房间虽然已供暖，但是还是不热，开着空调，空调不好用，总是乱跳，一会儿冷风一会儿热风，终于睡着了，吹了一晚冷风，第二天降温，早上起来好冷！', '短评打分': 4}
{'短评内容': '好。好 好。好。好。好。好。好。好。好', '短评打分': 3}
{'短评内容': ' 价格便宜，离火车站近', '短评打分': 3}
{'短评内容': ' 洗澡水流有点小，其他的都不错，交通便利，性价比很高，总体来说很好', '短评打分': 3}
{'短评内容': '这家店的早餐还行，环境也比较好，离热闹的地区特别近，价格也很合适，以后还要去住。', '短评打分': 5}
{'短评内容': '每天早上员工会集体读感恩诗，很有意思！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好，房间不错！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境还可以，亮点是离火车站很近，很方便，早餐算是意料之外的，感觉还是实惠的，下次还会入住', '短评打分': 5}
{'短评内容': '房间很新，提供早餐，网速很好，唯一缺陷是没有电梯', '短评打分': 5}
{'短评内容': '环境还不错,卫生间下水也很好,就是没有电脑', '短评打分': 5}
{'短评内容': '很一般，隔音效果不是很好，网速也不是很稳定', '短评打分': 5}
{'短评内容': '还不错 比较满意', '短评打分': 3}
{'短评内容': '硬件实施还可以，基本能满足入住需要。但是服务员态度太差，让人心里很不愉快，如果不是实在没地方，以后不会再选择。', '短评打分': 1}
{'短评内容': '还是不错的住的地方，这个价位已经挺值了。\n稍微不给力点儿的就是卫生间的喷头，水流有点儿小了。\n还有就是自助早餐，连喝的东西都没有，要弄自助就弄大方点儿好不好？', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '位置还可以，走到会战大街不到5分钟，装修挺现代化的，但看得出做工很粗制滥造，粗一看是不错。早餐挺好的，在这个价位的商务快捷酒店里算性价比很高了。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '住起来一般，不过也没什么不太好的地方，就是早餐有时候收的太早了。', '短评打分': 5}
{'短评内容': '不能刷卡是硬伤，请把说明更新一下！网速也很一般', '短评打分': 5}
{'短评内容': '服务基本到位，卫生不错，设施略差。还可以！', '短评打分': 5}
{'短评内容': '房间总体来说一般。不过墙角有霉斑。卫生间有点简陋。房间宽带网速太慢。早餐一般！', '短评打分': 3}
{'短评内容': '设备有点陈旧，总体还是不错！还有就是宾馆外观颜色和对面的7天酒店有点类同。做自己的品牌就用自己的颜色啦', '短评打分': 5}
{'短评内容': '不错.很干净', '短评打分': 3}
