{'descr': '没想到在京东订购酒店还是方便的', 'star': 5}
{'descr': '第一次发现京东可以订酒店就在京东找到了北京一家满意的酒店，个人体验上还是不错的，所以是会有复购的印象。7天还可以，及格分有的，京东订购还可以有一些优惠。', 'star': 5}
{'descr': '第一次发现京东可以订酒店就在京东找到了北京一家满意的酒店，个人体验上还是不错的，所以是会有复购的印象。', 'star': 5}
{'descr': '希望下次携程和酒店能够记住游客的要求。我反复强调了安排安静一点的房间。可是到酒店还是没有了。哎。', 'star': 5}
{'descr': '房间安静 有窗户 干净整洁 服务好 下次再来 ', 'star': 5}
{'descr': '服务热情，环境优美，有早餐，有位置停车，卫生干净，值得推荐', 'star': 5}
{'descr': '酒店服务好，价钱适中，有停车位，有早餐，好吃美味', 'star': 5}
{'descr': '酒店服务设施很好，房间干净，整洁。', 'star': 5}
{'descr': '稍微有点味道，不过地方还是比较方便的。。。', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好！', 'star': 5}
{'descr': '窗户把手坏了，锁不住窗', 'star': 3}
{'descr': '窗户把手坏了，锁不住窗', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '还是可以的', 'star': 5}
{'descr': '差！差！差！ 還未升級到優品，並且還在裝修，到處都是灰，還在接單，建議大家抵制這樣的酒店，等到裝修好在營業吧', 'star': 2}
{'descr': '交通便利，吃饭购物也很方便，环境还可以，下次出差还住这。', 'star': 5}
{'descr': 'ok', 'star': 3}
{'descr': '很好很干净', 'star': 5}
{'descr': '酒店时间长了！设施设备都旧了！希望卫生今后打扫干净！', 'star': 5}
{'descr': '酒店设施一般，早餐说到9点半，9点多一点就没有早餐了，餐厅服务员态度还很恶略，后来跟前台沟通半天，最后前台免费叫了个外卖', 'star': 3}
{'descr': '双床，酒店位置很好，服务一流，环境住宿舒适，是老百姓放心的首选！  ', 'star': 5}
{'descr': '不错，环境好了很多…', 'star': 5}
{'descr': '还可以吧 性价比算是高的了 推荐', 'star': 5}
