{'短评内容': '一般，干净整洁', '短评打分': 3}
{'短评内容': '不错的酒店，离火车站很近，步行5分钟到，方便', '短评打分': 5}
{'短评内容': '酒店位置很好，前台员工的服务态度也很好；我原来预计晚上12点前到店的（订单也是这么要求的）；因为高速公路堵车，我电话联系凌晨1点钟到达，结果很顺利。房间也很宽敞，比较安静，不错。', '短评打分': 5}
{'短评内容': '房间实际情况比酒店提供的图片差远了，里面的凳子也出奇的小气，桌前就一小圆凳，想象不出你上网时做一小圆凳是什么感受，网络也差劲的要命，最好还是搜到一无线外网，很给力，最快下载一秒超过1M。\n关键是前台服务员态度不很好，晚上问过早餐了，让早上取票，把费用直接打进房费，没想到第二天换了一个大嫂级人物，直接说网上订房没有早餐，那表情感觉就是别人想骗吃骗喝，难道你直接说早餐15元会死啊。\n再说这个早餐，那稀', '短评打分': 1}
{'短评内容': '不错的酒店 方便 卫生距离火车站进 性价比高', '短评打分': 5}
{'短评内容': '有很多房间连窗子都没有之后价格还满高的，酒店感觉管理比较死而且价位相对服务和房间的质量太不合算了。', '短评打分': 5}
{'短评内容': '1.房间没有插排，问前台有没有插排可以租借。。直接告诉说没有。。\n2.洗澡水流的满卫生间都是。\n3.灯光很暗，工作的时候看文件看电脑都不方便。\n4.没找到酒店的酒店指南，都不知道怎么打电话找前台和订餐。\n5.洗头的和洗澡的沐浴液和洗发水分不清，上面没标记\n', '短评打分': 1}
{'短评内容': '交通还算方便,经济适用性酒店,算是性价比高吧,当然不能和高星酒店比,总体来说还不错', '短评打分': 5}
{'短评内容': '酒店是新建成不久的，非常适合商旅用，费用不高，条件却相当不错！！！我们因为到店以后预定的大床房没有了，按照原来的费用升级为高级商务标准间，条件很好啊~', '短评打分': 5}
{'短评内容': '父亲特别满意这家酒店 认为是旅途中最好的一家 服务也不错 ', '短评打分': 5}
{'短评内容': '很不错的酒店，就是设施比较旧，且早餐一般，性价比较高，不错', '短评打分': 5}
{'短评内容': '不错不错 不错不错  还可以  环境挺好的  干净卫生', '短评打分': 5}
{'短评内容': '离火车站5分钟,吃早餐方便,安静,干净,性价比不错,打车到大明湖,趵突泉10元以内', '短评打分': 5}
{'短评内容': '还可以吧，有点难找，倒是服务的态度不错。\n\n应变也很快。', '短评打分': 5}
{'短评内容': '卫生间不好', '短评打分': 3}
{'短评内容': '很满意，是我住过性价比最高的酒店。卫生间也很干净空间也大', '短评打分': 3}
{'短评内容': '离火车站很近，方便出行；\n房间较小，地毯很脏\n房间写字台没有台灯，且酒店无台灯可提供，致电多次才得知不能提供台灯；\n电视倒是液晶的，但只有几个频道，且很不清楚；\n衣柜有很大的味儿，不宜使用；\n其它还好，前台人员服务也挺好的', '短评打分': 5}
{'短评内容': '还是一样的好 不过就是吹风机有点少 以后早上要用晚上就要提前要', '短评打分': 3}
{'短评内容': '房间很干净 服务态度不错 房间在电梯口对面 晚上老是有叮叮叮的提示音', '短评打分': 3}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间一般，但电视的台太少了，也不清楚，网时有时无。', '短评打分': 5}
{'短评内容': '交通方便，离火车站很近，价格实惠，服务热情，房间干净，下次会再住。', '短评打分': 5}
{'短评内容': '卫生整洁，服务热情，周到，感觉整体很不错，价位也合适', '短评打分': 3}
{'短评内容': '整体条件不错，性价比比较高.而且客房服务人员也很热情周到，水平不错.', '短评打分': 5}
