{'短评内容': '房间床头靠背脏，房间小 脏就不说 隔音效果之差！唉……', '短评打分': 4}
{'短评内容': '因为晚班机，选择了这家酒店。酒店总体不错，交通便利，紧邻轻轨站。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '只能说离机场挺远的', '短评打分': 5}
{'短评内容': '总体来说还行', '短评打分': 4}
{'短评内容': '很好............', '短评打分': 5}
{'短评内容': '酒店服务挺好，也挺舒适！', '短评打分': 5}
{'短评内容': '房间和足浴在一起，很小，设备陈旧！不过凑合一晚吧', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '环境还好，房间也挺干净，到机场有车接送，虽然离机场远了点，但还是挺方便', '短评打分': 5}
{'短评内容': '不错，还行', '短评打分': 5}
{'短评内容': '离机场不远，有车送。很方便。', '短评打分': 5}
{'短评内容': '酒店比较好的是酒店的接送机的服务， 不管多早都有车送机， 酒店的车不够的话， 也会想办法租车提供送机的服务。女经理很热情！', '短评打分': 5}
{'短评内容': '酒店的接送机还是比较方便的， 附近有1家火锅店， 味道也还不错。就是附近在施工比较吵，晚上9点后就比较安静。', '短评打分': 5}
{'短评内容': '此酒店设施齐全，干净卫生，服务态度好，房间宽敞，隔音效果不错。总之，有机会还是要入住的。', '短评打分': 5}
{'短评内容': '房间还好，旁边是咖啡厅和足疗，门口正在施工，稍微有点灰', '短评打分': 5}
{'短评内容': '这趟是过机场来接人，定之前问了好几家能不能停车，刚好这家是地下停车场。  因为修路，在路上转了两圈才找到下来，门口修路，地下停车场得穿过一段小巷子，车位挺多。前台主动问是否要送机，因为是来接人的，没用酒店的车。  房间是团购的，安排在走廊尽头，房间不大，但是东西还是挺齐活的，拖鞋挺舒服，就是没地方挂衣服还是我没仔细找呢。枕头比较软而且还低，两个叠一块感觉差点。  电视是电信盒子，看九层妖塔看睡着了', '短评打分': 4}
{'短评内容': '床很舒服，接机服务较为贴心。如果提供免费接机的话就满分了。性价比很不错！', '短评打分': 5}
{'短评内容': '房间不错啊，电视大床大卫生间条件也好，而且离机场近早上还要航班叫醒的服务你让你绝对不会错过航班哦', '短评打分': 5}
{'短评内容': '帮我弟订的，听他说还可以。至少外型看上去不错吧，呵呵……', '短评打分': 5}
{'短评内容': '环境不错，距离飞机场近。里面就有推拿地方，适合出差人士，中途放松放松。', '短评打分': 5}
{'短评内容': '性价比不错。。适合赶飞机的人', '短评打分': 3}
{'短评内容': '酒店位子离机场比较近，但房间设施陈旧了点，早餐品种实在是太少了', '短评打分': 1}
{'短评内容': '   总的来说还行,只是机场接送另付费稍显麻烦', '短评打分': 5}
{'短评内容': '离机场打车不到10块钱，但是住着非常一般。', '短评打分': 1}
{'短评内容': '房间还算干静，价位也可以，就是在路边。', '短评打分': 3}
{'短评内容': '离机场近，服务也不错，反正每个月都来住\n\n酒店有车去机场，20分钟，20块钱', '短评打分': 5}
{'短评内容': '房间没有窗户还是单间价格126元。环境非常差请你以后不要把这种这么差的酒店放在你们网站上。我现在都改在携程上定酒店机票。。。。', '短评打分': 1}
{'短评内容': 'f早上起来走道太吵', '短评打分': 3}
{'短评内容': '服务态度好，可提供机场接送。美中不足早餐不敢恭维，房间设施尚可，价格略高。', '短评打分': 3}
{'短评内容': '酒店设施还可以，但是早餐太差了', '短评打分': 3}
{'短评内容': '每次去机场都是住这家酒店，里面的卫生干净，装修也很好，电视还可以点播，离机场近！', '短评打分': 3}
{'短评内容': '不知道为什么 我那间房的空调开不了 因为不是靠窗的 闷了一个晚上 睡觉都热醒几次\n其他很不错 厕所很干净 有情调', '短评打分': 5}
