{'短评内容': '很棒的酒店！就在海边！开开窗户面朝大海春暖花开！', '短评打分': 5}
{'短评内容': '很舒适，环境很好，下次还住这', '短评打分': 5}
{'短评内容': '冇拣错，keep ', '短评打分': 4}
{'短评内容': '大家千万不要过来，酒店服务太差了，特别是晚上下飞机的朋友一定要注意哦，千万不要在被骗了，宝宝第一次来厦门就遇上这样的黑店，太虐心了，打电话都没人接，也找不到位置', '短评打分': 1}
{'短评内容': '没有早餐也没有室内纸巾，房子有股霉味，特价房也要快300了，不值得，民宿就是住起来怕怕的，不太建议女生一个人住哦。', '短评打分': 3}
{'短评内容': '服务特别差', '短评打分': 5}
{'短评内容': '房间很干净 整洁 设施也很齐全 房东给免费升级成套房 酒店就在海边 睡觉还能听见海浪声 ', '短评打分': 5}
{'短评内容': '靠海哦，很棒，离沙滩很近，适合情侣出游，房间设施也很棒，不错的选择哈~', '短评打分': 5}
{'短评内容': '服务好，老板免费升及客房，门口就是沙滩浴场！推荐', '短评打分': 5}
{'短评内容': '房子不是很高级但环境很好，服务特别好。住的海景房……楼下就是海边', '短评打分': 5}
{'短评内容': '距海边最近!维郑成功像最近!', '短评打分': 4}
{'短评内容': '环境非常不错，还能看到海，酒店也很容易找。房间还是比较干净整洁的，服务也比较到位，咨询的东西都能得到满意的答复。', '短评打分': 5}
{'短评内容': '非常赞的海景房，老板很热情，免费做了升级，推荐大家选择望海楼。', '短评打分': 5}
{'短评内容': '房间很温馨，离海很近，从大门边上的一条小路直通海边，晚上人少逛逛海边很惬意。住处有地图比较好找，就在皓月园边上。', '短评打分': 4}
{'短评内容': '只是个家庭旅馆，号称的海景房根本就是坑，看不到什么海，房间很小，别被图片欺骗了。卫生间洗手池会漏水，房间wifi信号不稳定，老是连不上，因为没纱窗，房间有好多蚊子，一觉起来身上好多胞，总之，很糟糕', '短评打分': 1}
{'短评内容': '海景大床房不错，赞一个', '短评打分': 2}
{'短评内容': '酒店位置靠海，有个院子能望到下面的沙滩。并且服务态度也很好，我丢了一串钥匙在酒店，他们都很热心的帮我找回来。', '短评打分': 5}
{'短评内容': '直接看到海，很不错，不到5分钟就可以到海边！', '短评打分': 5}
{'短评内容': '住的是海景大床房，依山面海，很安静，如果是春天去，真的是面朝大海，春暖花开，酒店的小妹都很热心，感觉不错', '短评打分': 5}
{'短评内容': '还不错吧，挺安静的。', '短评打分': 3}
{'短评内容': '如果说是林氏府那是真值得，但是望海楼实在不敢恭维，最让我难以忍受的是，我腿上奇痒无比，抓着都起了一个个小豆豆，看来床单肯定不够干净，希望能改进', '短评打分': 1}
{'短评内容': '其实就是个家庭旅馆，不过服务态度挺好的，特别亲切，而且晚上坐在阳台就能看见海', '短评打分': 3}
{'短评内容': '\n \n服务员很热情，细心。去得有点晚，在外面接的我们。谢谢周到服务\n', '短评打分': 5}
{'短评内容': '订的海景房，坐在阳台上吹着海风真舒服，服务生很热心，早餐实在，推荐入住', '短评打分': 5}
{'短评内容': '老板态度相当好 房间也挺舒服 正下方就是海滩 傍晚去沙滩上吹吹海风很舒服', '短评打分': 5}
{'短评内容': '恩，酒店环境很不错，就在沙滩旁边，虽然沙滩差了点，就是很容易错过，去的话还是要打电话问哈。', '短评打分': 5}
{'短评内容': '非常好   边上就是海滩 非常方便 老板很热情 下次还是再来', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，就是蚊子有点多，能看到海，强烈推荐入驻该酒店', '短评打分': 5}
{'短评内容': '望海楼比较像家庭旅馆，我定的是海景套房包早餐，真的可以看到海，因为楼下就是海滩大浴场，水质不好比海南亚龙湾，和海南大东海差不多吧，早餐也实在，带小孩玩海比较方便，追求星级宾馆的不适合住这里！', '短评打分': 3}
{'短评内容': '早餐不错哦', '短评打分': 3}
{'短评内容': '怎么说呢，可能是期望值太高了吧，跟理想中的海景房有差距，岛上酒店可能都如此。店员态度很好，到龙头路其实很方便，郑成功旁边上个坡就到了。', '短评打分': 5}
{'短评内容': '和码头挺近的 也很容易找到  隔壁就是听涛小筑旅馆。订的望海楼的海景套房，房间很大，有观景阳台，海风吹来房间里很凉爽咯很舒服~~~房间干净简洁，服务人员有礼貌~~~能让人感受到家的感觉，而且比较安静，不会被吵到。可以听到海浪声~~下去海滩玩很方便~~~很不错，很适合小住上几天。推荐~~~', '短评打分': 5}
{'短评内容': '酒店环境还是很不错的，下面就是一个海水浴场。房间感觉也很舒服，送的一个开放式的大厅。总之，还是值得住的。唯一就是酒店招牌没看见，很容易路过然后错过，我就是……', '短评打分': 5}
{'短评内容': '第一次去还算顺利，没有走错道，只是在门牌3-1还是3-2前纠结了一下，因为地址上只是说是3号！忽然间看到3-2里的露天阳台才认定！建议修改下网上的门牌号！另外可以在皓月园的路口建个路标,这样上坡会有动力！酒店就是一个临海别墅，周围环境很不错，树丛，海浪，鸟叫！趟床上就能听海！那感觉就是一舒坦！房间环境也不错，干净整洁！不过，公共阳台的桌椅如果能擦擦干净就更好了！服务生帅哥很热情，工作也很仔细，而且', '短评打分': 5}
{'短评内容': '靠近大海，很不错的家庭酒店，就是服务有待提高', '短评打分': 5}
{'短评内容': '竟然没有蚊子，房间比较大，位置也临海，管理比较规范', '短评打分': 5}
{'短评内容': '能清楚的听到大海的声音，楼下就是沙滩，孩子玩的很开心。离龙头路也不算远，走走小路别有一番情趣。美中不足，三楼的无线网比较不稳定，有待改进。\n值得推荐的住所，很干净。', '短评打分': 5}
{'短评内容': '位置好，环境安静，海景房真的可以听海，就是到感觉价位有些高。', '短评打分': 5}
{'短评内容': '入住的厦门豉浪屿林氏府德记望海楼干净！听涛、看海，小妹服务态度很好！有几只可爱小猫作邻居。', '短评打分': 3}
{'短评内容': '酒店有点难找。但是环境很美好，前台服务人员非常热情，服务很好。早餐在露台吃的很开心，还有很多喵星人来一起玩~', '短评打分': 3}
{'短评内容': '房间设施不错 干净 服务员十分热情 打电话出来接 离码头不算远 走不到十分钟 就是门口没标示 是从大德浴场门进的', '短评打分': 3}
{'短评内容': '酒店不错，就在沙滩旁边，门口就是大德记浴场。不过，酒店固定都是下午2点才能入住，因为住这里的客人几乎都是熬到12点才退房，我们到那天就从11点等到14点才入住。不过提醒大家2楼的海景房是没有阳台的，只有1楼和3楼的才有，酒店没有电梯。海景套房的阳台超级大，如果不在乎价钱的话，建议住海景套房。如果在乎价钱的话，就住鼓浪屿对面的如家和汉庭吧，这2家都轮渡码头走路都在10分钟内，轮渡来回是8元，从早上7', '短评打分': 5}
{'短评内容': '优劣分开评说，先说好的：\n1.酒店地理位置还算不错，往下走50米就到海滩了，而且还是个浴场，去游泳还是傍晚走沙滩都比较方便。\n2.酒店位置比较安静。\n3.酒店服务人员态度不错，亲切。\n4.酒店的内部装修、卫生间的装修还是不错的。\n5.包含了自助早餐，有：牛奶、橙汁、白粥、榨菜、花生、烤肉、蛋、青菜、两种当季水果、面包、酱料等。\n6.每个房间，不管你订多久，都送一张海天堂的票。\n7.从轮渡码头到酒店', '短评打分': 5}
{'短评内容': '是林氏府旗下的酒店，并不在林氏府内。上岛找了很久，问当地人也不一定清楚，按地址找也找不到。门口没有招牌与标识。最终是打电话要求服务生来接才找到的。\n不过酒店本身还是不错的，物超所值。\n透过院子看下去，下面就是海滩“大德记浴场”，景色和地理很不错。\n院子里有一棵桑树，五一时节正是桑果成熟的季节，直接站在树下就能品尝。真不错。\n内部装修也很新，服务也很到位。下次还住这。', '短评打分': 5}
{'短评内容': '帮朋友定的,大床房,加张床要300元,唉,贵啊', '短评打分': 5}
{'短评内容': '位置不错，在海边，闹中取静，酒店前面的露台风景很好！房间里面的设施还是比较新的！还有，前台的几个服务员比较好！亲切！', '短评打分': 5}
{'短评内容': '周边环境不错，窗外就是沙滩，房间挺干净，就是有点小。', '短评打分': 5}
{'短评内容': '鼓浪屿的酒店价格比较高，住这家酒店的房间480元，没有看到海景，房型不好，酒店用的是电热水器，40L的，一个人洗澡基本不够，最难受的是床单接触皮肤很痒，后来通知前台更换后才好点。早餐比较差的，不过酒店的地理位置是靠海的，还可以。我建议去鼓浪屿玩的人还是住厦门的海景比较合算，不要住岛上。', '短评打分': 1}
