{'短评内容': '还可以，干净，卫生。热水齐全', '短评打分': 4}
{'短评内容': '环境好干净卫生', '短评打分': 5}
{'短评内容': '地方还不错，价位也不高，可以吧！', '短评打分': 3}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '不多说', '短评打分': 2}
{'短评内容': '为朋友预定的房间，因为离我家比较近，方便过来找朋友。这次入住是一次相当不好的经历，17楼的房间插卡没电，电话没法用，只能搭电梯再下去，结果上来一个服务员，也没能解决问题。再一次下去换了房间。一进房间，惊呆了，地面一层灰尘，电视老式的，电视柜上面的尘土躲到让你崩溃。床单比较脏，不知道多久没换，向服务员反映，服务员说因为机洗，所以脏点正常，我也是醉了...卫生间没有热水，服务员让先打开热水放20分钟左', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一直不错', '短评打分': 5}
{'短评内容': '周围就是It圈。', '短评打分': 5}
{'短评内容': '床太硬了，不舒服，住的很不舒服', '短评打分': 2}
{'短评内容': '环境还可以，设备有点老，没有无线网络。', '短评打分': 4}
{'短评内容': ' 空间还挺大、但配套设施确实不怎么样', '短评打分': 3}
{'短评内容': '水是温泉水，但是刷牙不好。咸咸的。另外就是卫生不太好。早餐一般。没到9.30饭菜就不多了、', '短评打分': 1}
{'短评内容': '干净卫生，环境也很好，性价比特别高，来新乡的朋友一定要住这里哦~~', '短评打分': 5}
{'短评内容': '不错，很方便，周边吃的不多，但交通方便，去体育馆方便', '短评打分': 5}
{'短评内容': '房间很大，设施一般，对得起这个价格。交通也很方便。', '短评打分': 5}
{'短评内容': '房间很大，设施一般，比较舒适，价格合理\n只是房间饮用水可能也是温泉水，有点咸，但四楼餐厅门口的电茶炉水不咸\n早餐不错', '短评打分': 5}
{'短评内容': '设施一般.但房间老大了,是那种公寓式的,还带客厅阳台,厨房,只是没厨具', '短评打分': 5}
{'短评内容': '＋房间很大，比较安静，还不错', '短评打分': 3}
{'短评内容': '\n\n出租方便 机场大巴在门口 早餐也可以 房间是庞大 唯一不足是不灵活  你懂的 .值得向大家推荐', '短评打分': 3}
{'短评内容': '还可以。住了好多次了。硬件一般，但是有温泉洗澡不错。每次都是冲着温泉淋浴去的。值得推荐，出入也好可以。', '短评打分': 5}
{'短评内容': '酒店确实不错，停车方便，房间宽敞，网络相当可以，早餐比较丰盛。', '短评打分': 5}
{'短评内容': '还可以就是空调太响了墙面有掉漆跳了次闸', '短评打分': 3}
{'短评内容': '房间好大', '短评打分': 3}
{'短评内容': '房间过于简陋，家具陈旧，没有早餐供应，网速很慢。', '短评打分': 1}
{'短评内容': '房间较大，比较舒适；价格也比较适中，适合旅行居住。比较不错的快捷酒店。', '短评打分': 5}
{'短评内容': '门面很好，房间不小，但卫生间不是很干净，毛巾脏；被子脏。总体80分吧', '短评打分': 3}
{'短评内容': '房间虽然有些旧吧，但是面积不小，住着很安静，交通也很方便，比较好打车。', '短评打分': 5}
{'短评内容': '优点：周边环境好。交通方便。价格便宜。房间宽敞。缺点：卫生间设施简陋、早餐不够丰富。', '短评打分': 5}
{'短评内容': '酒店在新乡还是很可以的，入住很方便，又预定了两晚，会向朋友推荐！', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '房间不错。性价比很高。有机会还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间大，网速快,地理位置也十分优越。性价比很高。', '短评打分': 5}
{'短评内容': '优点：便宜，停车方便，热水好。\n缺点：铺的盖的不太舒服，没有网络。', '短评打分': 1}
{'短评内容': '酒店还可以，只是如果打的，你说到moma酒店别人会不知道。你要说到国际饭店。', '短评打分': 5}
{'短评内容': '硬件倒是不错。我们一家二大一小住了四人间 但不含早 未及时告知。多花了三十早餐费，早知道可以住标间含早。', '短评打分': 3}
{'短评内容': '里面的东西很破旧啊 真的很破旧，房间没网线 打电话才送 ', '短评打分': 1}
{'短评内容': '不错，值得推荐，顶一下！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '离体育中心，人民公园倒是挺近，但设施陈旧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': ' 和如家的风格很象.温馨.   地理位置好.房间大.', '短评打分': 3}
{'短评内容': '环境挺好，隔音效果也不错，物有所值！如果有机会还会选择这里。', '短评打分': 3}
{'短评内容': '环境挺不错', '短评打分': 3}
{'短评内容': '房间比较宽大，被服有点旧，正规赶上酒店装修卫生有点差，其他还好。', '短评打分': 3}
{'短评内容': '酒店正装修,有点吵', '短评打分': 3}
{'短评内容': '                                                                              交通便利，房间舒适，环境优美，下回到新乡还会选择这里的！\n', '短评打分': 5}
{'短评内容': '整体感觉不错，交通比较方便。下次去新乡还会选择这里\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': ' 整体感觉不错，交通比较方便。下次去新乡还会选择这里', '短评打分': 5}
{'短评内容': '不错，环境很好，性价比较高，下次来还住这', '短评打分': 5}
{'短评内容': '地方挺大，有蟑螂，怀疑有鬼，晚上很恐怖，不很干净', '短评打分': 5}
{'短评内容': '房间不错  服务一般  经常没有人打扫卫生', '短评打分': 5}
