{'短评内容': '不错，床很软', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 4}
{'短评内容': '还可以，网购的，就是没想道还要交押金，好尴尬', '短评打分': 4}
{'短评内容': '住宿感觉一般', '短评打分': 3}
{'短评内容': '每次出差都住这', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '还不错  早餐有凉皮  味道相当赞。此处接近汉中 和汉中民俗接近', '短评打分': 5}
{'短评内容': '409房间电视画面有问题，酒店干净整洁，交通便利，停车方便。', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '不错哦，很安静，设施齐全', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店还不错！物美价廉！酒店还不错！物美价廉！酒店还不错！物美价廉！酒店还不错！物美价廉！酒店还不错！物美价廉！酒店还不错！物美价廉！酒店还不错！物美价廉！酒店还不错！物美价廉！', '短评打分': 5}
{'短评内容': '不错哦！', '短评打分': 5}
{'短评内容': '不错，还是值得入住的。早餐也不错。', '短评打分': 4}
{'短评内容': '总体来说感觉不错，个人认为在广元算是前几位的酒店！房间干净，设施较好，停车方便！', '短评打分': 5}
{'短评内容': '总体来说感觉不错，个人认为在广元算是前几位的酒店！房间干净，设施较好，停车方便！', '短评打分': 5}
{'短评内容': '位置可以，就是晚上没什么人。。。', '短评打分': 4}
{'短评内容': '房间很小，布局紧凑，感觉宾馆不大气，各方面都达不到四星的标准，就是印度籍门迎有点特色。', '短评打分': 5}
{'短评内容': '房间还是小(标准间)，厕所还是有气味，服务还是可以的', '短评打分': 3}
{'短评内容': '还行，性价比比较高。房间很小， 电脑没啥用， 不如留出多点空间，早餐味道不错', '短评打分': 5}
{'短评内容': '床还是很舒服....卫生间设计的有点不方便..', '短评打分': 3}
{'短评内容': '环境条件都不错。', '短评打分': 3}
{'短评内容': '很卫生，服务好，达到了四星标准，下次还会入住 \n', '短评打分': 5}
{'短评内容': '酒店设施非常棒，虽然没有挂四星，但是相当于四星。价格也便宜，早餐相对于这个价格已经算不错的。酒店的服务特别好，非常热情。从G5高速下来笔直开入市区，很容易找到了。提个建议希望房间里配个衣橱和衣架，否则没法挂衣物。', '短评打分': 5}
{'短评内容': '总体还不错，虽说房间稍小，网速有点慢，早餐品种较少，但无伤大雅，可以推荐。不过建议在淋浴间里加设搁物架，便于放置沐浴用品。', '短评打分': 3}
{'短评内容': '房间各方面没的说，4星标准的，但是酒店网络实在是烂，白天限速太凶，开网页需要刷新多次，晚上连网页都打不开，最多聊聊QQ而已。我觉得酒店限制迅雷、BT、电驴这些无可厚非，但是连基本的浏览网页、QQ、网络游戏、收发邮件都无法满足，还是算4星吗？如果是需要上网的朋友别去了，如果是不上网的话，这价格的4星是超值了。早餐也不错。', '短评打分': 1}
{'短评内容': '每间房子都有电脑不是很必要\n房间较小 大床也比较小 枕头太高\n 收银速度较慢\n总体来说性价比不高\n除此以外其他硬件条件不错', '短评打分': 1}
{'短评内容': '酒店的位置不错。房间稍微笑了一点，但还是挺卫生干净。可能是我运气不好，住店是遇上了这几件让我不满意，甚至不开心的事情：- 1） 酒店空调半夜停了（后来知道肯能是停电导致的）；2） 只有两部电梯，还分开的，不知到另外一部的位置情况，速度特慢； 3）被安排在无烟楼层，但是还是有人吸烟， 而且在电梯里 （我想这是中国特色吧）； 4） 隔天早上停水了，水龙头和花洒只有热水，没法洗澡，马桶没法冲，排泄物都留', '短评打分': 1}
{'短评内容': '酒店地理位置不错，客房服务好，只是餐厅桌面收拾不及时。', '短评打分': 5}
{'短评内容': '还不错，价格合理，酒店各方面还不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，大堂的服务人员也很敬业，房间内细节做得很到位。\n\n隔音方面尚有待加强，包括房门和窗户两方面的隔音。床垫太软，以至于睡的有点腰痛。\n\n早餐太一般了，比起酒店的其他方面，显得比较逊色。\n', '短评打分': 5}
{'短评内容': '总体环境还可以，房间有些小，淋浴的水漏的卫生间地上全是，设施还是不错的。', '短评打分': 5}
{'短评内容': '服务态度晃时效都很好，只是房间的浴室地漏效果不好，导致气味不佳。但是整体来说还是值得一住。', '短评打分': 5}
{'短评内容': '服务态度还可以，但是服务速度相当慢，打订单，等半天，叫人修空调，维护电脑，等很久，还没有冷风，只有热风，电脑速度相当慢，容易卡机，房间有点小，环境相当安静，比起其他酒店，舒适度相对高很多，交通方便', '短评打分': 5}
{'短评内容': '舒适度还行，就是房间小了点', '短评打分': 3}
