{'短评内容': '酒店房间很简陋。天花板都是坏的。晚上睡觉还有大蜘蛛，让客服来就是对着你的房间狂喷杀虫剂。卫生情况不好。周边是挺方便的。有菜市场和超市。', '短评打分': 2}
{'短评内容': '早餐不错，有停车场，房间干净，位置偏点', '短评打分': 5}
{'短评内容': '早餐5点开始9点就没了。房间还可以', '短评打分': 4}
{'短评内容': '太差了太差了！床塌陷到地下，洗手盆坏了！洗澡间出水口堵塞', '短评打分': 2}
{'短评内容': '没有电梯，热水时冷时热不稳', '短评打分': 4}
{'短评内容': '临时抢的特价，服务不错', '短评打分': 4}
{'短评内容': '环境很差', '短评打分': 3}
{'短评内容': '大堂服务不是很好，不熟悉交通，房间正对着菜地，没有电梯。', '短评打分': 3}
{'短评内容': '前台服务人员态度一般，不热情', '短评打分': 2}
{'短评内容': '太差了，因为临时才住在哪里，酒店的设施太旧太老，连wifi都连不上，才到武夷山找不到酒店才临时住在哪里，以后绝对不会住在那里，不是故意诋毁他们酒店，事实如此而已', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '还好，这个价钱哈哈', '短评打分': 4}
{'短评内容': '为简单休闲好', '短评打分': 3}
{'短评内容': '垃圾，预定好了跟我说没房间', '短评打分': 1}
{'短评内容': '今年国庆假期，我们提前一周时间预定房间，于10月1日入住酒店双人房间。客房设施破旧，进入卫生间洗澡，木板门无法在内侧关闭并上锁，卧床入睡，发现床上的白色被单几乎变成暗灰色。墙上的开关有两个不能控制照明灯，床头柜电控开关有一半开闭尽控，其中有一开并按键无标识，墙面一窗帘轨道拉动困难。 酒店柜前大厅很大，但发现有一个不明真相杂人员，在宣传介绍其他景区旅游景点、高调传销底价竹筏游览票。', '短评打分': 1}
{'短评内容': '可惜没有0颗星，否则一定给零颗星。\r\n根本不够三星级的标准，也就没星的水平。\r\n服务态度恶劣，宾馆设施简陋，价格死贵。', '短评打分': 1}
