{'descr': '位置挺好的，交通方便，周边吃饭玩的的很多，房间也很安静', 'star': 5}
{'descr': '实在不好意思，因为行程有变而取消订单。', 'star': 5}
{'descr': '位置好，交通吃饭都很方便，周边也算安静。', 'star': 5}
{'descr': '不错，充电器丢了，还帮我找到', 'star': 5}
{'descr': '好评，相当不错的，性价比很高，住起也很舒服，床睡着特别舒服，\xa0房间干净得很，感觉卫生做的很不错，设施齐全，独立卫浴，浴巾很特色，封包安全卫生。交通便利。通往各个地方，交通枢纽站地带啊，还可以，环境不错，好棒的酒店。环境各方面都很好，很方便\xa0。', 'star': 5}
{'descr': '条件太简陋', 'star': 2}
{'descr': '好评非常不错的酒店，出门就有很多吃饭的地方，位置好找，我们带得有老年人，服务态度超级好，温馨提醒我们洗澡时要小心，还帮忙拿了行李，房间空间很大，很宽敞卫生也挺不错的，放心入住。', 'star': 5}
{'descr': '房间设施很好  七天一直很不错 只是没有早餐有点遗憾 酒店位置也很好 靠近火车站南广场 离北广场两公里左右 下楼有出租车很方便 是否合适带孩子 我就不太清楚了', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '非常好，干净整洁舒适', 'star': 5}
{'descr': '京东定失败了，还是美团定的。', 'star': 5}
{'descr': '房间大，挺好，就是京东订不成功后', 'star': 5}
{'descr': '很好很好很好很好', 'star': 5}
{'descr': '还可以不错', 'star': 5}
{'descr': '很好，房间很大，环境不错', 'star': 5}
{'descr': '房间蛮大的，隔音效果也不错的，挺好的！', 'star': 5}
{'descr': '预订方便，价格合适，挺好的', 'star': 5}
{'descr': '在京东订房比其它地方便宜，因为可以用全品优惠券，还有支付优惠，非常不错！', 'star': 5}
{'descr': '发反反复复反反复复风风光光地在一起', 'star': 2}
{'descr': '红红火火恍恍惚惚哈哈哈', 'star': 5}
{'descr': '还可以！！？！？？？？', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '还不错，实惠服务态度很好', 'star': 5}
{'descr': '还不吃', 'star': 5}
{'descr': '环境好，携程网不行，没有入住居然不能退款。', 'star': 5}
{'descr': '房间差', 'star': 2}
{'descr': '还好', 'star': 5}
{'descr': '真心一般', 'star': 1}
{'descr': '就在火车站旁边，交通很方便。连锁酒店，房间比较大，干净整洁。一般火车站周边选择这种连锁酒店，在环境和安全上都是比较有保证的。', 'star': 5}
{'descr': '出差住的，七天的设施一贯是够用。酒店位置很好，周边非常繁华。', 'star': 3}
{'descr': '不错，值得推荐。就是离火车站没有想象中的近', 'star': 5}
{'descr': '方便，，快捷，，安全', 'star': 5}
