{'descr': '双间还有小强陪伴   我都不敢住了', 'star': 2}
{'descr': '哈欠', 'star': 5}
{'descr': '居家旅行最佳选择', 'star': 5}
{'descr': '房间很差，不舒服', 'star': 3}
{'descr': '挺好的服务，', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '加了30元，换了高档大床，这次感觉舒服了一点。厕所空间比较狭窄，但是软包做的还可，该有的都有了。虽然没有特色，但是价格还可以。', 'star': 4}
{'descr': '特价房很简陋、建议不要图便宜去定。在12楼，周围都是办公区工作室这些，只有两间是客房，但绝没有安全感，很吵。', 'star': 4}
{'descr': '环境一般', 'star': 4}
{'descr': '交通便利，周边繁华！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '不错', 'star': 4}
{'descr': '设施一般 交通很方便 周围有很多商业街', 'star': 3}
{'descr': '垃圾酒店，早餐很垃圾，餐厅就是个厨房里吃，很土。那个早餐还不让你自己弄，规定了一个人两个馒头，吃个早餐，里面的老女人唧唧歪歪的，啰嗦死了！再也不住了。丢尽了在万达的', 'star': 3}
{'descr': '不错的酒店，经济实惠，交通便利，房间很大，只是卫生间有点小。', 'star': 3}
{'descr': '这家酒店位于万达广场时尚楼19-20层，最近刚重新装修，总体来说比较好。安静，整洁，宽敞。楼下是步行街，吃东西很方便。酒店的性价比较高。改进建议，1.标间床是1.2米的，但被子太窄，好像也是1.2米的，应该用1.8米宽的，否则一翻身，被子就漏风了。2.酒店热水用的是电热储水，应该在淋浴间显著位置标示，或在入住时向客人告知“要在房间通电后等30分钟才能洗热水澡，否则悲剧发生了--在你刚冲完水，抹上洗', 'star': 5}
{'descr': '房间很大,视野很开阔。前台人员态度很好。', 'star': 5}
{'descr': '酒店的房间比较大，光线充足。就是洗手间热水不怎么好，因为是点热水器。冲凉时间长了就没有热水了。', 'star': 5}
{'descr': '总体来说不错，卫生也还好，如果卫生间的淋浴空间大点更好。', 'star': 3}
{'descr': '还成吧，就是冷水压力太小...................', 'star': 5}
{'descr': '环境不错，价格合理，优', 'star': 3}
{'descr': '环境舒适，干净卫生', 'star': 3}
{'descr': '环境还可以', 'star': 3}
{'descr': '—般', 'star': 3}
{'descr': '还不错  在同等价位的酒店中算性价比很高的了服务态度也很好  房间很整洁                                                  ', 'star': 5}
{'descr': '房间是挺大的，但是不怎么干净，墙壁还发霉，工作人员也不勤快。', 'star': 1}
{'descr': '地段不错。房间很一般，性价比不是很高。内饰很简单。', 'star': 1}
{'descr': '还行 稍微贵了点点 地段好。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境很好，地里位置也很好，就在万达广场，房间舒服干净，好评！', 'star': 3}
{'descr': '感觉还不错,比较安静，就是设施不是很现代，总体算满意', 'star': 3}
{'descr': '入住了，感觉很好！周围很热闹，房间不吵。满意！', 'star': 3}
{'descr': '设施还很新，临街窗很大，感觉不错。\n购物、餐饮、娱乐都很方便。', 'star': 5}
{'descr': '性价比比较高   就是不能压劵  总的来说都还可以值得推荐', 'star': 5}
{'descr': '房间很大，也很安静。交通方便。非常不错，推荐入住', 'star': 5}
{'descr': ';已入住。', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '房间卫生设施还不错，出行也很方便地理位置挺好的，性价比不错，服务态度很好。就是我去的时候人挺多的可能前台的服务是有些慢。不过能理解的。', 'star': 5}
{'descr': '新酒店管理方面还是有些不太到位.位置很好就近选择的，比较方便一些.', 'star': 1}
{'descr': '我很喜欢这家酒店 希望看到着也入住 不过好像他们没有收拾我的房间\n', 'star': 5}
{'descr': '位置不错，交通方便，吃饭及购物都十分便利，就在楼下。遗憾的是无早餐。', 'star': 5}
{'descr': '还不错', 'star': 3}
