{'短评内容': '酒店环境和服务都不错', '短评打分': 4}
{'短评内容': '超级棒的豪华酒店，房间大，设施全，卫生间还有镜内电视，整洁卫生，早餐也很丰富', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，卫生间还有镜内电视，整洁卫生，早餐很丰富', '短评打分': 5}
{'短评内容': '订了几次了都不错', '短评打分': 5}
{'短评内容': '很好，干净，有特色', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '一般情况下京东还是可以订到房的，但是如果房源紧张的时候就比不上携程了，我已经有好几次下了订单后被告知没有房需要取消订单，这一方面京东还是需要努力的', '短评打分': 5}
{'短评内容': '房间宽敞，服务很好！', '短评打分': 5}
{'短评内容': '酒店还不错，不过不如之前其他地方的', '短评打分': 5}
{'短评内容': '昆明住宿高端酒店的不二选择，酒店的软硬件都符合五星标准。步行2、3分钟就到昆明有名的商圈&mdash;&mdash;南亚风情第壹城，交通、购物、吃饭都非常方便。', '短评打分': 5}
{'短评内容': '房间不通风，大堂整体色调较暗，服务员敲门还没等我反应过来，她已自行开门，连等几秒都没有。真的吓了我一跳。太没素质了。幸好是白天，不然我直接报警了。向前台说这事，前台只说她们会向上反映。晕。酒店总体也没有索菲特做得好。', '短评打分': 4}
{'短评内容': '值得推荐的', '短评打分': 5}
{'短评内容': '很棒的酒店。 以后一定会再住的。 也一定推荐给朋友们住。交通方便， 餐饮方便，卫生及服务也是一流的。推荐！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
