{'短评内容': '温馨雅致，性价比高，不错的。', '短评打分': 4}
{'短评内容': '认识银座宾馆也是缘分 可以入住这么好宾馆真的好开心  在星期三宾馆受一肚子气出来  本以为露宿街头  还能遇到这么好的宾馆真的好开心  有早饭还可以接到松下的吹风机 总之银座的好评率也是比那个垃圾星期三好太多  就是很奇怪价格差十元  亲们  建议入住  不是托  住过才来追评  只为前台们的优质服务  再次感谢', '短评打分': 5}
{'短评内容': '没有对比就没有伤害  星期三前台两个服务员像傻逼乱喊  保安也是流氓出身  脏话连篇  银座最起码前台都礼貌亲和待人  还有早饭  如果银座是好宾馆中的好宾馆 星期三就是垃圾中的垃圾  发泄下不满情绪  不好意思  写太多', '短评打分': 5}
{'短评内容': '很有档次的酒家  比我在北京住的宾馆都好 主要前台服务态度好  除了那个很胖的女人哈  嘿嘿  总之满意  还会再来 希望银座生意兴隆  比星期三那个垃圾宾馆好太多 为啥网上才比星期三贵十元  星期三就值十元  银座值一百元  实话实说', '短评打分': 5}
{'短评内容': '前台服务员大部分不错  结婚旅行来的  特别有缘分  价格便宜  环境卫生不错  洗漱用品都是银座标志的  真的不错  不是托  挨着公园  出来遛弯也不错哦', '短评打分': 5}
{'短评内容': '最好', '短评打分': 5}
{'短评内容': '不错的酒店，非常喜欢', '短评打分': 5}
{'短评内容': '一般般的事', '短评打分': 3}
{'短评内容': '酒店有点老，房间挺大，但是有些味道。位置还算好找，停车方便', '短评打分': 4}
{'短评内容': '多次预定 好评', '短评打分': 5}
{'短评内容': '挺好的，到抚顺就住这，停车方便', '短评打分': 5}
{'短评内容': '酒店周边环境不错，也挺干净的，价格也实惠。交通也方便。', '短评打分': 5}
{'短评内容': '每次单位接待客户都住这。。。。', '短评打分': 5}
{'短评内容': '每次单位接待客户都住这。。。。', '短评打分': 5}
{'短评内容': '每次单位接待客户都住这。。。。', '短评打分': 5}
{'短评内容': '蓝色港湾酒店，设施比较陈旧，地点很方便，服务可以，房间面积大，可刷卡，没电梯，综合性价比可以。', '短评打分': 3}
{'短评内容': '我是个比较宽容的人，但是这家酒店真的把我惹火了。因为发票的事纠缠不说，阴面的房间对着隔壁楼房的墙。当初选这里是因为天宝大厦房满，结果还是惹了一肚子气。我是再也不会住这里了。', '短评打分': 1}
{'短评内容': '位置挺不错的，最起码对路痴来说很好找到。屋内设施也不错，最心水的是有电脑，宽带速度也不错。美中不足的就是隔音差了些，在屋内就能听到走廊有人走动的声音', '短评打分': 5}
