{'短评内容': '老酒店了，服务还不错，但进入房间就有老旧的味道，一会就习惯了,但对于浴室摆放的那些东西总觉得降低了水平', '短评打分': 4}
{'短评内容': '还年可', '短评打分': 4}
{'短评内容': '干净卫生，床被舒服，服务热情周到，下次出差再次入住。', '短评打分': 5}
{'短评内容': '床和被子都好，睡的很舒服。房间卫生也好，服务员态度很好！', '短评打分': 5}
{'短评内容': '条件很不错', '短评打分': 5}
{'短评内容': '住得很舒心，设施齐全，典雅大气，干净卫生，价格公道。', '短评打分': 5}
{'短评内容': '安静 舒适 温馨，还有水果，很好的酒店。', '短评打分': 5}
{'短评内容': '服务蛮好的，信阳雨水比较多吧，床单有点潮还有一点点霉的味儿，不过价格还算实惠', '短评打分': 4}
{'短评内容': '很好就是WiFi太差了', '短评打分': 5}
{'短评内容': '酒店舒适，环境优美，非常不错的酒店', '短评打分': 5}
{'短评内容': '很好用', '短评打分': 5}
{'短评内容': '房间环境和卫生情况还不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错，老牌酒店了', '短评打分': 5}
{'短评内容': '服务非常好，一直住这里。本来订的单间，到店比较晚，前台说满房，直接给免费升级安排了套间。啥也不说了，上图。', '短评打分': 5}
{'短评内容': '地点合适，方便停车，服务态度不好，下次不再住。', '短评打分': 3}
{'短评内容': '不错！性价比很高！以后出差还住这里！', '短评打分': 5}
{'短评内容': '环境友好，服务很好，早餐品种多样，水果很好吃', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个价位 我觉得一般般吧', '短评打分': 4}
{'短评内容': '到首选信合，住了几次，位置便利，值得推荐', '短评打分': 5}
{'短评内容': ' 入住大床房，房间装修很好，就是有较大味道（好像是新装修的原因），建议除甲醛或者安放空气过滤器。', '短评打分': 3}
{'短评内容': '房间够宽敞  早餐丰富  下次来还住', '短评打分': 3}
{'短评内容': '    我已经不是第一次住这个酒店了，交通比较方便，离火车站很近，内部设施也可以，还有免费的电脑上网，卫生服务都行，就是早餐已经没有以前可口了，还有就是那个咖啡机什么时候坏的不知道，我周三入住时已经坏了，3天后还是坏的，问服务员，却说：“昨天坏了”。', '短评打分': 5}
{'短评内容': '房间很干净，也比较大，就是空调不凉快。早餐服务很一般。', '短评打分': 3}
{'短评内容': '不错，很满意，环境挺好的，里面的设施也很不错，值得这个价位', '短评打分': 5}
{'短评内容': '酒店设施很好，交通方便。美中不足是没有游泳池', '短评打分': 3}
{'短评内容': '环境挺好的，早上的自助餐也不错，下次去信阳还订这家', '短评打分': 5}
{'短评内容': '＋还可以，交通放便', '短评打分': 3}
{'短评内容': '酒店内部整体不错，是信阳城区比较好的酒店，饭菜很好，但是门口的交通糟糕。', '短评打分': 5}
{'短评内容': '酒店位置环境都很不错，新开业不是很久的酒店，非常好。', '短评打分': 5}
{'短评内容': '交通方便，離火車站很近，房間也不錯，酒店的自助餐也蠻好吃的，都很滿意，以後來信陽就住這家了。', '短评打分': 5}
{'短评内容': '去年十月来住还很新，这次来房间的设施就已开始显得陈旧了，应该是疏于维护的结果。开始入住的客房一打开门，浴室下水道的味道扑面而来，立即换了一间，好些，没味！可是地毯显然没有吸过尘，很脏，床上也有头发，还好服务员肯帮我们换床单被套。第二天早餐结束时听到餐厅主管对收拾餐桌的服务员说：＂桌布不是很脏的就不用换了......＂晕......', '短评打分': 5}
{'短评内容': '很好的酒店，准4星。早餐挺丰富的，算上返利价格真的不贵', '短评打分': 5}
{'短评内容': '很好 服务也很好 刚对另一家酒店的点评错放在这里了对此抱歉 自助餐很划算美味', '短评打分': 5}
{'短评内容': ' 前台服务很一般 餐厅不错便宜实惠还很好吃', '短评打分': 5}
{'短评内容': ' 不错，服务态度很好，空调不好，提出后立即给换了房间', '短评打分': 3}
{'短评内容': '本来定的商务大床房，但是我们去了后又说没有，说客人没有退房，续不续住还不知道。\n不过服务还可以。', '短评打分': 5}
{'短评内容': '环境挺好，细节需改进，另外外面标志和社会宣传力度需加强！', '短评打分': 5}
{'短评内容': '硬件很好很新，服务也不错，就是空调刚刚使用，不够足，而且装修味很重', '短评打分': 5}
{'短评内容': '    离火车站很近又是新开的酒店，设施和服务都很好。下次还会住这里。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，早餐很丰富，卫浴热水充足。四个星。', '短评打分': 3}
{'短评内容': '地点很好，性价不跟锦江一比差好多，不过信阳不大，的士很便宜', '短评打分': 1}
{'短评内容': '兄弟们都说，此酒店好，停车场宽敞、大堂大气、房间装修、装饰很不错，还配送水果……', '短评打分': 3}
{'短评内容': '房间虽然不大但干净，就是卫生间太小，连挂衣服的地方都没有，用过的毛巾也不知该放到哪里。在信阳有这样的酒店是很不错的。', '短评打分': 5}
{'短评内容': '服务各方面都比较到位，房间设施齐全。\n下次还会考虑预约这里。、。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '第一次住信阳中州国际饭店，完全和中州国际一样，够四星标准，房间干净，周边安静，员工热情，下次还住该酒店，性价比较高', '短评打分': 5}
{'短评内容': '酒店的装修、房间的设施及服务态度都没的说，早餐也很丰盛，交通便利，若退房速度能再快点就更好了。总之，是非常舒适的一家酒店，性价比可谓超值，下次到信阳还会选择这里。', '短评打分': 5}
{'短评内容': '交通方便，距离火车站很近。室内装修也可以，早餐也不错。只是走廊里有较为明显的装修遗留气味。', '短评打分': 5}
{'短评内容': '性价比超高，消费券太低！！！新装修的，有气味~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间内有意味，可能是刚装修的，熏的人一夜难以睡着', '短评打分': 1}
