{'短评内容': '单位商务出差', '短评打分': 5}
{'短评内容': '单位商务出差', '短评打分': 5}
{'短评内容': '单位商务出差', '短评打分': 5}
{'短评内容': '还不错 出行两次都住的这里 就是周围吃的少', '短评打分': 4}
{'短评内容': '交通方便，性价比高', '短评打分': 4}
{'短评内容': '11111111111', '短评打分': 5}
{'短评内容': '去过多少次了，附近性价比高的酒店，虽然有点旧，但是干净很舒服，那里的服务员大家都特别好。姓何的大姐更是不怕辛苦，帮助客户。有时间就去。支持！', '短评打分': 5}
{'短评内容': '就喜欢住这里，方便清静，这里所有人都很好。', '短评打分': 5}
{'短评内容': '被安排到一楼隔音太差了，很不满意！习惯给满分！', '短评打分': 5}
{'短评内容': '房间很大很不错。。。', '短评打分': 5}
{'短评内容': '习惯性好评，一如既往的放心', '短评打分': 3}
{'短评内容': '不错，常去，房间大，服务员大家都特别好，北京人的特点热情，别惹我就行。希望北京人常去，就跟老街坊似的。', '短评打分': 5}
{'短评内容': '大酒店没话说，闹中取静，而且干净整洁，嗯，出行相当的方便可惜当时没有拍这个照片。太阳', '短评打分': 5}
{'短评内容': '吃完饭走10步进房间睡觉', '短评打分': 5}
{'短评内容': '好好。。好好。。好好', '短评打分': 5}
{'短评内容': '考试 找了个近的宾馆 环境不错呦', '短评打分': 5}
{'短评内容': '商务出差，住的一室一厅的，没见过这么大的房间，特别大，非常舒服', '短评打分': 5}
{'短评内容': '住的是套房，一室一厅，房间特别大，卧室的电视不是互联网电视，可以更好', '短评打分': 5}
{'短评内容': '住的是套房，特别大，一室一厅，价格非常实惠，就是房间的洗浴间可以好点', '短评打分': 5}
{'短评内容': '交通还算便利', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '设施一般，卫生还可以，房间够大，适合一家子带孩子的，空间很打大', '短评打分': 3}
{'短评内容': '设施有点旧，卫生还可以，房间够大，适合一家三口，离奥特莱斯挺近', '短评打分': 4}
{'短评内容': '地理优势明显，在东三环边，交通非常方便，闹中取静，房间也比较干净，装修是有点旧了，洗手间小了点，性价比高，下次来还会选择住这里', '短评打分': 4}
{'短评内容': '性价比非常不错', '短评打分': 4}
{'短评内容': '多次光顾了 房间超大 这个价位这么大房间 合适', '短评打分': 5}
{'短评内容': '一般，房间很大，设备很老', '短评打分': 4}
{'短评内容': '一般，房间很大，设备很老', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很不错哦，性价比很高，很方便离地铁口近。下次会再来。', '短评打分': 5}
{'短评内容': '交通便利，环境还行，就是感觉有点旧了，这个价格还是不错的！', '短评打分': 5}
{'短评内容': '  设施有待提高，服务欠缺个性化。', '短评打分': 3}
{'短评内容': '下次来北京还选择这里，挺好的，门口烤鸭店真不错', '短评打分': 5}
{'短评内容': '房间舒适，菜品可口还不贵，唯独外延需要装修', '短评打分': 5}
{'短评内容': '设计不错，环境还算幽静。有点小不过，这个价位可以了！', '短评打分': 3}
{'短评内容': '酒店环境不错，关键是非常干净，而且离地铁很近，出行超方便，门口超市，饭店，都有，赞一个！', '短评打分': 5}
{'短评内容': '酒店算不错了，环境可以，交通很便利！以后会继续入住这里', '短评打分': 5}
{'短评内容': '挺好 挺干净的！下回去北京还住在这里！！', '短评打分': 5}
{'短评内容': '酒店位置很方便，朋友挺满意的，前台的服务态度也很好！', '短评打分': 5}
{'短评内容': '酒店位置很方便，朋友挺满意的，前台的服务态度也很好！', '短评打分': 5}
{'短评内容': '改为308元标准间', '短评打分': 3}
{'短评内容': '房间还可以装修微陈旧', '短评打分': 3}
{'短评内容': 'GOOD! NICE SERVICE AND VIEWS!', '短评打分': 5}
{'短评内容': '房间大，离地铁站近，设施有点旧了，宽带有点不稳定。', '短评打分': 5}
{'短评内容': '刚下过雨感觉一楼比较潮湿，厕所有异味。主要是很暗。不把灯全部打开是不能看书的。性价比一般吧。唯一优点是安静。', '短评打分': 1}
{'短评内容': '酒店还比较安静，也比较干净。服务员也还不错。', '短评打分': 3}
{'短评内容': '房间不错 但是感觉有点小陈旧 洗手间热水反应小慢 沙发需要清理了 总体房间很宽敞舒适价格很合适：）', '短评打分': 5}
{'短评内容': '周围环境挺安静，离公交和地铁近！交通很方便！', '短评打分': 5}
{'短评内容': '目前在北京的酒店中性价比还可以，只是有点陈旧', '短评打分': 5}
{'短评内容': '还可以，很安静，就是设施有些旧，总体上来说不错！', '短评打分': 5}
{'短评内容': '新楼环境不错，位置适合来京购物，虽然拐进来有点不好找，但有停车场解决了我很大的问题，不错！', '短评打分': 5}
{'短评内容': '位置还蛮好的，晚上比较安静，睡得很安稳。住在旧楼稍微有点旧，不过还算可以推荐。', '短评打分': 5}
{'短评内容': '帮客户定的，比较老，总体一般。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '环境 设施 交通什么都还可以\n\n可是 网速实在是太垃圾了。。。\n\n\n', '短评打分': 5}
{'短评内容': ' 环境很好，干净，但住大堂旁边会有点炒', '短评打分': 3}
{'短评内容': '环境也好  交通也方便 隔音效果也很好 总之很棒', '短评打分': 5}
{'短评内容': '挺不错的、就是厕所的淋浴头不能活动、洗澡的时候马桶会有水。', '短评打分': 5}
{'短评内容': '感觉太一般，价位还可以，设施家具陈旧。。。。。。。。', '短评打分': 1}
{'短评内容': '从路边走进去太远，不好找。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '为什么不能提供一次性洗漱用具，很不方便。。。。。。。。', '短评打分': 1}
{'短评内容': '设施陈旧，卫生间有异味，只是距离地铁站近，', '短评打分': 1}
{'短评内容': '房间很宽敞，环境也很好，价格很实惠，推荐大家入住。', '短评打分': 5}
{'短评内容': '酒店服务和设施及房间配置都很好，下次还想住。', '短评打分': 3}
{'短评内容': '还不错吧~这个价格算实惠得了。各方面都so so啦', '短评打分': 3}
{'短评内容': '性价比高！地理位置不错,离地铁近，房间面积大', '短评打分': 5}
{'短评内容': '\n设施已经修好 比上次有所改进', '短评打分': 3}
{'短评内容': '总体来说还可以，房间跟价位，性价比还是比较高的，推荐', '短评打分': 5}
{'短评内容': '周边挺热闹的。我觉得不错。空间也比较大。', '短评打分': 5}
{'短评内容': '不错，房间大，周边购物吃饭方便，宽带也不错，而且很安静，值得再去', '短评打分': 5}
{'短评内容': '\n设施还有待提高度 服务一般吧', '短评打分': 3}
{'短评内容': ' 房间还不错', '短评打分': 3}
{'短评内容': '房间宽敞，服务好，地理位置好，交通便利，价格便宜，新楼条件不错', '短评打分': 5}
{'短评内容': '不干净服务态度不好', '短评打分': 3}
{'短评内容': '\n希望设施上有所改进 服务态度一般', '短评打分': 3}
{'短评内容': '这个位置，这个价位。这是家性价比很高的酒店了。楼虽然有点旧，房子里很干净，整洁。而且因为酒店是在院子里，客房很安静。值得再住', '短评打分': 5}
{'短评内容': '华泰饭店为什么不能提供一次性洗漱用具，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '与3星标准不符。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '位置不好找，卫生间有异味，还算安静。。。。。。。。', '短评打分': 1}
{'短评内容': '家具陈旧，交通还可以，价格偏高，安静.。。。。。。。。。', '短评打分': 1}
{'短评内容': '\n点体说硬件名不符实 卫生间的淋浴门是坏的 客厅的电视频道比卧室的少', '短评打分': 3}
{'短评内容': '硬件和服务诚待提高，因为习惯这里的环境，所以希望酒店在服务管理上有自己的特色。', '短评打分': 1}
{'短评内容': '房间安静卫生间一般', '短评打分': 3}
{'短评内容': '还可以,住在了旁边的副楼.房间很干净.就是卫生间是玻璃隔开的\n 房间打扫很及时.', '短评打分': 5}
{'短评内容': '这是第二次去住了，虽然价格有点小贵，但是交通比较方便，步行就能到会场。', '短评打分': 5}
{'短评内容': '饭店地点有点隐蔽，房间有点小，唯一的优势就是离地铁站近', '短评打分': 3}
{'短评内容': '一般。很一般！', '短评打分': 3}
{'短评内容': '酒店一般，还可以，距地铁近，但要走出较远', '短评打分': 5}
{'短评内容': '挺肃静的酒店，我住的是标间大床，房间稍显老旧，挺干净不错', '短评打分': 5}
{'短评内容': '挺好的  房间大挺好的  房间大挺好的  房间大', '短评打分': 5}
{'短评内容': '卫生间有异味，洗漱用品不提供，感觉很不方便，其实用不了多少钱，还是准备一下好', '短评打分': 5}
{'短评内容': '酒店还可以，交通方便，就是要走进去很长距离', '短评打分': 5}
{'短评内容': '店靠近劲松地铁站，出行交通十分便利，环境也十分安静，房间还宽敞，就是设施有些旧，周边设施也齐全，吃饭的地方很多。', '短评打分': 5}
{'短评内容': '酒店靠近劲松地铁站，出行交通十分便利，环境也十分安静，房间还宽敞，就是设施有些旧，周边设施也齐全，吃饭的地方很多。', '短评打分': 5}
{'短评内容': '卫生间有异味，不提供一次性用品太不方便，应该提供一次性用品，用不用客人自己选择', '短评打分': 5}
{'短评内容': '房间内什么都不提供洗发水什么的，是不是太环保了', '短评打分': 1}
{'短评内容': '家具破旧,房间内洗手间味道难闻，家具太旧，早操品种少\n\n', '短评打分': 1}
{'短评内容': '多次入住，除了条件一般，位置便捷，出门就是三环，旁边就是潘家园，很方便！', '短评打分': 5}
{'短评内容': '酒店位置较好，离潘家园很近，比较安静，但房间有点陈旧。', '短评打分': 5}
{'短评内容': '酒店比较隐敝，环境一般般', '短评打分': 3}
{'短评内容': '北京华泰饭店,离潘家园近，还算方便。....', '短评打分': 5}
{'短评内容': '  酒店的同一档次设施区别太大', '短评打分': 3}
{'短评内容': '酒店谈不上档次，与挂牌三星不符，房间冰冷，卫生条件差，房价高，是我所住过的条件最差的一家宾馆。', '短评打分': 1}
{'短评内容': ' 订的虽说是豪华间但设备设施还是不能与这个名称相匹配 ，服务也差强人意，只能说一般吧', '短评打分': 3}
{'短评内容': '晚上有些冷，空调温度应再调高一些。缺少一个电吹风机', '短评打分': 3}
{'短评内容': '早餐品种太少，房间内洗手间味道太重了些。', '短评打分': 3}
{'短评内容': '时尚单人间有名无实，屋内有股发霉的味道，家具破旧', '短评打分': 3}
{'短评内容': '地方很大，价格非常实惠，虽然设备上有些陈旧，插电的地方比较奇怪，但不构成很大的影响，而且环境很静。非常舒适。', '短评打分': 5}
{'短评内容': '地點還算可以 並不是很好找 是有些公寓型態 一整家人入住滿划算', '短评打分': 5}
{'短评内容': '房间虽然老旧，不过空间很大，而且比较舒服，这个价格在北京肯定值得推荐', '短评打分': 5}
{'短评内容': '环境，服务各方面都挺不错的。就是叫车有点不太方便。', '短评打分': 5}
{'短评内容': '还不错啊，离潘家园近，下次还会考虑...', '短评打分': 5}
{'短评内容': '距离潘家园很近，每次必会入住的酒店，跟价格比较匹配', '短评打分': 5}
{'短评内容': '距离潘家园很近，每次必住的酒店，还算可以，谢谢', '短评打分': 5}
{'短评内容': '房间虽然旧一点，但是面积很大，环境也算不错，绝对值得这个价位', '短评打分': 5}
{'短评内容': '酒店位置不错，紧挨三环。离国贸CBD很近。', '短评打分': 5}
{'短评内容': '房间大但设施陈旧。前台有点傲慢！客服热情', '短评打分': 3}
{'短评内容': ' 性价比不错。', '短评打分': 3}
{'短评内容': '不错,还会再去', '短评打分': 3}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '地理位置非常好，除了这一点好，我看不出来其他的好处，我看就招待所的档次，就相当100－150的档次，根本不配三星级。淋浴喷头在坐便器侧上方，一冲澡坐便器就溅的都是水，还满地积水，积水长时间流不走。', '短评打分': 1}
{'短评内容': '这次住的288的标间，比想像的要好，只是卫生间洗澡的水没办法隔开流下去。', '短评打分': 5}
{'短评内容': '酒店其差，90年代的装修，完全不是三星，千万别住，哎！', '短评打分': 3}
{'短评内容': '已经入住，条件还行', '短评打分': 3}
{'短评内容': '房间 很大。以这样的价钱住这样大的房间，真的很值，不错。', '短评打分': 5}
{'短评内容': '设备有一旧，房间到挺大的，下次来了还会住，值得推荐一下。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '是个3星级（貌似）不过那是主楼，这里订的是副楼，环境和配置还行，就是不知道是不是房间的问题，窗户在卫生间，屋里很潮。', '短评打分': 5}
{'短评内容': '客观说，酒店性价比尚可，只是洗手间设备有点陈旧。', '短评打分': 5}
{'短评内容': ' 条件还可以，就是浴室差了点', '短评打分': 3}
{'短评内容': '比较旧，但是价格比较便宜。离地铁站比较近！早餐比较简单，可以吃饱！', '短评打分': 5}
{'短评内容': '服务很到位，房间很宽敞，环境不错，睡觉也安静，就是使用的物品陈旧，需要更换了。总体还满意', '短评打分': 3}
{'短评内容': '卫生很差，地毯实在太脏了，走道异味重。唯一就是价格还可以。', '短评打分': 1}
{'短评内容': '服务人员态度不好，饭店卫生很差，下次肯定不会入住！！！', '短评打分': 1}
{'短评内容': '入住的时尚单人间，感觉一般，有点旧地毯挺脏。不过这个价位也不要要求太多了。', '短评打分': 3}
{'短评内容': '帮朋友定的，很好\n价格便宜，房间很大\n超值', '短评打分': 5}
{'短评内容': '酒店性价比尚可,但卫生间有点破旧。', '短评打分': 3}
{'短评内容': '酒店环境安静，交通便利，房间大又经济。还不错', '短评打分': 3}
{'短评内容': '-房间宽敞，安静，设施略久！', '短评打分': 3}
{'短评内容': '住房环境还可以，就是有点脏，交通便利，下次还来。', '短评打分': 5}
{'短评内容': '交通便利, 安靜\n距離捷運站很近\n在三環車多的馬路上, 這飯店並沒有面對馬路, 因此不受到三環車子的噪音影響\n我還會去住的', '短评打分': 5}
{'短评内容': '挺不错的，很多车位,房间也挺大,就是设备挺久的了', '短评打分': 5}
{'短评内容': '交通便利，空间大，实惠，很不错的选择！\n下次来还住。', '短评打分': 5}
{'短评内容': '这次入住的是特价套房，感觉整个酒店都比较旧了，房间内设施也很久，感觉早该重新装修了，以上！', '短评打分': 1}
{'短评内容': '华泰房间陈旧，卫生条件不好。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务可以', '短评打分': 3}
