{'短评内容': '此酒店的最大优点是酒店位置和早餐不错；最大的缺点是淋浴房内放个木桶，这真是个脑残的设置，而且温泉水水温偏低，如有人要泡澡多半会感冒，另外淋浴房还缺地巾，每天淋浴需爬进爬出木桶，这经历购有趣的！', '短评打分': 4}
{'短评内容': '挺好的，地段，', '短评打分': 5}
{'短评内容': '酒店离动车站  汽车站都很近 很方便 ', '短评打分': 5}
{'短评内容': '离机场大巴非常近，早餐很好，吃的饱，出门就是公交站，去各个地方非常方便，温泉泡澡非常舒服', '短评打分': 5}
{'短评内容': '酒店位置好，离地铁一号线近。2站地铁即到三坊七巷！吃住玩都方便！酒店价格便宜还含双早！够棒！房间被子床单超干净！卫生一流！性价比超值！', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '服务有待提高，开发票要纳税证明，谁要求的？', '短评打分': 2}
{'短评内容': '酒店就在福州市中心 交通方便 去各个地方都不远 房子的温泉水也超棒 在这个位置算是很不错了 可以考虑入住', '短评打分': 5}
{'短评内容': '市区方便，设施较旧，前台服务还可以', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '温泉24小时提供、空调很给力', '短评打分': 3}
{'短评内容': '可随时泡澡', '短评打分': 3}
{'短评内容': '有泡澡桶，可泡温泉水，这点最喜欢。交通方便，卫生设施有点陈旧，一般', '短评打分': 3}
{'短评内容': '感觉一般，周边吃饭的地方比较多，交通比较方便，', '短评打分': 3}
{'短评内容': '在福州比较有名气的一个酒店，很干净！', '短评打分': 5}
