{'短评内容': '商誓师大会就开始克拉克机会的话睡觉睡觉', '短评打分': 5}
{'短评内容': '酒店在马路边上真的太吵了半夜。汽车噪音。不满意', '短评打分': 3}
{'短评内容': '全方位服务，非常好', '短评打分': 5}
{'短评内容': '整洁、离火车站近', '短评打分': 5}
{'短评内容': '帮家人定的。酒店交通很方便，离汉口站很近。服务也很好。很推荐。好评，应该会再住。', '短评打分': 5}
{'短评内容': '态度好，干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错 和睦伺候', '短评打分': 5}
{'短评内容': '，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '离火车站还是很近的，周围吃的也方便，一如既往的选择', '短评打分': 5}
{'短评内容': '一般。不过后来给我换了个标间', '短评打分': 4}
{'短评内容': '有活动 便宜一些。挺干净，就是网不快', '短评打分': 5}
{'短评内容': '房间还不错，服务也挺单位', '短评打分': 5}
{'短评内容': '还可以，离车站近', '短评打分': 4}
{'短评内容': '总的来说还不错', '短评打分': 5}
{'短评内容': '连锁酒店干净都放心，通过携程订果然便宜不少，离火车站不远。', '短评打分': 4}
{'短评内容': '酒店综合来说是不错的，但是Wi-Fi用起来不是很顺畅，时好时不好。可能靠近路边的关系，如果不关窗户的就太嘈，就算关了还是听得到。房间隔音效果不太理想，被子消毒水味道太重。', '短评打分': 4}
{'短评内容': '酒店比较老，还算可以吧！', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '卫生环境不错，服务态度非常好', '短评打分': 5}
{'短评内容': '环境不错，卫生比较干净。服务态度很好', '短评打分': 5}
{'短评内容': '交通方便，服务热情！', '短评打分': 5}
{'短评内容': '房间干净卫生，离火车站很近，前台接待态度很好', '短评打分': 5}
{'短评内容': '环境好服务好', '短评打分': 5}
{'短评内容': '房间设施简陋 没有沐浴液 没有洗发液', '短评打分': 3}
{'短评内容': '出行很方便卫生做的很干净下次去还会住客服速度有待提高', '短评打分': 5}
{'短评内容': '挺干净的···前台态度不错···推荐···会再次来···', '短评打分': 5}
{'短评内容': '酒店号称火车站店，其实离火车站还有一站公交的地方。酒店的房间不是对着马路，就是对着小区里的KTV的，好在KTV11点就基本没什么人在那唱了，之所以顶一个，是因为入住时前台会告知你这个情况，还算不错！', '短评打分': 5}
