{'短评内容': '酒店服务很好，给人以家的感觉，预定酒店后老板（前台）就打电话来确认到达方式，并安排师傅来接，师傅也提前打电话确认航班信息。酒店位置就在告庄边上，主要酒店提供机场接机服务，刚落地陈师傅就来电话接机了。20多分钟把我们送到酒店，虽然都是凌晨了，师傅还热情的帮我们提行李安排好房间。房间干净，早上的早餐是8:00-9:30,有米线，根据你的需求现煮，味道可以自己调。有鸡蛋，馒头，稀饭的简餐，可以吃饱，呵呵', '短评打分': 5}
{'短评内容': '下次还会住这里。', '短评打分': 5}
{'短评内容': '住了就知道，不会后悔。', '短评打分': 5}
{'短评内容': '很好，下次还会住的。', '短评打分': 5}
{'短评内容': '位置好，离大金塔和星光夜市都很近，三层楼园子，桂花好香，还有很多花草树木，老板很热心帮这帮那的。我们住了四天，值得大家去住。', '短评打分': 5}
{'短评内容': '房间有情调，选这家没错的！床单被套很干净，睡得很香，很舒服，老板十分热情，真心太棒了！', '短评打分': 5}
{'短评内容': '内部设施齐全，尤其是淋浴水流很大，洗得很舒服，房间干净舒适，卫生弄得非常的干净到位，房间宽敞舒服，老板人也很爽快，不错的选择！！！', '短评打分': 5}
{'短评内容': '环境优美住宿干净', '短评打分': 5}
{'短评内容': '房间很大，看起来挺精致的，而且价格也不贵，位置也挺不错的，老板娘服务也好，非常热情和善！', '短评打分': 5}
{'短评内容': '地理位置挺不错，房间设施、卫生都挺满意的，卫生间热水充足，水量调节灵敏，连续住了好几天了，真满意！', '短评打分': 5}
{'短评内容': '房间很宽敞，干净温馨，入住非常方便，性价比也很高，地段也不错打车等都比较方便。床宽敞舒适，以后过来就住你们家了，还要介绍同事过来住，真心不错！', '短评打分': 5}
{'短评内容': '一定要给好评的客栈，服务超棒的，还耐心的给我们规划行程，下次有机会还去你那住，老板记得给我们优惠哦！', '短评打分': 5}
{'短评内容': '很好，环境很漂亮、房间很大也很干净！赞', '短评打分': 5}
{'短评内容': '好，就是好，每次去版纳都是住在这，环境好，老板很热情，住的也很好', '短评打分': 5}
{'短评内容': '环境很不错  这次是来出差的   等下次自己来玩的时候还住这里   服务真心没得说  相当到位', '短评打分': 5}
{'短评内容': '在西双版纳著名旅游集聚地 老板人很好 环境也幽静出门就是夜市 非常方便 因为要去老挝 把一部分行李寄存在客栈 回来后又住了一天 不错的选择', '短评打分': 5}
{'短评内容': '酒店不错，老板也很好，就是旁边在施工太吵。', '短评打分': 4}
