{'短评内容': '房间设施一般', '短评打分': 4}
{'短评内容': '我入住的房间，不带早餐，能不能加床就不知道了，带孩子来玩地确是个不错的地方，酒店位置有一点偏僻，该酒店的停车场倒是挺大的，总之酒店还是可以的。', '短评打分': 5}
{'短评内容': '代人预订。哈哈', '短评打分': 5}
{'短评内容': '停车方便，环境很好。', '短评打分': 4}
{'短评内容': '设施有点旧了，在一个村子里面，周围吃饭不是很多。晚上蚊虫有点多，居然在房间抓到一只壁虎，房子错落有致的在山上分布着。还可以，周围环境不咋样', '短评打分': 5}
{'短评内容': '很好，第一次住这里，希望以后还有机会住这家店。', '短评打分': 5}
{'短评内容': '环境很不错，很安静！', '短评打分': 4}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '环境挺好，舒适', '短评打分': 5}
{'短评内容': '订的豪标，不知道豪在哪里，连个洗脸毛巾都没有，基本无语了', '短评打分': 4}
{'短评内容': '太老了，太久了，太失望了', '短评打分': 3}
{'短评内容': '环境幽静，干净整洁，适合休闲，推荐。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房子很旧不好，不值这个价钱呀。', '短评打分': 3}
{'短评内容': '很有特色，环境很好。', '短评打分': 5}
{'短评内容': '房间干净，整体环境不错', '短评打分': 3}
{'短评内容': '干净整齐，给人感觉很舒服，山庄的娱乐设施齐全', '短评打分': 5}
{'短评内容': '环境不错，休闲避暑好地方。孩子很喜欢！', '短评打分': 3}
{'短评内容': '山庄有名气，离城市比较远，占地面积比较大，居家来这边住一两天休闲一下，会议接待都是不错的选择.', '短评打分': 5}
{'短评内容': '房间的隔音做得很好，干净踏实，而且也有自己的停车场，自驾过来郊游是一个不错的选择.', '短评打分': 5}
{'短评内容': '酒店的配套设施比较好，电视、卫浴及客厅装修装潢都是非常达标的，住着就感觉舒服，空气又好.', '短评打分': 5}
{'短评内容': '位置有点偏，距离市区有点远，感觉出行不太方便，不过酒店内的配置娱乐设施还是挺多的，这点很不错.', '短评打分': 5}
{'短评内容': '客房装修的很好，比较有韵味，而且服务也很热情，对我们都挺亲切的，感觉还不错.', '短评打分': 5}
{'短评内容': '服务人员办事效率还是挺高的，而且条件好，住宿水平也比较不错，整体舒适度很好.', '短评打分': 5}
{'短评内容': '地方相对偏了点，感觉距离市区有些太远了，渡假类的酒店，感觉服务方面还是有不到位的地方，还需要再提高吧.', '短评打分': 3}
{'短评内容': '老酒店，设施还是相对有些陈旧，配置方面需要再及时提高一些，其它各方面条件还行，整体来讲算不错吧.', '短评打分': 5}
{'短评内容': '以娱乐、住宿、餐饮为一体的酒店.设想很周到，并且客房内的条件也非常不错.整体水平还是挺好的.', '短评打分': 5}
{'短评内容': '酒店条件还是挺不错的，房间类型比较多，可选择面也是挺广的，住着舒适方便，同时适合渡假.', '短评打分': 5}
