{'短评内容': '非常好，直接被取消', '短评打分': 5}
{'短评内容': '第一次在这里订，京东的酒店服务性价比很高，一流！', '短评打分': 5}
{'短评内容': '好，不错的酒店', '短评打分': 5}
{'短评内容': '离厦门大学等景区近，周边吃饭，交通坐车都比较方便，酒店位置在里面，比较安静，卫生一般般，物有所值吧。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比可以。建议伙伴按出行计划选择酒店。', '短评打分': 5}
{'短评内容': '还好，快捷酒店都一样', '短评打分': 5}
{'短评内容': '总体不错，感谢优质服务', '短评打分': 5}
{'短评内容': '还不错，附近交通很方便。', '短评打分': 5}
{'短评内容': '服务态度好，房间升级空间大，热水足，不错', '短评打分': 5}
{'短评内容': '离南普陀和厦大非常近，环境不错，还会再来', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '去酒店有坡度，上去比较累', '短评打分': 4}
{'短评内容': '就是便宜', '短评打分': 3}
{'短评内容': '离南普陀近；门口略有点坡度，高峰时段去机场车站要提前预定', '短评打分': 4}
{'短评内容': '环境不错，出路方便', '短评打分': 4}
{'短评内容': '位置比较方便，环境还好。', '短评打分': 5}
{'短评内容': '确实需要爬一段坡，环境还行，就是旁边有施工，比较靠近路边，公交经过会听到，出门就是一个公交站，出行还行', '短评打分': 4}
{'短评内容': '那条路上有如家N个，还好没找错， 这个在坡上， 回来有点累，其他都还好', '短评打分': 4}
{'短评内容': '干净，也很安静', '短评打分': 4}
{'短评内容': '住的房间刚好可以看见海，不过离海有点远，房间环境很好，价格也适中，适合入住。', '短评打分': 5}
{'短评内容': '地理位置方便，房间简洁。', '短评打分': 5}
{'短评内容': '总的来说还可以，就是窗户比较高，又小，什么也看不见，刮风的时候当当响，不隔音，连放行李的的架子都没有。优点也很多：房间虽小但干净、服务也不错、最主要的是地理位置好，去哪都方便，公交车也非常多，这是个不错的选择。', '短评打分': 5}
{'短评内容': '位置不错，步行到南普陀寺和厦大一站路，比较安静，电脑不错，能用', '短评打分': 5}
{'短评内容': '已经是第二次入住这家酒店了，距离厦大南普陀都非常近，房间也很整洁很干净，下次来还会选择这家！', '短评打分': 5}
