{'descr': '位置很好，房间也不错', 'star': 3}
{'descr': '不错，离后海很近', 'star': 3}
{'descr': '太破旧了，如果事先看到这房间，我是怎么样都不会订的，破旧的不行了，像是80年代的住的一样，大床就像个大锅一样，中间塌下去的很厉害，睡得非常不舒服，说实在的，还是住连锁的让人放心，这个价格住这个房间，花100一晚上都不愿意', 'star': 1}
{'descr': '位置超好，设施还不错。适合旅游。建议入住。', 'star': 5}
{'descr': '床挺大的 我们定的三人间 住六个人都没问题 无线也不错 不过环境不太好 卫生间看上去不舒服', 'star': 5}
{'descr': '在南锣鼓巷里面，地理位置很好，房间的话只能说还凑合了，，', 'star': 5}
{'descr': '内蒙古饭店服务不错，干净卫生，经常住这里', 'star': 3}
{'descr': '酒店地理位置非常好，三分钟就到南锣鼓巷，周边步行十几分钟可以到后海 等景点，非常方便，再去北京还会选择。', 'star': 3}
{'descr': '酒店设施陈旧，卫生状况不好，隔音效果差，房门的锁还是坏的。', 'star': 1}
{'descr': '离景点很近 最近在装修 空调暖风很给力 设施比较陈旧 ', 'star': 5}
{'descr': ' 还不错。碰巧正在装修。?这地段。这个价钱真的很值。', 'star': 3}
{'descr': '地方很好，就在南锣鼓巷的一条小胡同里，是热闹地的一块安静的地方。', 'star': 5}
{'descr': '环境很好 就是隔音有点差，地理位置很不错 离后海 很近   可就是有个值夜班的女服务员很恶劣长得胖胖的 每次我见到她都是在对这电脑笑的很二 向她问个路 怪得要命', 'star': 5}
{'descr': '房间蛮大，但设施有点旧，卫生间味道有点重。位置还可以。', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '地点好   服务热情  总的来说还好   就是卫生比较差 希望再装修一下就更好了  放心！下次我一定再去北京的时候一定住在那里！ 也告诉朋友去北京的时候一定去那里住！价钱比较便宜！', 'star': 5}
{'descr': '硬件一般,环境一般,位置一般,晚上还会有蚊子,适合这个价位.不过搞卫生的大妈怎么就不问问有没有人就进来呢,尴尬,如果你不在乎享受,还是可以来住一住,', 'star': 5}
{'descr': '说不上很好，但是性价比很高，一分价钱一分货。值吧！', 'star': 5}
{'descr': '服务态度好.性价比较高.', 'star': 3}
{'descr': '服务好,物美价廉,只是硬件差一点儿,我住的房间房间卫生间水龙头渗水.', 'star': 5}
{'descr': '优点：地点非常好，步行即可到达什刹海酒吧街等景点，到其他地方的交通又都方便，地铁即将开通出行更快速，酒店老板服务态度很好。\n缺点：酒店的设施比较陈旧，临走时已经向酒店老板提议将浴室的粉红灯换成白光的，还有房间最好能简单的装修一下，那样酒店的更理想了。\n总的来说，对得起148元的房价。', 'star': 5}
{'descr': 'fang     jian   ke yi ', 'star': 5}
{'descr': '位置太好！重要景点靠步行就能到十几个，虽然设备老旧服务慢性些，可就那价格 行！', 'star': 3}
{'descr': ' 房间挺宽敞 就是设施一般', 'star': 3}
{'descr': '交通很方便，前台服务很热请如果硬件再新点就更好了^^', 'star': 3}
{'descr': '房间挺宽敞，就是设备略显陈旧，而且玻璃上居然都是裂纹~~隔音效果很差，但地理位置很好，方便去锣鼓巷等后海地区游玩', 'star': 5}
{'descr': '还可以，不错，帮朋友订的，挺方便的。周围环境挺好！', 'star': 5}
{'descr': '离南锣鼓巷很近，晚上去逛非常有感觉。但交通不很方便，总的来说还值得一住。', 'star': 5}
{'descr': '设备陈旧 卫生一般  没有窗户 隔音不好   ', 'star': 1}
{'descr': '宾馆服务态度很好,性价比教高,位于胡同里面,可以感受北京胡同风情,如果费置物品别放在走廊里就更好了', 'star': 3}
{'descr': '非常满意', 'star': 3}
{'descr': '还不错，挺干净的。', 'star': 3}
{'descr': '旅馆挺好的，地点很方便，服务很热心。', 'star': 3}
{'descr': '总体来说一般，卫生一般，服务一般，一分钱一分货吧。', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '老板人挺好的，跟他咨询了好多旅游的线路，住的三人间，房间很大，挺干净的，\n只是淋浴用的是电热水器，要烧得那种，要等很久才能去洗澡，算唯一的瑕疵了，\n其他都很好~~', 'star': 5}
{'descr': '感觉真的很好…服务也不错…临时决定多住一晚…希望有房', 'star': 3}
