{'短评内容': '房间很大，很舒适', '短评打分': 5}
{'短评内容': '老酒店，性价比较高。', '短评打分': 5}
{'短评内容': '早餐还不错', '短评打分': 5}
{'短评内容': '一家很老的酒店，房间设施陈旧，卫生间漏水，网络差，卫生需要改善，早餐还可以。酒店位于武进体育馆，武进游泳馆旁边，锻炼比较方便，周边吃饭的小店不多。', '短评打分': 3}
{'短评内容': '一家很老的酒店，房间设施陈旧，卫生间漏水，网络差，卫生需要改善。酒店位于武进体育馆，武进游泳馆旁边，锻炼比较方便，周边吃饭的小店不多。', '短评打分': 3}
{'短评内容': '我当时住的时候，卫生条件不是很好，味道很大。', '短评打分': 3}
{'短评内容': '一级棒', '短评打分': 5}
{'短评内容': '酒店周围环境很好，但打车不太方便，酒店设施老旧，服务尚可，价格便宜。', '短评打分': 4}
{'短评内容': '周边环境还好，就是软件老化了', '短评打分': 4}
{'短评内容': '我们订的标间，房间还可以不错的，空气流通也可以，卫生也不错，总的说来就是不错', '短评打分': 5}
{'短评内容': '酒店房间大，周边环境不错，不过房间稍微有异味。', '短评打分': 4}
{'短评内容': '还可以！就是无线网不是太好！洗浴设施好！还有网络电视…不错', '短评打分': 5}
{'短评内容': '服务相当差，酒店卫生很脏，过去的时候定的房间已经没有了，也没有提前通知，前台跟大爷一样', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '对于酒店当时处理问题的，结果还是比较满意的', '短评打分': 5}
{'短评内容': '位置好，性价比高，，下次还会再次入住，，，期待更好的服务', '短评打分': 5}
{'短评内容': '交通不方便…出去要很久附近没有吃的店…酒店看的大…但是环境很一般', '短评打分': 3}
{'短评内容': '还是很实惠的，住了几次，里面设施一般般，对于这个价格可以了，还提供早饭，只是很多客人特别吵！', '短评打分': 5}
{'短评内容': '对于这个价格，没什么好说的了，主要是安静、方便！', '短评打分': 5}
{'短评内容': '服务与环境都超一流，早餐也很好，下次还会去的！', '短评打分': 3}
{'短评内容': '   说实在的，在写是否推荐时有点纠结，因为本次入住经历有点喜忧参半，我们一行五人是到淹城春秋乐园去游玩的。该酒店给我的印象是离淹城春秋比较近，不到五分钟的路程，房间虽然重新装修过，但不彻底，给人一种穿新衣，戴旧帽的感觉。晚上热水是一大诟病，我洗的时候是热的等到我老婆洗时变成了凉水，过一会又变热了，早餐比较单调，免费上网形同虚设，唯一值得欣慰的是遇到的服务员比较好。所以综上所述，如果你是去出差，而', '短评打分': 5}
{'短评内容': '总体环境还是不错的，但是令人不满意的地方时空调声音太大，晚上有点嘈杂，而且周围交通也不是很方便，需要走好几里路才能有公交站站台！', '短评打分': 5}
{'短评内容': '还可以！住宿挺便宜的，早餐可以凑合吃！。。。。。。。。。。。。。。。。。。', '短评打分': 5}
