{'短评内容': '很好   一个人出来玩  很适合', '短评打分': 5}
{'短评内容': '酒店位置很好找，就在宁德高速下来开几分钟就到，适合自驾中途休息。酒店装修很现代，房间设施很好，床品、浴巾很新，很干净。周边吃喝俱全，旁边一家牛肉面很好吃。酒店早餐还可以。关键性价比太高了，以后还会选择。', '短评打分': 5}
{'短评内容': '早餐还可以，本人住的房间不可加床，同酒店带孩子的人挺多的，  离市中心较近，停车场可能就是楼下、门前的区域，总体还不错', '短评打分': 5}
{'短评内容': '真心不错，值得推荐。下次还会去。', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 2}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '..................还行', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般', '短评打分': 4}
{'短评内容': '环境不错，还是星级酒店，值得入住', '短评打分': 5}
{'短评内容': '还不错，就是房间有点小，特别是厕所，实在小', '短评打分': 5}
{'短评内容': '隔音效果不好，你们懂的！吵', '短评打分': 5}
{'短评内容': '房间还好，只是不是靠窗位置', '短评打分': 4}
{'短评内容': '还是不错的，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '还八错，房间挺大的，交通便利', '短评打分': 3}
{'短评内容': '不错啊，离要去的地方很近，吃的也很多，交通方便', '短评打分': 3}
{'短评内容': '挺安静的，下面就是夜市', '短评打分': 3}
