{'短评内容': '房间很大，服务太度很好，很满意。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '地方很满意！不错不错啊！', '短评打分': 3}
{'短评内容': '还可以 就是隔音不好 靠路边车声太响了 其他的还可以 也就值这个价钱 自助餐非常差 没法吃', '短评打分': 5}
{'短评内容': '不错，推荐下', '短评打分': 3}
{'短评内容': '还不错，交通也比较方便，就是卫生间隔音不太好', '短评打分': 5}
{'短评内容': '干净整洁交通方便，不足的是房间没有电脑.', '短评打分': 5}
{'短评内容': '卫生环境挺不错的，服务态度也很好', '短评打分': 3}
{'短评内容': '  空调不制暖   其他还好', '短评打分': 3}
{'短评内容': '酒店条件还可以，靠近火车站，就是吃饭不方便，价格不用说很实惠。', '短评打分': 3}
{'短评内容': '安静舒适，宽敞明亮。还会去的，希望早餐可以在丰盛一些', '短评打分': 5}
{'短评内容': '很干净  值得向大家推荐！\n缺点是空调不给力 电视太小 早上过往的车辆太多！', '短评打分': 5}
{'短评内容': '作。为。临。时。在。住。不。失。好。去。处。', '短评打分': 5}
{'短评内容': '酒店环境不错，还有丰富的早餐可选，距离火车站也很近，的确挺方便的！', '短评打分': 5}
{'短评内容': '整体感觉还可以，离火车站比较近，但是服务态度不好，入住100多，但发票只给100元，早餐比一般的还差。', '短评打分': 5}
