{'短评内容': '空调不制热太冷了住怎么多酒店从没这样过', '短评打分': 5}
{'短评内容': '可以，起的太晚，饭都没吃上', '短评打分': 4}
{'短评内容': '2013年的时候住过这酒店，那时候感觉还行。悔不该为了省钱，选择这个价位的房间。床单脏的，一次性拖鞋没有，浴巾没有，毛巾跟抹布一样，电吹风我只能呵呵，你们谁用谁知道。唯一的好吃就是早餐种类还跟以前一样，有点多。', '短评打分': 2}
{'短评内容': '酒店总体不错，设施稍陈旧，但商务出差挺好的。', '短评打分': 5}
{'短评内容': '酒店在市内十字路口，离高速口不远，后院免费停车，住了一宿，晚上到的，第二天一早就走了，感觉还可以，但是正赶上寒流降温，感觉好冷。', '短评打分': 5}
{'短评内容': '房間普通，稍有霉味，是否再來要考慮一下', '短评打分': 3}
{'短评内容': '来九江一直住这家，经济实惠！', '短评打分': 5}
{'短评内容': '酒店的服务态度很好，卫生条件也很不错干净利落，酒店的细节上也做的很好，老板还特意装了晾衣服的架子，不用晚上洗了袜子没地方晾，', '短评打分': 4}
{'短评内容': '墙纸在重新弄', '短评打分': 3}
{'短评内容': '位置不错，房间比较老旧，隔音效果不好，早餐不是非常丰盛，打车非常方便，周围吃饭的小店很多，但是菜都比较辣。', '短评打分': 3}
{'短评内容': '房间旧，如果逛街住这里方便，需要安静就不要选择这里了，达不到4星标准，不过价钱比较便宜。', '短评打分': 1}
{'短评内容': '环境很好，就是早餐种类有点少。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '水不热！！洗澡冻死了π_π', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '性价比不错，我们住的1105，可以远聎庐山山脉，俯瞰市景', '短评打分': 3}
{'短评内容': '空调很足，交通便利，离开发新区很近，物有所值', '短评打分': 3}
{'短评内容': '酒店缺点有以下两点：1.此酒店楼层高又多，经常接待活动会议很多人，但只有2个电梯，等电梯会急死人，几乎每次都要3-6分钟，急死人啊。2.此酒店开发票的机子太老了，要写单位名称的话就打字很慢，一个公司名称要打3分钟。望能改善.另外，楼梯为消防通道，但在10楼楼梯堆满杂物，很难通过，要发生火灾，后果不堪设想，忘加强管理。', '短评打分': 5}
{'短评内容': '还不错、住几次了、上网网速够快、房间卫生也可以', '短评打分': 3}
{'短评内容': '该酒店性价比适中。', '短评打分': 3}
{'短评内容': '还行.不过他们的门市价只有你们价格的一半.', '短评打分': 3}
{'短评内容': '位置挺方便的，隔壁是新开的电影院，还去看了场电影。对面是派拉蒙超市，买特产也方便，打车去滨江路的步行街那吃饭，十几元钱的车费', '短评打分': 5}
{'短评内容': '非常舒适安逸的环境\n出门就是商业街很方便\n我们定的是豪华商务三人房\n非常好\n一天打扫2次房间\n早餐品种不是很多哦\n下次还会来的\n230元的价格超值！\n', '短评打分': 5}
{'短评内容': '酒店不错，环境比较好，地理位置也很好。比较干净。', '短评打分': 5}
{'短评内容': '不错的宾馆，性价比高，设施好，中央空调很给力，“立体”车库挺希奇，还能练停车技术', '短评打分': 5}
{'短评内容': '房间还可以，早餐不是很好，太对不起4星级酒店的招牌了', '短评打分': 5}
{'短评内容': '地理位置很好，服务不错，早餐也不错，不过作为四星级来说，还是差点意思。', '短评打分': 3}
{'短评内容': '房号一一零，一零八', '短评打分': 3}
{'短评内容': '该酒店不错。', '短评打分': 3}
{'短评内容': '酒店价格合适，在比较繁华地区》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》', '短评打分': 5}
{'短评内容': '设施有些陈旧。电脑不太好。  洗浴品不太好，毛巾 浴巾 很旧', '短评打分': 5}
{'短评内容': '条件很好！', '短评打分': 3}
{'短评内容': '缺点： 1. 房间装修较老\n       2. 卫生间排水不畅，洗澡会有积水。\n       3. 早餐品种太少\n优点： 1. 服务热情。\n       2. 2楼晚餐不错。\n       3. 周边比较方便，对面有个大超市\n\n价格适中，适合短期旅居。', '短评打分': 5}
{'短评内容': '不是我说还不如一般酒店，枕头有污渍好明显', '短评打分': 3}
{'短评内容': '房间装休略显老旧，早餐品种太少?服务很热情，周边购物交通方便。', '短评打分': 3}
{'短评内容': 'xingjiabijiaogao,danjiushiruzhude fangjian meiyou chuanghu youdian bushufu', '短评打分': 5}
{'短评内容': '酒店的服务态度还可以，比较热情。但是，达不到4星。我入住以后，介绍是无烟楼层，可是实际不符，服务员也比较粗心，房间里的电话是坏的，有电脑也不能上网，卫生间里没有洗头液，后来没有办法只能换房到团队的房。公共场所（大厅，餐厅）也不禁烟，可以随意抽，服务员看到了，没有任何反应，熟视无睹。明显违背国家禁烟条例。饭店的餐厅主要是对外的，我想用餐，中午被告之要在下午1点半以后，后来只能在外面解决。', '短评打分': 1}
{'短评内容': '酒店较老，与四星的评级和价格有较大差距，性价比较差，房间隔音效果也差，凌晨开钟点房的爱爱的叫声非常大。唯一可取的是服务还算可以。', '短评打分': 1}
{'短评内容': '很好，很实惠，商务间比较宽敞，空调很好很安静，差旅中是值得选择的首选酒店，早餐很丰盛，下次还会入住，价格已很便宜', '短评打分': 5}
{'短评内容': '一切都很好，性价比很高，下次还会选择11111111111。', '短评打分': 5}
{'短评内容': '还不错，位置有点偏，对面是超市，方便购物。', '短评打分': 5}
{'短评内容': '很不错，下次过去时还住，很不错，下次过去时还住，', '短评打分': 5}
{'短评内容': '卫生状况好，服务不错，设施齐全，但目前主公路修路，交通有点不便！', '短评打分': 5}
{'短评内容': '酒店性价比很不错，设施服务也很精细，下次去九江还会考虑入住的。', '短评打分': 5}
{'短评内容': '性价比很高，服务和房间设施都很细致，很喜欢、', '短评打分': 5}
{'短评内容': '距离火车站稍微远点,但是整体服务包括软硬件素质都不错,价钱也相对合理,值得推荐', '短评打分': 5}
{'短评内容': '虽是四星，但是全部加起来就是三星而已。所以需要订房的请参考三星的价格。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
