{'短评内容': '挺不错的，安静，有台灯。', '短评打分': 5}
{'短评内容': '很好…很满意', '短评打分': 5}
{'短评内容': '啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦。整体赶脚还是不错呢。', '短评打分': 5}
{'短评内容': '啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦，啦啦啦。整体赶脚还是不错呢。', '短评打分': 5}
{'短评内容': '性价比高，比较干净。', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '出差入住，交通很方便，离会展中心较便利，服务也不错，下次再来还会选择！', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '很好，干净，舒适，服务周到', '短评打分': 5}
{'短评内容': '酒店交通便利，服务热情', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，环境安静，也很干净。', '短评打分': 4}
{'短评内容': '典型的实惠型酒店，就是周边配套不太好，连吃个早餐都困难，总体来说选择推荐！', '短评打分': 4}
{'短评内容': '环境卫生不错，附近交通也便利。就是入住的时候等的时间有点长，他们的工作不够完善。', '短评打分': 3}
{'短评内容': '半夜水不热', '短评打分': 4}
{'短评内容': '酒店设施非常好，价格合适，平时去云南出差时必住的酒店，好评', '短评打分': 5}
