{'短评内容': '乌镇周边都是差不多的小宾馆，性价比不错。', '短评打分': 3}
{'短评内容': '桌子灰好厚。房间也不是很大，一般般，。。。。。。', '短评打分': 4}
{'短评内容': '排气扇坏掉了，其他倒还好，', '短评打分': 3}
{'短评内容': '我好像看到了些什么，不过景区小旅馆也挺正常，房间小，但其他设施完好。很赞', '短评打分': 3}
{'短评内容': '基本满意。离景区很近老板留得房间很通风舒服', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店离景区很近，性价比很高，老板也很热情。', '短评打分': 5}
{'短评内容': '不错，老板人很好，而且是在景区门口，相当方便', '短评打分': 5}
{'短评内容': '住的是一件没有窗户的房间，所以有很多小虫子在飞，晚上把房间的灯关了，把门打开虫子才飞出去了一些，后来把空调打开，虫子才没有到处飞！整个环境还行，毕竟只这个价格！', '短评打分': 3}
{'短评内容': '老板态度挺好的，来车站接送我们，酒店无窗房有些不愉快的味道，但无窗就无法避免吧。', '短评打分': 5}
{'短评内容': '房间还可以，离景区也近，对得起这个价格，附近吃东西的地方也不错', '短评打分': 5}
{'短评内容': '很干净，感觉还不错啦！', '短评打分': 3}
{'短评内容': '环境还不错，位置比较好', '短评打分': 3}
{'短评内容': '酒店服务挺好的，只是热水器供水比较慢，洗热水澡要等好久，希望能改进～', '短评打分': 5}
{'短评内容': '旅馆老板俩口子人真的挺好，还到乌镇客运站接我们，旅馆很干净，洗漱用品齐全。下次去乌镇一定会再次光顾。', '短评打分': 3}
{'短评内容': '房间小，卫生差，水管里流出的水实在是不敢想象！太差了！不敢恭维！', '短评打分': 1}
{'短评内容': '我觉得不错，可以接站，位置也很好，房东夫妻两个很好！绝对推荐', '短评打分': 5}
{'短评内容': '卫生一般，这2天入住，蚊子还比较多。不过比较安静，建议去乌镇的还是住景区内比较好', '短评打分': 1}
{'短评内容': '住宿吃饭都特别方便\n很好,离西栅很近,东栅步行11分钟的样子', '短评打分': 5}
{'短评内容': '服务很好，老板人很热心还负责接送，房间也很干净就是牙膏没有盖儿，扎个洞不方便', '短评打分': 3}
{'短评内容': '以入住还行', '短评打分': 3}
{'短评内容': '老板人很好.下次会在来住.房间还好,地理位置方便', '短评打分': 5}
{'短评内容': '老板挺热情的，感觉也挺干净的。', '短评打分': 3}
