{'短评内容': '体面的，挺好的，服务态度好', '短评打分': 5}
{'短评内容': '一直在携程上订房间，信息、服务很好', '短评打分': 5}
{'短评内容': '房间很大，干净卫生，有地暖挺暖和的，有免费停车场，前台小姑娘服务很热情，不错下次还会选择。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比高，服务热情，商务出差值得推荐', '短评打分': 4}
{'短评内容': '很棒。', '短评打分': 5}
{'短评内容': '房间干净卫生，服务好，停车方便，周围交通也不错，周边餐饮多，简餐招待都有合适的去处', '短评打分': 5}
{'短评内容': '一直很支持海之居，位置安静，各方面都不错，比其他的一些商务行酒店强多了，低价位，高标准，一往不变的支持', '短评打分': 5}
{'短评内容': '酒店环境挺好的，服务太度也很好，前台小姑娘特别热情，房间很温馨，位置很安静，床睡着很舒服，无线上网很快，停车场停车方便支持。', '短评打分': 5}
{'短评内容': '宾馆位置挺好挺安静的，服务员很热情，房间很干净，阳面住着很舒服，特别是地暖取暖，真的太好了。价格不贵，真的很好，住的很开心。', '短评打分': 5}
{'短评内容': '出行方便，比较安静，距离车站很近很方便！！！！', '短评打分': 5}
{'短评内容': '酒店很安静，商务出差很不错的选择，距离车站也非常近！！！', '短评打分': 5}
{'短评内容': '一直住还不错，但是这一次房间卫生纸居然没有了', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '酒店很干净，房间采光不错，设施设备也很好，离长途车站很近，交通算是方便， 唯一的缺点就是房间小了点，不过总体来说还是不错。', '短评打分': 3}
{'短评内容': '优点：干净，闹中取静\n缺点：房间，洗手间太小，转个身都困难，性价比不高。', '短评打分': 5}
{'短评内容': '价格超实惠，但是好像主要接旅游团的单，散客很少！', '短评打分': 5}
{'短评内容': '性价比高！觉得不错又多住了一晚，院子里可以停车，比较安全！', '短评打分': 3}
{'短评内容': ' 这酒店住还可以就是早餐太差，而且无吃饭的地方。', '短评打分': 3}
{'短评内容': '性价比挺高的~ 而且人超好的，我们是凌晨三点多到的，还帮我们通融了一下呢 爱死那位姐姐了~', '短评打分': 5}
{'短评内容': '入住2人。409，411。', '短评打分': 3}
{'短评内容': '非常不错，下次还住那里。环境和布局都很好\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '还行，卫生间设计不合理，晚上冲凉水不够热，冲凉喷头高，水冲下来就变冷了，另外没有遮挡，冲凉会把马桶旁的纸巾淋湿', '短评打分': 1}
{'短评内容': '很干净服务也好推荐', '短评打分': 3}
{'短评内容': '总体来说物有所值。有点星级酒店的感觉，就是洗澡间是淋浴喷头，不是很上档次。。。', '短评打分': 5}
{'短评内容': '房间没暖气，说地暖，但是很冷。房间热水不是24小时，到晚上回房间就没有热水了。', '短评打分': 1}
{'短评内容': '一如既往的干净，温馨，因为工作原因几乎2个月去一次日照出差，以前不知道海之居的时候住如家，自从去年住了海之居之后，现在每次都选海之居。前台的服务也很周到，帮忙打印收发传真。房间东光，电视等都一流的，就是冬天的时候感觉地暖不是很暖和，害的我抱着枕头睡一夜，不过也微不足道。', '短评打分': 5}
{'短评内容': '很好，干净舒适', '短评打分': 3}
{'短评内容': '性价比还可以，希望卫生间有挂钩，地理位置有点偏僻，离海边比较远，日照饭店饭菜质量差劲，价格很贵，在日照基本上吃不上可口的饭菜，比较悲哀。。。。', '短评打分': 5}
{'短评内容': '很好很好的，超赞！冬天地暖，很暖和，而且有热水，床也很大很舒服，强力推荐！！！！第二次住了，希望房间配个电脑', '短评打分': 5}
{'短评内容': '很好很好的，超赞！冬天地暖，很暖和，而且有热水，床也很大很舒服，强力推荐！！！！', '短评打分': 5}
{'短评内容': '酒店环境还可以，是地暖相对比较暖和，服务态度好，新开的酒店环境卫生，下次还会入住', '短评打分': 5}
{'短评内容': '服务各方面都很好！房间干净，房间设施也很齐全！', '短评打分': 5}
{'短评内容': '房间还可以，就是比较冷只有一直开着空调才行，电脑太烂了，下次绝对不要电脑房了。周围环境一般，好在宾馆在胡同里没什么噪音。', '短评打分': 3}
{'短评内容': '太偏了，本来订的两天都只住了一天，我朋友习惯说开空调，服务员不给，搞的我朋友很气了，哎。', '短评打分': 1}
{'短评内容': '很差，不推荐入住。\n1. 我们订7间房，1间发现被单上还有血，多间反应卫生差。\n2. 5间连起码的浴巾都没配置。\n3.地板超级滑，洗澡没有隔离，且还没有手持莲篷头，水喷满地都是。老人小孩要特别小心。', '短评打分': 1}
{'短评内容': '卫生很好，交通便利，出门就有公交车，做18路5分钟就到市里。。。。。。', '短评打分': 5}
{'短评内容': '设施还不错，有点偏，距离海边较远，开车还可以！', '短评打分': 5}
{'短评内容': '房间干净整洁,价格便宜,早餐好吃可口。下次还住这里。.', '短评打分': 3}
{'短评内容': '离汽车站很近但是不太好找。\n很干净的，没入住的房间都会开门开窗通风，屋子采光很好。就是洗澡水不太热，望改进。', '短评打分': 5}
{'短评内容': '环境和卫生还可以，位置不在马路边上很安静，服务员也很热情。就是交接房间的时间很长，下午两点半入住了，房间里的洗漱用品还没有准备好。只要不计较离海边的距离的还是值得推荐的。', '短评打分': 5}
{'短评内容': '一己入往曰照海之居一张锡衡2011;9月5日', '短评打分': 3}
{'短评内容': '相对于酒店的价格来说，房间情况还算相宜，如果性价比再高些就好了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还算好。不过设置还要更新，服务态度都很好。', '短评打分': 5}
{'短评内容': '环境还不错，比较安静。下次应该还会再次入住吧。不过洗澡设施挺不方便的，希望能改进一下。', '短评打分': 5}
{'短评内容': '还比较干净，就是位置离海边远了一点。服务也不错。', '短评打分': 5}
{'短评内容': '交通还算比较便利，但离开海边挺远的，要10多公里吧，房间只能算比较整洁和安静吧，没什么特点，卫生间就差了，只有简单的淋浴，没有浴缸，没有淋浴房，有些没有电吹风，（我们入住了4间商务大床间和1间商务标间），更没有冰箱了，自助早餐虽然只要10元，但品种实在少的可怜，质量更不敢恭维，主要的是旅游旺季的价格也不便宜，我们住的周五要290，周六要400，感觉不值。', '短评打分': 1}
{'短评内容': '如果住市里 还算可以。服务还行，酒店细节有待提高（比如厕所没厕纸幸亏我提现看了一眼）。有点潮湿，白天没有热水等等吧。总体日照中转一天的话也可以了。', '短评打分': 5}
{'短评内容': '很好，卫生间条件差点。', '短评打分': 3}
{'短评内容': '不好，下次不会选择入住。', '短评打分': 3}
{'短评内容': '不错，不错，就是没免费地图，购买要35伤不起呀', '短评打分': 5}
{'短评内容': '水温不是太好，有点冷，电视机频道有点少，其他都是不错，网速挺快的', '短评打分': 5}
{'短评内容': '安静，设施比较新，环境不错，非常喜欢，下次去日照还来这里', '短评打分': 5}
{'短评内容': '居住环境挺好的，服务也很好！', '短评打分': 3}
{'短评内容': '房间装修还行也算很干净，位置还行，价格算是比较适中。酒店总体的环境还是很不错的。', '短评打分': 3}
{'短评内容': '硬件设施很不错，标准的商务酒店，只是没有早餐，水温有点不好，有点遗憾，别的都很不错，支持一下', '短评打分': 5}
{'短评内容': '新的酒店，装修得还可以，就是放东西的地方太少了，卫生间小，挂钩都没有。位置还不错，离长途汽车站不算太远，走走20分钟，打车到万平口20块钱。', '短评打分': 5}
{'短评内容': '很不错的酒店,新开的挺干净的,本来订的大床房,可是到了没有了,免费调成豪标了,房间很大,只是大床变双床相对来说两个人有点小了,其他的一切都挺好的,比较满意了', '短评打分': 5}
{'短评内容': '酒店开业不久，硬件很新。价格与环境还算相应。其实据此不远还有宾馆街，价位不贵，但不知内里如何。', '短评打分': 3}
{'短评内容': '    环境挺好', '短评打分': 3}
{'短评内容': '   条件挺不错的   住的挺舒服的', '短评打分': 5}
{'短评内容': '+宾馆硬件不错，挺干净。交通方便，推荐。', '短评打分': 5}
