{'短评内容': '可以加床，可以带孩子，有停车的地方，在火车站附近', '短评打分': 3}
{'短评内容': '房间下水管道漏水，要求换房没有处理。早晨6点退房大厅没有人，等了很长时间工作人员才从休息室出来。', '短评打分': 2}
{'短评内容': '非常一般的酒店，半夜还有人敲门，起来开门又不见人影，只有空空的走廊，感觉有点象悬疑电视(电影)里的情景，令人气恼。另，房间的洗澡拖鞋快断了，赶紧换吧，如那位客因此而发生事故，就晚了。', '短评打分': 3}
{'短评内容': '不错，实惠，交通便利', '短评打分': 5}
{'短评内容': '睡得相当舒适，好评，下次会再来', '短评打分': 5}
{'短评内容': '价格实惠，环境好。', '短评打分': 5}
{'短评内容': '装修过旧了。晚上公路上汽车噪声大。', '短评打分': 3}
{'短评内容': '每年因为探亲为了方便都会选择入住，真是越来越差，一天都不想多住，厕所门是烂的，床单啥的根本没换过，淋浴笼头是直冲的水也不大根本没法洗。老板再不下狠心装修一下还会有人住才怪！', '短评打分': 1}
{'短评内容': '房价优惠，房间设施也还不错，环境很好！', '短评打分': 5}
{'短评内容': '服务极差', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务一般，设施有点老', '短评打分': 4}
{'短评内容': '设施陈旧，隔音不好，离火车站走走十分钟左右，早餐差的不能再差了，小孩还要加钱还不如外面吃的又好又便宜！', '短评打分': 2}
{'短评内容': '很不错，质量超出预期很多，楼下就是超市，买水果又便宜又方便', '短评打分': 5}
{'短评内容': '交通方便，停车场大，八楼没wifi好难连接上的', '短评打分': 4}
{'短评内容': '一间性价比很高的酒店，这次正好来九江出差，房间都新装修了··看着很舒服，，还送了一袋庐山云雾茶，觉得服务很周到，住着舒服，舒适，舒心，会推荐朋友来的哦！！赞赞赞', '短评打分': 5}
{'短评内容': '一般，交通不是很方便。自己开车没问题。价格相对较高。环境也是一般，随便住住可以。', '短评打分': 5}
{'短评内容': '性价比很高，酒店好像重新装修过，房间设施设备很新，服务热情，工作人员态度非常好。值得推荐。。', '短评打分': 5}
{'短评内容': '性价比还行。地点不错，比较好找，特别是自己开车去九江不用走多少复杂的路线。只是早餐稍许单调了点，太靠近火车站，晚上靠铁路的房间很吵\n\n', '短评打分': 5}
{'短评内容': '性价比还行。地点不错，比较好找，特别是自己开车去九江不用走多少复杂的路线。只是早餐稍许单调了点，太靠近火车站，晚上靠铁路的房间很吵\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '整体水平不到四星，特别是早餐。\n交通还算方便，但是太靠近火车站，晚上太吵！\nwwwwwwwwwwwwwwwwwww', '短评打分': 1}
{'短评内容': '酒店太靠近铁路，晚上很吵，要很能抗干扰的人住wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww', '短评打分': 1}
{'短评内容': '很差的酒店，感觉卫生情况不好，入住也不顺利，连预授权都沒法做，还把我名字搞错了', '短评打分': 1}
{'短评内容': '酒店地理位置处交通要道，火车站，加油站及金轩购物中心在附近。酒店环境好。', '短评打分': 5}
{'短评内容': '空调不够热，床太硬', '短评打分': 3}
{'短评内容': '房间太差，又黑，而且半夜居然有服务生敲门说是送外卖的，外面紧邻铁路，很吵。', '短评打分': 1}
{'短评内容': '酒店位置还行，周边交通还挺便利的。服务也挺周到的。', '短评打分': 5}
{'短评内容': '  还不错的酒店，位置，环境，价格方面，值得推荐！', '短评打分': 5}
{'短评内容': '电脑房还不错，面积挺大的，酒店服务也挺好，态度很热情，办事也周到。', '短评打分': 5}
{'短评内容': '服务挺好，响应及时，随叫随到，酒店的价格也挺合适的。', '短评打分': 5}
{'短评内容': '一般的酒店', '短评打分': 5}
{'短评内容': '确实是个不错的酒店，性价比很好。地点不错，比较好找，特别是自己开车去九江不用走多少复杂的路线。只是早餐稍许单调了点。', '短评打分': 5}
{'短评内容': '一般化', '短评打分': 1}
{'短评内容': '外面的环境不好，离火车道近，有噪音，价格还是比较优惠', '短评打分': 5}
{'短评内容': '隔音太差了,火车过往声很大.房间有个电脑还不错也挺大的,但是细节做的很差.总体上说勉强及格', '短评打分': 3}
{'短评内容': '前台接待的服务员的态度真的不敢恭为。。。。。。', '短评打分': 3}
