{'短评内容': '棒', '短评打分': 5}
{'短评内容': '挺干净的又安静', '短评打分': 5}
{'短评内容': '服务态度好！', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '环境装修都很好，服务态度很好', '短评打分': 5}
{'短评内容': '不错，环境还行，出行方便', '短评打分': 5}
{'短评内容': '马桶刷子就那么戳在地上 入住时前台查不到预定信息几乎要赶我走', '短评打分': 2}
{'短评内容': '还是不错，就是不含早，会员还没在艺龙订的便宜', '短评打分': 3}
{'短评内容': '网上订很优惠，旅店服务待提升。 因糖酒会期间房源比较紧张，所以网上预定成功后特地致电旅店前台查询订单成功与否，可能是前台对网上预定业务不熟悉，说网上预定不了，要我联系艺龙客服。客服很好，查询到我预定成功了，为消除我的疑虑当场帮忙跟旅店方对接人确认订单，之后我又致电旅店前台查询预定成功否，终于得到了肯定的回复，总算是放心了。后来到店付钱时旅店前台似乎仍不清楚网上预定业务，几经周折终于还是顺利入住了。', '短评打分': 3}
{'短评内容': '。。。。。。。还行。。。', '短评打分': 3}
{'短评内容': '地理位置很好，临近中华门地铁站和雨花西路公交站，从这里去南京的任何的地方都很便捷，老板人很好，服务很热情，前台老板娘也是非常得美丽大方，下次来南京还会住这里。', '短评打分': 3}
{'短评内容': '感觉还不错  ！！！！！！', '短评打分': 3}
{'短评内容': '挺好的性价比高', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
