{'短评内容': '很好，下次还会入住。推荐。', '短评打分': 4}
{'短评内容': '电吹风是坏的 洗脸盆没有热水。 ', '短评打分': 4}
{'短评内容': '给同事订的。他说环境不错。交通便利。离我同他办事的地方也近，比较方便！还是比较满意的。值得推荐给大家！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '因为开会酒店住满只能住这里了，酒店有够老了，房间打扫地挺干净但是设施太老了 地毯也很老 毛巾不是很干净。酒店电梯配置了门禁系统 这样安全性挺好。', '短评打分': 3}
{'短评内容': '房间很大，光线很好，交通也很方便。主要酒店没有早餐，房费不能刷授权只能交现金。', '短评打分': 5}
{'短评内容': '房间比较宽敞，装修相对陈旧。电梯太旧不方便了。', '短评打分': 5}
{'短评内容': '房间很大，也很干净。就是服务员不是每天做卫生，只是补充点用品。', '短评打分': 5}
{'短评内容': '感觉还是满好的，下次还会考虑过来入住的。', '短评打分': 5}
{'短评内容': '反正下回来南京不会住这里了。房间味道很大。房间内的服务真是太差太差了，每天只是例行更换一次性用具但是卫生不做清洁，桌面椅面落面灰尘，房间地面，卫生间干脆就不清洁，所以直接导致的后果就是蟑螂小强的出现，让人觉得很恶心。此酒店虽然挂牌三星，但是无论从哪一方面都达不到此标准。', '短评打分': 1}
{'短评内容': '房间暖气很足，酒店整体情况还好，大厅一般。', '短评打分': 5}
{'短评内容': '酒店有点老旧了，设施和价格不太成比例，建议价格再下调一点比较好。优点是地点还可以。', '短评打分': 1}
{'短评内容': '宾馆的位置尚可，房间也不算小，但内在的条件非常一般，显得有点简陋、陈旧，与三星级的标准有一定的差距。', '短评打分': 1}
{'短评内容': '环境还可以，就是单行线不方便，房间很大卫生间也很干净，但是电视太老了，收不到几个台，没有壁灯，房间的节能灯一点也不柔和，空调也不能调温，早上起来洗澡要放很长时间才有热水，电水壶水烧开后不能自动断电蛮危险的。', '短评打分': 5}
{'短评内容': '房间不太好，电视太小，整体不舒服，早餐简直就是垃圾！付钱了发现炒饭是馊的就把钱退回来了！下去和前台讲，前台很高兴的回答：“是很差的！', '短评打分': 1}
{'短评内容': '房间还算宽敞，不过绝对没有图片中的大，一进去有股味道，房间有点旧，而且枕头只有一个', '短评打分': 1}
{'短评内容': '酒店总体感觉还都挺好，就是做卫生不太彻底。就是上网速度稍慢。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '在南京，住这样的宾馆实在是实惠了，五星级的住不起呀！', '短评打分': 5}
{'短评内容': '总体情况不错，毕竟在南京这个价位也只能住到这个档次的了啊！', '短评打分': 5}
{'短评内容': '不错的酒店，住的比较舒服，下次还会去住，！！！', '短评打分': 5}
{'短评内容': '设施一般，态度差。', '短评打分': 3}
{'短评内容': '，房间里刮须刀都没有卖，可惜', '短评打分': 3}
{'短评内容': '去机场还是比较方便，有大巴车，20元每位。但早餐太差了！网站上说是10元，实际收了15元。', '短评打分': 5}
{'短评内容': '蛮好 的  干净！！您的入住体会：还是蛮好的\r\n\r\n\r\n支持！', '短评打分': 5}
{'短评内容': '国庆节期间去住了几天，总体性价比很差，位置一般，开车不太方便，门口是单行线，停车也有些不便。房间内设施陈旧，床单被套等都很粗硬，舒适度差，前台服务倒是还行，可是房间内的服务真是太差太差了，每天只是例行更换一次性用具但是卫生不做清洁，桌面椅面落面灰尘，房间地面，卫生间干脆就不清洁，所以直接导致的后果就是蟑螂小强的出现，让人觉得很恶心。此酒店虽然挂牌三星，但是无论从哪一方面都达不到此标准。本来抱着对东', '短评打分': 1}
{'短评内容': '怎么说呢，反正下回来南京不会住这里了。房间味道很大，寝具还算干净。桌椅、床、门不知怎么搞的，好像刚被被打砸抢过，很多破损处，我国庆期间两次来这里住，分别是两个房间，都是这种情况。不过地理位置尚可，民航班车就在酒店对面停，到机场方便，离夫子庙不远。 ', '短评打分': 1}
{'短评内容': '感觉一般，配不上3星级酒店的标准，里面设施一般', '短评打分': 5}
{'短评内容': '还不错，只是没有地毯，少了酒店的感觉  其他还可以 比较新', '短评打分': 5}
{'短评内容': '感觉一般，位置一般', '短评打分': 5}
{'短评内容': '南京东航之星宾馆总体来说还算不错，我是去南航出差的时候住的，离火车站和市中心都不远，房间卫生环境还算可以,服务态度不错。', '短评打分': 3}
{'短评内容': '条件一般.位置一般，酒店停车很不方便.而且各方面服务也挺一般的.', '短评打分': 1}
{'短评内容': '位置处于南京交通最方便的地段，特别是坐机场大巴很方便，设施上感觉还行', '短评打分': 5}
{'短评内容': '地理位置比较偏，离市中心较远，交通不是很方便，不过环境还不错，性价比合适。', '短评打分': 5}
{'短评内容': '有点脏   换过床单像脏的   房间隔音不是很好   大厅服务超级不满意', '短评打分': 1}
{'短评内容': '环境很一般，上网还老掉线，还没有对面的莫泰168好', '短评打分': 1}
{'短评内容': '酒店很小，处于街边位置，进酒店的地下停车场需要较高的驾驶技术，停车场只能停过夜车，白天要给在此上班的人用。', '短评打分': 1}
{'短评内容': '酒店的整体感觉都还可以的,针对价格来比较,酒店的性价比不错的,酒店的位置不错的,出行很方便的', '短评打分': 5}
{'短评内容': '很乾淨的酒店。設置什麽都滿好的。\r\n比較滿意的。\r\n出行的話還可以。\r\n', '短评打分': 5}
{'短评内容': '没有浴缸有点小不爽。。设施还可以。。挺大的。。视野满开阔的。。就是隔音效果不太好', '短评打分': 5}
