{'短评内容': '酒店的位置很好，出行方便！', '短评打分': 5}
{'短评内容': '房间挺大，位置很好，方便！', '短评打分': 5}
{'短评内容': '挺好的，床有些硬，周边非常方便！下次还住这儿', '短评打分': 4}
{'短评内容': '已经不是第一次住了，环境和地理位置都很好', '短评打分': 5}
{'短评内容': '性价比很高！', '短评打分': 5}
{'短评内容': '干净卫生，吃饭方便', '短评打分': 5}
{'短评内容': '非常不错的酒店，只是房间不提供洗衣液，洗衣机有点浪费了！房间很大，适合工作出差，房间的床不是很舒服，如果稍微软一点就好了！', '短评打分': 5}
{'短评内容': '不错，下次还订', '短评打分': 5}
{'短评内容': '商务出行性价比高的酒店！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店面积很大。很舒适，房间锁不是感应的，有点小遗憾。', '短评打分': 4}
{'短评内容': '周边生活区环境不错', '短评打分': 4}
{'短评内容': '位置不错，还干净，安静。', '短评打分': 5}
{'短评内容': '差不多吧，感觉还行', '短评打分': 5}
{'短评内容': '房间大还可以', '短评打分': 5}
{'短评内容': '不错，下次再去', '短评打分': 5}
{'短评内容': '周边生活区环境不错，就是消费稍微有点贵。', '短评打分': 4}
{'短评内容': '这次住的豪华套间，感觉很温馨，下次继续选择', '短评打分': 5}
{'短评内容': '周边配套好', '短评打分': 5}
{'短评内容': '該酒店地點好~內部設施完備~近地鐵站~樓下就是商業鬧區~吃喝玩樂都很方便~ 有些缺點是飯店地點需要找一下才知道在哪裡~浴室沒有浴缸較為可惜~馬桶不穩會動~以及內部床鋪枕頭座椅的清潔度較差些~  ', '短评打分': 4}
{'短评内容': '还不错，除了价格略贵点，其他都好', '短评打分': 5}
{'短评内容': '性价比很高，不错。', '短评打分': 5}
{'短评内容': '说句实话，有点失望。预订了该酒店，前台也致电我了，我们说大概要10点到，可等我们到酒店后跟我们说没有房间了，几番交涉，最终重新帮我们配置了房间。而且觉得房间里有股异味， 不是很干净。 ', '短评打分': 1}
{'短评内容': '这是同事出差让我订的酒店，环境不错，周围交通便利，下次我还会来的！', '短评打分': 5}
{'短评内容': '酒店不错，房间大且干净，下次会次入住，只是房间里没有电话。', '短评打分': 5}
{'短评内容': '倡导环保节能的理念，酒店式公寓不像别的酒店一样，一进门的感觉就像是回到了家里，虽然进门有股异味，长时间没通风的缘故吧，用电超出是要自费的，所以那放着的大功率都不敢用，第一天晚上看电视还把灯都关了，唯恐电用不够，沙发是麂皮绒的，有点脏脏的感觉，不是很舒服，热水器要提前加热，史密斯还是很给力的。门锁很先进也很传统，不是刷卡，直接掏钥匙开门的，转个好几圈。唯一的缺陷是，刚来的时候找不到门，不知道怎么上去', '短评打分': 5}
{'短评内容': '去年开始出差一直找酒店式公寓入住。这家酒店十分给力。酒店没有招牌，给前台打了电话问路。前台小姑娘非常热情，原来自己就在酒店楼下。到了915室，室内摆了很多盆栽，一片绿色，心情很好。拿了钥匙，到了房间，真是惊喜，房间很大，非常干净，配制的家具家电都十分有档次。发现沙发还挂着顾家工艺的牌子。总之一切都ok 啦。下次还是会住且客。', '短评打分': 5}
