{'短评内容': '一般般 房间格调不喜欢', '短评打分': 3}
{'短评内容': '房间干净，很不错', '短评打分': 5}
{'短评内容': '总体来说不错', '短评打分': 5}
{'短评内容': '环境不错，在市中心又比较安静，住一晚以后精神满满，这里酒店很多，不是晚上太吵就是太偏，像这种安静又方便得不多', '短评打分': 5}
{'短评内容': '周边生活配套齐全，出差入住很方便。', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '灯光太暗！适合约炮！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '大动干戈个哥哥哥哥哥哥哥哥哥哥', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '私交甚笃个电话电话电话好多好多', '短评打分': 3}
{'短评内容': '卫生环境方面都挺好的  该有的设施都有   灯光方面很适合情侣去玩', '短评打分': 4}
{'短评内容': '卫生间开放式的，洗澡后整个卫生间都是谁。边上是个公园，晚上公园跳群舞的音乐要吵到近9点才结束，而酒店房间的隔音效果是非常糟的，很吵。', '短评打分': 1}
