{'短评内容': '很好，服务态度很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '蛮好的哈哈哈，经常会去啊，服务也不错的。酒店还是蛮好哒蛮好的蛮好的哈哈哈姐姐姐姐姐姐哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店不错  气派高端  就是路边很吵  楼下KTV也有点吵  餐厅很好', '短评打分': 5}
{'短评内容': '床睡着很舒服', '短评打分': 5}
{'短评内容': '酒店房间不错', '短评打分': 5}
{'短评内容': '还可以，正常商务酒店', '短评打分': 4}
{'短评内容': '不错的酒店，在崇福是好的了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 4}
{'短评内容': '一般，服务不齐全', '短评打分': 3}
{'短评内容': '都住好多次了，附近就这样。', '短评打分': 4}
{'短评内容': '环境还不错，隔音也很好，床好大哦，这是最满意的一点。洗澡水不够热，这个天气洗的有点冷，还有靠着路边，早晨四五点钟就有路上车辆的鸣笛声了，睡的不是太踏实。', '短评打分': 5}
{'短评内容': '烧水壶里面都发霉了！咋用?一晚上没喝水。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
