{'短评内容': '把', '短评打分': 5}
{'短评内容': '房间不错，出差首选', '短评打分': 5}
{'短评内容': '还可以吧，', '短评打分': 5}
{'短评内容': '卫生很差，周边环境也不好。房间很陈旧，蚊子很多，以后再也不来了。', '短评打分': 1}
{'短评内容': '房间干净整洁，价格实惠，很不错', '短评打分': 5}
{'短评内容': '物超所值，值得推荐', '短评打分': 5}
{'短评内容': '还不错，稍微有点旧', '短评打分': 4}
{'短评内容': '可以可以。', '短评打分': 5}
{'短评内容': '总体来说不错，看了卫生，床单被罩全是刚换的，整洁卫生，挺暖和的地方，唯一就是洗浴喷头破了，有点漏水，但是不影响，满意的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '环境优美，', '短评打分': 5}
{'短评内容': '房间还可以吧', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度比以前改善很多，这次入住还算是挺满意的，好评', '短评打分': 5}
{'短评内容': '挺好的 房间很暖和 喜欢圆床~', '短评打分': 5}
{'短评内容': '酒店服务态度号好，卫生很干净，客服大姐很热情，价格很便宜，以后还会再来的！', '短评打分': 5}
{'短评内容': '房间不大 布置好 非常干净 位置好 特别 圆床很舒服', '短评打分': 5}
