{'短评内容': '每次来渝次，基本都住这间酒店。只是价钱不低，其他没得挑的', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，超值', '短评打分': 5}
{'短评内容': '服务好到爆，常在外出差住酒店，但是这家的服务态度比好多五星酒店的服务态度还好，点赞', '短评打分': 5}
{'短评内容': '远方的朋友来了！在这里住了一晚上！中午在这里吃了点饭！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境不错，早点有些单调。', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '每次去晋中都住在这里，非常舒适。', '短评打分': 5}
{'短评内容': '全榆次最好的酒店，没有之一，我是榆次的', '短评打分': 5}
{'短评内容': '非常满意。每天给我孩子送一个玩具，小拖鞋，牙具（还是牙牙乐，不是酒店用品）。宝宝高兴的不得了。其它感动的服务实在太多，就不一一叙述，自己来感受吧。谢谢酒店的工作人员。', '短评打分': 5}
{'短评内容': '这个酒店是我的最爱。', '短评打分': 5}
{'短评内容': '多次入住，一直很满意。', '短评打分': 5}
{'短评内容': '酒店非常好，房间非常不错，服务态度非常好，是榆次最好的酒店了，每次都只住这里，房间里的被子非常干净，服务特别贴心。', '短评打分': 5}
{'短评内容': '第一次体验在洗浴城内住宿，感觉还可以！性价比高！', '短评打分': 4}
{'短评内容': '早餐比较全，这个价格值了', '短评打分': 5}
{'短评内容': '榆次最好的酒店！服务到客服卫生都非常好！值得一住！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 4}
{'短评内容': '这个价格太合适了，捡到了', '短评打分': 5}
{'短评内容': '亲戚说这是他们榆次最好的酒店了，环境不错，干净。我们定的两室一厅的套房，很舒适。做足疗，非常便宜，比我们这边便宜两三倍。早餐不错，品种很多，味道也不错。不知道为什么，套房能住四个人，却只有两个人的早餐，其他人要另算钱。我们办入住时，大堂的服务员有点儿。。。居然忘了我们定了套房，没有预留房间，现把套房腾出来，现打扫，让我干等了半个多小时。步行就可到榆次老城，老城真新没看头！', '短评打分': 4}
{'短评内容': '早餐很好房间很干净', '短评打分': 3}
{'短评内容': '房间舒适，干净，卫生，服务细致，看到我没有鼠标垫，给我拿来一个。房间设施齐备，早餐丰富。', '短评打分': 5}
{'短评内容': '房间不错，在晋中算比较不错的酒店。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间设施齐，赠送的饮品也很多，服务员的态度很友好，早餐也够丰盛，希望可以再次入住。', '短评打分': 5}
{'短评内容': ' 酒店客房服务不错  就餐环境也很好 性价比高 ！（美中不足就是停车场不知有什么干扰，车的遥控器失灵）。', '短评打分': 5}
{'短评内容': '第二次入住，服务很好，设施很好，下次来一定会入住', '短评打分': 5}
{'短评内容': '很好，下次来一定回入住这个酒店，真是好，谢谢', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '酒店应属榆次最好,交通方便。', '短评打分': 3}
{'短评内容': '设施比较老了，不过早餐还可以，空调的风口不好，对着床，不舒服，幸亏天气不是很热，可以不用开空调，否则会太不舒服了，开着冷， 关着热', '短评打分': 5}
{'短评内容': '设施有点老了，早饭还行。套房的空调居然对着床吹，不知道当时的设计怎么弄的', '短评打分': 5}
{'短评内容': '酒店在榆次市中心,交通很方便,环境非常好,服务态度非常热情周到,我很满意。', '短评打分': 5}
{'短评内容': '酒店在市中心，很方便，酒店硬件和服务都不错。', '短评打分': 3}
{'短评内容': ' 酒店服务设施及服务都很好！房间地毯再清理一下就更完美了！', '短评打分': 3}
{'短评内容': '位置挺好，卫生不错，服务水平也可以，都还可以。', '短评打分': 5}
{'短评内容': '总体来说还可以，在榆次来说算是比较大气一点了。', '短评打分': 5}
