{'短评内容': '沒有早餐，酒店位置很好，在大街，交通方便', '短评打分': 4}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！！！！好', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好真可以交通方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。欢迎前来体验', '短评打分': 5}
{'短评内容': '第二次入住，房间不大，有点暗，洗手间入口有个很高的台阶，不是太方便。至于其他方面，大致来说都是可以的、价格也不贵。', '短评打分': 4}
{'短评内容': '出差这么久还是第一次看到酒店房间有长头发，真的很无聊这卫生太差了', '短评打分': 1}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '有虫子...但是在sz有虫子好像很正常 但还是 希望能改进', '短评打分': 4}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '服务态度一般', '短评打分': 3}
{'短评内容': '前台服务员，天天沮丧个脸', '短评打分': 3}
{'短评内容': '房间太小，隔音差，走廊隔壁墙声音大', '短评打分': 3}
{'短评内容': '赌就赌你猜你猜那些年', '短评打分': 3}
{'短评内容': '酒店位置很好。一般般。还行过得去', '短评打分': 3}
{'短评内容': '房间环境不错，安静，一晚停车20元收费停车。200米内有地铁，有公交', '短评打分': 3}
{'短评内容': '地点可以，床單有味，價格一般', '短评打分': 3}
{'短评内容': '经常住这里的··，· 感觉还不错的~~~~~~~~~~~~~··', '短评打分': 5}
{'短评内容': '经常来···· 比较喜欢的~~~~~~~~~~~~~~~~~~~···', '短评打分': 5}
