{'短评内容': '坐飞机临时住一下还可以。', '短评打分': 4}
{'短评内容': '经济方便，环境一般啦！', '短评打分': 5}
{'短评内容': '乘飞机非常方便', '短评打分': 5}
{'短评内容': '可以加床的，房间的环境一般，就是距离机场很近，半夜12点多到，给酒店打电话马上派师傅来接了，这点很好。', '短评打分': 4}
{'短评内容': '好，还免费接送机了', '短评打分': 5}
{'短评内容': '有车接车送。', '短评打分': 5}
{'短评内容': '离机场很近，过去地下通道就是了，赶早班机，和晚班机的很方便，床品很干净，环境优美，服务很周到，价格实惠，', '短评打分': 5}
{'短评内容': '屋内环境卫生不怎么样房子险老，服务应该还行很多都是旅行团住在这边，很多凤凰机场上下机然后住一晚比较合适', '短评打分': 4}
{'短评内容': '比较陈旧 没有早餐。                    有车送至机场登机口。           。', '短评打分': 4}
{'短评内容': 'gooooooood', '短评打分': 5}
{'短评内容': '离机场很近很方便，有免费接送服务，房间尚可，早餐还不错，价格很不错', '短评打分': 5}
{'短评内容': '还好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错，非常好，下次还住这里', '短评打分': 5}
{'短评内容': '这个价位白瞎了，房间潮湿有异味，内部装修只能算一般，各种设施都是廉价品，在这里等飞机住了一宿，第二天起了好多小疙瘩，不知道是湿气重还是过敏。', '短评打分': 1}
{'短评内容': '免费给升级了大床套房，配套齐全，面积大，就是有些老旧，整体还是性价比很高的', '短评打分': 5}
{'短评内容': '住在机场旁边，还是非常不错的，价格便宜！', '短评打分': 5}
{'短评内容': '价格也不贵，有接送机', '短评打分': 5}
{'短评内容': '还行吧，比携程美团便宜，还有好多空姐看', '短评打分': 5}
{'短评内容': '服务晚点再评价。', '短评打分': 5}
{'短评内容': '距离近，距离超近，距离特别近', '短评打分': 5}
{'短评内容': '周边环境还可以，室外噪音声音太大影响休息，一晚上不停。', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好好。', '短评打分': 5}
{'短评内容': '非常好房间干净卫生，光线好', '短评打分': 5}
{'短评内容': '酒店离机场近，还有专车接送', '短评打分': 5}
{'短评内容': '半夜两点多航班，在海航机场酒店住的，随时接机还是非常好，酒店前台服务很好，临走酒店还主动询问是否送去机场公交站，真的不错！', '短评打分': 4}
{'短评内容': '离机场很近，很方便', '短评打分': 5}
{'短评内容': '还不错哦 都是可以的 这个接机的 下飞机就联系一下这个酒店.....................一', '短评打分': 4}
{'短评内容': '很老的小店人气稀少', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '服务很好，离机场近', '短评打分': 5}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '机场接送服务很不错，只不过前面在施工，晚上通宵施工，吵的不行', '短评打分': 4}
{'短评内容': '因为修路，周边环境非常不好。', '短评打分': 2}
{'短评内容': '离机场近，房子旧，出入不方便', '短评打分': 4}
{'短评内容': '就是方便卫生，没其它优点……', '短评打分': 4}
{'短评内容': '离机场很近，而且还有接送机服务，环境也可以！', '短评打分': 4}
{'短评内容': '调节基金比五星级酒店收还贵，不是赶时间不推荐入驻', '短评打分': 2}
{'短评内容': '房间还算干净整洁，特别适合赶早班飞机的乘客，还有好多空哥空姐可以看：）基本听不到飞机起落的声音，这点真没想到', '短评打分': 5}
{'短评内容': '从机场入住很方便，要求不高的朋友可以去住。房间手机信号不好，有霉味。', '短评打分': 5}
{'短评内容': '环境还行，就是电梯旧了点！整体还不错，而且离机场还近，明天还住那！', '短评打分': 5}
{'短评内容': '酒店就在机场，与侯机楼隔着一个广场，坐早班要，超方便！', '短评打分': 5}
{'短评内容': ':如果是赶早班飞机暂住一晚没别的要求还行，图个方便而已！', '短评打分': 3}
{'短评内容': '性价比还是不错的，就是卫生间抽风机可能坏了，有点潮，因为飞机晚点，到店已经三点了，洗了澡就睡觉了。服务还是不错的。', '短评打分': 3}
{'短评内容': '环境可以，离机场近。', '短评打分': 3}
{'短评内容': '方便乘坐航班，酒店内部房间稍有异味，总体性价比还可以。', '短评打分': 5}
{'短评内容': '条件很简陋，但离机场很近，等机很方便。', '短评打分': 3}
{'短评内容': '房间很大，不过简陋了些，就在机场对面，很方便。', '短评打分': 3}
{'短评内容': '设施还行，普通2星标准吧，性价比不高，要不是有特殊原因的旅客时不会选择该酒店的吧？', '短评打分': 1}
{'短评内容': '离机场很近，屋内设施较老化，但是挺干净的，服务态度特别好。', '短评打分': 5}
{'短评内容': '只是近而已！其余设施严重落后！估计凤凰镇的旅馆都会好很多！', '短评打分': 1}
{'短评内容': '去机场很方便  但也仅此而已  房间只能形容为干净整洁  对于赶飞机的人来说足够了', '短评打分': 5}
{'短评内容': '零点到的三亚，以为去市内不方便订的这家酒店，其实凌晨1点还有8路车到市内的。\n\n性价比很不高，真不值298，各种简陋啊。据说这家酒店是给空哥空姐住的，顺便对外了。', '短评打分': 1}
{'短评内容': '还是不错的，风景挺美的，下次去三亚还订这里，挺方便', '短评打分': 5}
{'短评内容': '比较陈旧 卫生还可以 主要离机场近 比较方便', '短评打分': 1}
