{'短评内容': '可以，服务ok，可以一宿', '短评打分': 4}
{'短评内容': '有车接送山下山，省事不少', '短评打分': 4}
{'短评内容': '晚上11点到的，老板开着别克商务免费来接，旅馆宁静整洁，早上六点太阳就晒到床头，早餐稀饭馒头鸡蛋四碟小菜还有一大块王致和收费10元，晚餐鸡蛋炒山耳，肉炖小蘑菇，白菜汤，泡辣椒收费40元根本吃不完。临走时真心实在的厚道老板免费又送到火车站，感谢你！', '短评打分': 5}
{'短评内容': '加10元钱 可以吃早餐 农家院 两层楼 比较干净', '短评打分': 5}
{'短评内容': '服务很好，很热情，免费送的早餐，能吃饱，真的不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '怎么说太一般了！形容成农家乐吧！按首页的位置导航根本就不对，最后在一个村子里面！吃饭更成问题，问老板附近有吃饭的地么？他说他这能做！既然这样你也不好意思在出门寻其他家不是？点3个菜足足等了一个多小时，催了又催我就不明白端上来的菜木耳炒肉竟然是凉的？接下来又是等催菜…就这厨子应该拉出去…', '短评打分': 3}
{'短评内容': '老板态度很好，去客运站免费接我们，还帮我们联系上山的车。特别是走的时候客运站没车了，还帮我们联系拼车去敦化，非常好。', '短评打分': 5}
{'短评内容': '已经搬迁了，不要按照导航走，在红丰村，位置比较偏僻', '短评打分': 4}
{'短评内容': '还不错，很热情', '短评打分': 5}
{'短评内容': '农家乐，服务态度很好', '短评打分': 4}
{'短评内容': '不得不说老板小哥人实在是太好了！！从客车站接我们到他的农家院，路线呀、行李寄存呀都很周到，虽说位置偏了点，一路车接车送的也丝毫没有影响啥~总的来说，好评！！大大的好评！！', '短评打分': 4}
{'短评内容': '环境不错，老板人特好半夜了还接站', '短评打分': 5}
{'短评内容': '原以为在市里，结果去了在二道白河下边的农村，到那天有些黑了，路不太好找，老板很热情去接了我们，走时还告诉了回家的路线，房间不大，挺干净，有些潮，可能跟下雨天气有关吧！周围没有什么吃饭的地方，就有一家可以给送到宾馆，但是有些慢，我们等了将近一个小时', '短评打分': 4}
{'短评内容': '店主非常热情，在火车站免费接送，还帮忙联系去天池的车，客房也很干净整洁。', '短评打分': 3}
