{'短评内容': '设备简陋价钱贵', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '设施比较简陋，不过卫生还算好，最主要是位置好，周边吃饭交通都很方便。', '短评打分': 4}
{'短评内容': '医院旁边，比较方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我住819房间，住进来就发现网断断续续的，基本上不了，给前台打了电话也没解决说都一样，白天西晒，没感觉冷，等晚上睡一觉直接冻醒，ok打空调，结果开了半天一点不热。那洗个热水澡吧，结果放了半天水是冷的，继续打电话找前台，说热水从11楼到8楼，让多放会，继续放，依然凉，服务太说不行去六楼女生澡堂。对819已经无语了。总结没网，无冷，空调不热，水也不热。', '短评打分': 3}
{'短评内容': '离北大人民医院很近，照顾病人很方便。', '短评打分': 4}
{'短评内容': '已经入住了，给父母订的房间，规定是两点入住，父母提前到了，店家也给开房了，感谢', '短评打分': 5}
{'短评内容': '宾馆离医院很近，探病照顾病人都方便。房间整体干净整洁，床品软硬适度。因为照顾亲人一下预定了很多天，洗澡水很好，整体非常舒服。希望连续预定价格上多给些优惠。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '就医方便，条件设施一般，网络不太好。', '短评打分': 4}
{'短评内容': '近西直门人民医院，交通便利，周边吃饭也方便，', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离北京大学人民医院非常近，看病的话非常方便，床是席梦思的那种软床，硬床睡习惯的可能有些不适应，房间的隔音似乎不太好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '正房楼，预留了阳面的，也很肃静，满意。', '短评打分': 3}
{'短评内容': '第二次入住，环境不错，交通方便，值得推荐', '短评打分': 3}
{'短评内容': '硬件设施较差，隔壁人打鼾的声音吵得我一晚都睡不着。服务员态度还不错，离医院也非常近。', '短评打分': 5}
{'短评内容': '离北大人民医院很近，属简单实用型，床较宽。', '短评打分': 5}
{'短评内容': '服务一般，热水供应不及时，无线网络不方便，房间隔音不好，屋内比较干净，交通比较便利。', '短评打分': 1}
{'短评内容': '地理位置不错，房间也很干净，就是床有点硬', '短评打分': 5}
{'短评内容': '我已于18曰入住贵宾馆，条件可以。建议以后有歺厅管早歺谢谢！', '短评打分': 3}
{'短评内容': '服务态度只能说是一般吧，没有想像是的好。', '短评打分': 5}
{'短评内容': '交通比较方便，房间条件一般，没有网上图片介绍的那么好。', '短评打分': 1}
{'短评内容': '值这个价，虽然简陋些，但吃饭特别方便，交通也方便。', '短评打分': 5}
{'短评内容': '简单经济型宾馆，床比较宽，大人带一小孩可以在一张床睡下。', '短评打分': 3}
{'短评内容': '一楼大厅有贴心的小纸条，写有各北京著名景点的交通路线~~~服务员也还算亲切~^^', '短评打分': 5}
{'短评内容': '挺好的，就是有点不好找，洗澡水很热，还不错。', '短评打分': 3}
{'短评内容': '住的感觉不错 就是有点不好找 大家下次去的时候记得联系前台 让他们给大家提供打车的路线 省得到那不认识', '短评打分': 5}
{'短评内容': '挺好的，环境挺好，，洗澡水挺好的，温度适中', '短评打分': 5}
{'短评内容': '热水不热，空调不制暖，烧的水很难喝，有一股怪怪的味道。房间不隔音，电视很小很小，房间设施只能用简陋来形容。窗户密封也不怎么样，总感觉有风。总之，除了离医院近，看病人方便，其他真不怎么样，对不起这价钱！', '短评打分': 1}
{'短评内容': '隔音差，设施简陋，空调不能制暖，明明定了两个房间，却只说定了一个。打电话要加被子，告知明天再送被子。3月中旬没有暖气的房间，你盖一床小薄被能睡着？！走廊上装修还是什么的，噪音很大，门又不隔音，服务员来回走动，叫喊。再也不定这家了，除了离北大人民医院近，其他没任何有点。', '短评打分': 1}
{'短评内容': '挺好的，服务卫生挺到位，下次还会光顾的。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '位置挺好，出行挺方便，停车也挺方便，内部环境挺干净卫生。', '短评打分': 5}
{'短评内容': '不是我本人住的，我不太确定，应该不错吧。。不知道对方认为如何', '短评打分': 5}
{'短评内容': '服务周到，房间干净卫生，出行交通便利。', '短评打分': 5}
{'短评内容': '房间设施简单,隔音太差,隔壁呼噜声很大,如果其他声音......\n\n', '短评打分': 1}
{'短评内容': '房间挺宽敞的，卫生打扫也不错，设施有些陈旧，整体感觉还算舒适。', '短评打分': 3}
{'短评内容': '酒店各方面都很好，比较达标.', '短评打分': 5}
{'短评内容': '楼内隔音不好，在屋里能听到屋外的声音。很响', '短评打分': 1}
{'短评内容': '卫生条件较好，周围环境不错，饮食出行较方便；服务态度一般，冬天没有暖气、空调没有热风。', '短评打分': 1}
{'短评内容': '酒店位置不错，周边出行蛮方便的，服务人员很热情周到，房间卫生条件很干净，其他都一般', '短评打分': 3}
