{'短评内容': '酒店位置好风景很棒', '短评打分': 5}
{'短评内容': '就在公司边上，出行方便，附件生活设施丰富。房间大，安静！电梯的速度也比以前快了不少，今后还会继续入住！', '短评打分': 5}
{'短评内容': '还行，服务也很好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错挺好', '短评打分': 4}
{'短评内容': '房间厕所门坏了，热水器出水也问题不断。', '短评打分': 1}
{'短评内容': '很安静', '短评打分': 5}
{'短评内容': '楼高 安静                                      交通方便  不错', '短评打分': 5}
{'短评内容': '简直不能太好!!!!!房间大，有抽油烟机，阳台，卫生间也很干净!! 前台美女姐姐人也超棒。给5星是因为最高只能给5星', '短评打分': 5}
{'短评内容': '洗手间水管堵了，环境比较差', '短评打分': 2}
{'短评内容': '外观状况不太令人担忧，楼层内酒店与办公混合，比较杂，设备设施符合武汉现状，吃饭很方便离家乐福很近', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '稀烂', '短评打分': 3}
{'短评内容': '房间还可以，就是卫生间太烂，两个人一起洗澡还没洗一会水就完了，', '短评打分': 4}
{'短评内容': '环境比较好，交通非常方便，酒店房间宽敞，服务也好', '短评打分': 4}
{'短评内容': '酒店舒适干净，房间面积较大，价格便宜，', '短评打分': 5}
{'短评内容': '酒店离地铁站二七路站大概200米，50米就是时尚步行街，吃饭购物比较方便。酒店房间较大，舒适干净，就是有道没有地毯，导致人员走动，或说话的声音很大。', '短评打分': 5}
{'短评内容': '房间还是不错的，就是洗澡的地方太小了。', '短评打分': 3}
