{'短评内容': '我要去哪里旅游', '短评打分': 5}
{'短评内容': '为什么不开空调  这么冷的天  省这点电费？', '短评打分': 5}
{'短评内容': '挺不错的，各方面都比较满意。', '短评打分': 5}
{'短评内容': '酒店服务不错', '短评打分': 5}
{'短评内容': '酒店内有个很大的院子，还有个湖，宜长期居住。远离闹市区，亦有不便之处。', '短评打分': 3}
{'短评内容': '不错哦，环境很好', '短评打分': 5}
{'短评内容': '环境优雅，适合居住。', '短评打分': 5}
{'短评内容': '宜春市首选住宿', '短评打分': 5}
{'短评内容': '一如既往的好，早餐非常棒！性价比超高！每次都住这家店！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '每次去都选择住这里', '短评打分': 5}
{'短评内容': '酒店环境很好，房间设施一般', '短评打分': 5}
{'短评内容': '超赞五星酒店', '短评打分': 5}
{'短评内容': '酒店服务好，周边环境优美', '短评打分': 5}
{'短评内容': '环紧非常好. 早上绕湖散步一圈, 早餐靠近湖边, 干净,享受朝霞和美食. 房间很大,但阳台门尝试开启,没成功,遗憾.早上结账较慢,不符合五星酒店标准', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高！环境很好！以后定点在这里', '短评打分': 5}
{'短评内容': '酒店很好！性价比很高！早餐很丰富！每次都订这家！', '短评打分': 5}
{'短评内容': '酒店环境很好，有个很大的湖，早上散步感觉很爽。早餐也不错，东西还过得去。但是房间感觉有点小，缺少五星级的感受，可能我订的是特价的缘故吧。总的来说，性价比还是不错的。-', '短评打分': 5}
{'短评内容': '非常好的酒店！每次来宜春都入住这家，服务人员的态度非常好，以后还会入住。价格不贵， 性价比非常高。  ', '短评打分': 5}
{'短评内容': '算是宜春比较好的了。但有待提升的地方太多', '短评打分': 4}
{'短评内容': '很好，价格很高，酒店环境很好，但内部标识不很清楚，容易迷路', '短评打分': 5}
{'短评内容': '宜春迎宾馆，非常不错环景优美、卫生干净，住了一晚都不想走，接着再住一晚再感受一晚特别大的床，好像床接近三米宽、是我住过的最大的床。', '短评打分': 3}
{'短评内容': '酒店很不错，很干净，但是还是有不满意的地方。游泳池只有室外的，没有室内的；泡澡没有浴盐，房间里没有小吧台；还有就是交通极不方便，根本就没有出租车。', '短评打分': 5}
{'短评内容': '宜春迎宾馆环境优美客房豪华、性价比高，5星标准4星价格。我出差定点此酒店', '短评打分': 3}
{'短评内容': '这是上周四入住的，然后前台让我相当的满意，尤其是后来出来问问题的时候，那位女士还很清楚的记得我是住哪个房间的。进了房间一看，各方面还是很符合它的星级标准的。周围环境也很不错。这里要提出几个不足：首先，服务员的培训还是没有到位，不符合五星级酒店的标准，晚上叫个餐等了将近半个多小时才来，肚子都快饿扁了；其次，在大厅陪朋友用餐的时候，那个男服务员明显是培训没有到位。虽然很谨慎，但是对于客人的要求并没有做', '短评打分': 5}
{'短评内容': '宾馆硬件条件很好，第二次来住了。但是从五星级角度来看，送餐服务和自助餐厅服务标准有待提高。', '短评打分': 3}
{'短评内容': '大气的酒店，大房间，超大的床，不愧为宜春最好的酒店。就是刚开，人气还不旺。', '短评打分': 5}
{'短评内容': '环境不错 ,吃饭也方便,对自驾游落脚来说是不错的选择。', '短评打分': 3}
{'短评内容': '已是第二次入住,酒店内外环境均不错,性价比高,以后回家探亲仍会作为首选.', '短评打分': 5}
{'短评内容': '占地面积够大，自然环境一般，宾馆后面有座小山，其他都是人工景观：）\n\n酒店设计还过得去，看上去很像东莞的半山酒店，呵呵：）\n\n早餐很一般，离五星级还有很大的差距；床品尚可，睡得还算舒服。\n\n没有延迟退房服务，退房时需要查房，软件也需要提升。\n\n总体来说已经是宜春当下最好的酒店了！', '短评打分': 5}
{'短评内容': '很好    客户经理人很热心  就是早餐时间最好延长到十点半  ', '短评打分': 5}
{'短评内容': '感觉不错，还在试营业，不过空调就一般了。住了一个晚上，结果，很悲剧的感冒了。', '短评打分': 5}
