{'短评内容': '位置很方便！', '短评打分': 5}
{'短评内容': '位置不错，吃饭方便', '短评打分': 5}
{'短评内容': '老客户了，不错', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '总体来说还不错', '短评打分': 3}
{'短评内容': '大堂服务员头脑真不够用', '短评打分': 1}
{'短评内容': '价格实惠，设施新', '短评打分': 5}
{'短评内容': '好。。。。。好。。。。。好。。。。。', '短评打分': 5}
{'短评内容': '服务一般，北京出差过去第一次到南方，拖鞋也收费，真不适应。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '这次连续住了好几天，交通方便，离客户也近', '短评打分': 4}
{'短评内容': '房间比较大，里面是两张1.5的大床，卫生也还行，周边吃饭很方便，下楼对面就是夜市。', '短评打分': 4}
{'短评内容': '都还不错，环境挺好的。', '短评打分': 5}
{'短评内容': '房间大，两张1.5米的床，整体还不错，也比较实惠', '短评打分': 4}
{'短评内容': '还可以，性价比高。', '短评打分': 4}
