{'短评内容': '房间，早餐，服务都很孬', '短评打分': 1}
{'短评内容': '            非常满意', '短评打分': 5}
{'短评内容': '酒店有停车场 带孩子可以选择三人间 早餐没吃上 因为起太晚了', '短评打分': 4}
{'短评内容': '很好，很给力哦 哦哦', '短评打分': 5}
{'短评内容': '房间一般，浴室极差，浴缸脏，浴霸是固定的，出水量小，伪四星酒店，就是一星酒店', '短评打分': 2}
{'短评内容': '好旧的酒店，地毯污渍都看的见，浴巾都坏的出洞了洗不干净的感觉！热水温度只能说感觉到温，出水量也小！房间里都是灰尘女儿说怎么是黑色的灰！三人房图片上显示看不出来，入住才发现是张地铺！', '短评打分': 3}
{'短评内容': '京东上预定酒店不靠谱，连续三次，预定三家不同酒店，钱都付了，都不给订，不是说没有，就是说要涨价，换成别的网上预定一下就成功了，如果可以打负分的话我会打负分。', '短评打分': 1}
{'短评内容': '京东上预定酒店不靠谱，连续三次，预定三家不同酒店，钱都付了，都不给订，不是说没有，就是说要涨价，换成别的网上预定一下就成功了。如果可以打负分的话我会打负分。', '短评打分': 1}
{'短评内容': '说是含早，到9点，8点去饭菜全空，也没人应答。好像酒店凑合维持现状。', '短评打分': 3}
{'短评内容': '酒店设施陈旧,携程网居然还标注四星，酒店的四星级治安四星，只能给2分', '短评打分': 2}
{'短评内容': '还不错，只是空调不是很暖和。电视有点年代啊，但是床铺很舒服，值得住。', '短评打分': 5}
{'短评内容': '还不错，只是空调不是很暖和。电视有点年代啊，但是床铺很舒服，值得住。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，卫生条件极差！强烈不推荐选择！', '短评打分': 1}
{'短评内容': '太差了！', '短评打分': 1}
{'短评内容': '卫生间很臭，房间异味道大。早餐直接没法吃，退房时间特长，服务很糟糕。差评N', '短评打分': 1}
{'短评内容': '环境一般，但周边美食较多，关键看你会找不！??！', '短评打分': 4}
{'短评内容': '一般般吧，还算清静。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '虽然偏一点点但是酒店的整体效果很是不错 住的蛮舒服的', '短评打分': 5}
{'短评内容': '不错的，整体感觉很不错.我们当时去的都不敢相信这个价格。他不像其他古城里的价格，旅游季节超高，平时超低。\n', '短评打分': 5}
{'短评内容': '酒店还行 达到三星级标准 早餐不好 九点十五下去都是冷菜冷饭 服务员极不情愿的样子', '短评打分': 3}
{'短评内容': '整体不错', '短评打分': 3}
{'短评内容': '设施简陋，条件一般，环境太嘈杂了，不够星级宾馆资格。', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '这个酒店太一般了，卫生差，房间有味道，前台服务很好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '价格还可以，早餐一般，空调确如网友所说有点，穿着毛衣睡觉还不觉得热，设施有点陈旧，但服务还行，我们晚上十点半到让他们留点菜，他们都做到了，一到，用微波炉热一下，马上就送过来了，还告诉我们怎么用电视，感觉很温馨。', '短评打分': 5}
{'短评内容': '网络不行，卫生间居然没有厕纸，餐厅居然不能让散客点餐', '短评打分': 1}
{'短评内容': '环境和交通都不错物超所值', '短评打分': 5}
{'短评内容': '早餐不行，完全没有星级标准。不过米线勉强过得去。其他的设施还可以，关键是位置挺好，去大理古城仅20分钟的车程。综合看还是中等偏上的酒店。', '短评打分': 5}
{'短评内容': '+条件不错！', '短评打分': 5}
{'短评内容': '，已入住，谢！', '短评打分': 5}
{'短评内容': '酒店的位置很好，交通挺便利的，配置硬件设施也比较齐全。', '短评打分': 5}
{'短评内容': '酒店的服务很好很热情，态度一直都很友善。环境也很舒适。', '短评打分': 5}
{'短评内容': '酒店的卫生比较干净，靠近郊区。房间设施还行。装修属于那种商务型，周边比较安静，适合休闲.', '短评打分': 5}
{'短评内容': '酒店衛生不錯，服務態度很好，早餐菜色少了點，建議入住。', '短评打分': 5}
{'短评内容': '大床房被子和床大小不符啊,床大被子小,空调还要限时开关', '短评打分': 1}
{'短评内容': '大床房不错，就是离逃生楼梯比较近，常有工作人员走动，有点吵', '短评打分': 5}
{'短评内容': '我们一行于10/04在大理银之泉酒店（原大理银泉大酒店)住宿两晚,感觉不错.服务和卫生均好.酒店的保安很有责任心.对客人的自驾车看护非常周到.早餐稍差.建议入住.', '短评打分': 5}
