{'短评内容': '早餐丰盛，院子附近有工地', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '以为早餐有多好，很一般很一般，热菜就一道，主食品种多一点而已，整个早餐的材料成本也就一二百块钱。房间床上放的硬币还被打扫的拿走。。房间也没有免费水，不如连锁酒店。', '短评打分': 1}
{'短评内容': '不错，挺好', '短评打分': 5}
{'短评内容': '冶钢办事。很安静！', '短评打分': 5}
{'短评内容': '算是这种等级不错的酒店了！停车方便，离江边近，吃完饭可以去江边散散步，非常安静！治安管理也很安全！！', '短评打分': 3}
{'短评内容': '环境卫生不错！', '短评打分': 5}
{'短评内容': '早餐不错！，下次再过来', '短评打分': 5}
{'短评内容': '早餐确实不错，房间稍小！', '短评打分': 5}
{'短评内容': '蛮干净的，可靠性蛮高的，可以推荐入住', '短评打分': 5}
{'短评内容': '环境很好，在单位院子里安全卫生，好停车，每次都选择这里！', '短评打分': 5}
{'短评内容': '超值的三星宾馆。紧邻长江，能见轮船往来；内有花园，六百年古樟树令人惊叹，晚晴名臣张之洞雕像令人敬佩。是一家有历史的难得的宾馆！性价比超高！到冶钢办事住这儿相当方便。又加了一晚。', '短评打分': 5}
{'短评内容': '超值的三星宾馆。紧邻长江，能见轮船往来；内有花园，六百年古樟树令人惊叹，晚晴名臣张之洞雕像令人敬佩。是一家有历史的难得的宾馆！性价比超高！到冶钢办事住这儿相当方便。又加了一晚。', '短评打分': 5}
{'短评内容': '超值的三星宾馆。紧邻长江，能见轮船往来；内有花园，六百年古樟树令人惊叹，晚晴名臣张之洞雕像令人敬佩。是一家有历史的难得的宾馆！性价比超高！到冶钢办事住这儿相当方便。', '短评打分': 5}
{'短评内容': '去市中心打车要7元左右，其它都很好，性价比高', '短评打分': 5}
{'短评内容': '性价比很高的酒店--------自助餐很丰富-------唯一就是想吃个便餐的话有点偏了--------近距离不是太有理想中的那种永和性质的..........整体感觉不错', '短评打分': 5}
