{'短评内容': '98块钱的标间。感觉一般。房间也一般，比较拥挤。。。。', '短评打分': 5}
{'短评内容': '价钱实惠，性价比不错，政府旁边，安全可靠。', '短评打分': 3}
{'短评内容': '床小，热水少，空调不凉。远低于我的期望。唉！', '短评打分': 1}
{'短评内容': '地理位置很好~周边环境也不错。酒店感觉很温馨~~~', '短评打分': 5}
{'短评内容': '地理位置还不错。房间虽然有点小，但设施很齐全~最主要的是安全和干净。', '短评打分': 3}
{'短评内容': '早餐太差了，98的房间无窗户，在焦作这个城市太没有性价比了。', '短评打分': 1}
{'短评内容': '网上预订128表单，入住后大失所望。描述：过道的地毯太脏了，卫生间地砖老化，强化木地板破损，墙上仿瓷脱落，电脑桌真TM脏（擦不干净），床单有黄点，床比较硬，无一次性拖鞋......收银员还说:我们的价格是焦作最便宜的，**就这房在南阳才80元。我还纳闷怎么这么多人给好评呢？都瞎了眼了！', '短评打分': 1}
{'短评内容': '很好  干净卫生  而且价格合适   还有早餐', '短评打分': 5}
{'短评内容': '离汽车站还有3个站，结果我们走得好辛苦~\n房间里空气不太好，洗澡间条件很差。还不如很多家庭旅社。', '短评打分': 1}
{'短评内容': '酒店太烂了 服务态度很一般 。酒店面积太小，床单被罩都泛黄，烧水的热水壶水锈很厚。厕所卫生间就不用说了，一个字烂。能找到这个酒店的人都是傻叉。这个酒店基本已经让我后悔一辈子。本来打算开开心心去玩的，所有好的心情都被破酒店给打消了。', '短评打分': 1}
{'短评内容': '服务周到，经济实惠，会再来消费的。去焦作的朋友推荐入住该快捷酒店。', '短评打分': 5}
{'短评内容': '宾馆还行，就是有点小，早餐差劲！', '短评打分': 3}
{'短评内容': '有窗户就好了。', '短评打分': 3}
{'短评内容': '酒店不错，住的很开心酒店不错，住的很开心酒店不错，住的很开心酒店不错，住的很开心', '短评打分': 5}
{'短评内容': '位置好，价格符合设施条件，服务还行，有早餐。', '短评打分': 5}
{'短评内容': '房间不太好', '短评打分': 3}
{'短评内容': '在新区市政府对面，四周吃饭的地方也不少。\n旅游人多\n酒店一般，但价位很合适比较干净。', '短评打分': 5}
{'短评内容': '房间没窗户，卫生间有点小！床子挺大，不错。总体，还行！', '短评打分': 3}
{'短评内容': '酒店位置还可以离汽车站和火车站近屋子小点早餐不太好。', '短评打分': 3}
{'短评内容': '设施一般，环境还可以，说能上网但上不去，也没人来修。', '短评打分': 5}
{'短评内容': '环境还不错，就是有点小，不过被子的颜色到是很不错', '短评打分': 3}
{'短评内容': '服务还可以 就是房间隔音不好。。潮气有点大 ', '短评打分': 5}
{'短评内容': '可惜无中晚餐', '短评打分': 3}
{'短评内容': '不错 好评 地理位置优越，房间很舒适。隔音效果有点不理想', '短评打分': 5}
{'短评内容': '没有靠外的窗户', '短评打分': 3}
{'短评内容': '挺满意的，物有所值，地理位置也很好，就是早餐太简单了点', '短评打分': 5}
{'短评内容': '物美价廉，物美价廉，物美价廉，物美价廉，', '短评打分': 5}
{'短评内容': '确实，性价比蛮高的，但是隔音太差，水管出水不是很正常', '短评打分': 5}
{'短评内容': '服务态度极差', '短评打分': 3}
{'短评内容': '说实话,好失望啊!光线昏暗,简陋,跟我心目中快捷酒店的感觉相差好远…', '短评打分': 3}
{'短评内容': '设施比较陈旧，淋浴没有热水，电水壶也是坏的，只能说是一分钱一分货吧', '短评打分': 1}
{'短评内容': '特价房不是标准间 有点简陋 半夜还停电了', '短评打分': 3}
{'短评内容': '还行，有点吵，干净一般般，环境有点吵，早餐是吃不了的，空间还行，服务也还行，离火车站比较近吧，六块钱就到了', '短评打分': 5}
{'短评内容': '房间让我大失所望。房间里竞然没有热水！空调噪音那么大！厕所里还有异味！', '短评打分': 3}
{'短评内容': '不错，就是好多的哥不知道这个地儿，', '短评打分': 3}
{'短评内容': '酒店很便宜，还有早餐，就是洗漱间不太好，淋浴水小', '短评打分': 5}
{'短评内容': '一份价钱一份货。虽然价格方面有优势。还有免费早餐。但东西实在不咋样。要求不高的可以将就将就。', '短评打分': 1}
{'短评内容': '地方还不算太偏，到火车站打车起步价就到了，特惠房房间有点小，总体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '价格低 位置不错 设施较陈旧 热水不是恒温很让人愤恨 其他尚好', '短评打分': 1}
{'短评内容': '晚上是有蚊子的，这点最不好。其他都能凑合', '短评打分': 1}
{'短评内容': '出行方便，周围吃的地方也多，以后还会住；', '短评打分': 5}
{'短评内容': '位置离汽车客运总站比较近，打车起步价，特惠房是靠走廊的窗户，比较闷，早餐凑合能吃', '短评打分': 5}
{'短评内容': '前台服务员服务态度很好,也很有耐心。酒店在新区,离火车站还是有点远。', '短评打分': 3}
{'短评内容': '还可以，很实惠', '短评打分': 3}
{'短评内容': '位置比较好，价格低，但是很陈旧，旅游团太多，早上吵得没办法睡觉', '短评打分': 1}
{'短评内容': '早上很早就吵了，几天都没睡好，环境很一般，价格便宜，位置不错，希望改进', '短评打分': 1}
{'短评内容': '房间过小 隔音效果不好，房间没有无间断电源，早餐种类少', '短评打分': 5}
{'短评内容': '房间比较小，陈旧，但是价格便宜，交通还行，周围没大超市，不是很方便', '短评打分': 1}
{'短评内容': '环境不错，服务也还可以，算是性价比比较高的！就是开票有点麻烦！有个服务员很恶心！！！！！！', '短评打分': 5}
{'短评内容': '也就值98了，多了一点都不值了，软硬件都一般，地理位置还行，隔音差，外面有什么声音都听得清清楚楚，浴室里面墙上长有蘑菇......', '短评打分': 5}
{'短评内容': '很不错的宾馆！就是有点潮湿！地方有点偏，离市里远!吃饭的地方少', '短评打分': 5}
{'短评内容': '服务还不错,环境还可以!', '短评打分': 3}
{'短评内容': '隔音不是很好,不过有早餐,总体来说不错,服务周到', '短评打分': 3}
{'短评内容': '被子颜色挺温馨，空调很给了。洗手间有点脏。底板不干净，', '短评打分': 5}
{'短评内容': '位置还行，条件一般，早餐质量不太好。如要求不高的话可以试试。', '短评打分': 5}
{'短评内容': '其他还行..厕所好破...木有看到早餐...地理位置还行...', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '还可以，满足一般需求，待看明早的饭', '短评打分': 3}
{'短评内容': '好！。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '焦作宜居快捷酒店服务非常满意。', '短评打分': 3}
{'短评内容': '地理位置不错，价格合理，早餐较差，推荐。', '短评打分': 5}
{'短评内容': '还可以吧。特价房就那样吧！考试提前订的房间，比较划算！', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '  还行', '短评打分': 3}
{'短评内容': '地点很好找，在城市新区政府对面，交通也很方便，但条件一般\n', '短评打分': 5}
{'短评内容': '价钱便宜。离火车站汽车站打车五块钱就能到，只是房间有点小，但这价钱也可以了。', '短评打分': 5}
{'短评内容': '不咋样，早餐差，房间太小而且不隔音。服务态度不好。', '短评打分': 1}
{'短评内容': '不错的快捷酒店，相比其他大牌要差一些，有点小山寨，不过住的还可以。', '短评打分': 5}
{'短评内容': '好啊，我看还是很不错的，就是前台服务有点不热情，希望改进就好了', '短评打分': 5}
{'短评内容': '房间地理位置不错，就是太旧。尤其是卫生间，下水都不通，洗澡水最后都堆起来了。无语。床很大，赞，早餐很一般，但基本管饱。', '短评打分': 3}
{'短评内容': '优点：位置好，价格低。\r\n缺点：房间很小，卫生间设置由其差，有一多半儿的房间没有朝外的窗户，早餐很差，服务态度一般。\r\n如果为省钱，就住这间店吧。', '短评打分': 5}
{'短评内容': '性价比很高的一个酒店，不过以后不推荐住特价房，早上门口会好吵', '短评打分': 5}
{'短评内容': '设备简陋，服务不热情，位置不错，周边设施方便', '短评打分': 5}
{'短评内容': '设施一般，位置可以，离市区远点，出行要走一段。', '短评打分': 5}
{'短评内容': '服务态度很好，距离市中心很近，可以逛街什么的，价格也算合理', '短评打分': 5}
{'短评内容': '+各项设施较差，公共区域地毯、房间地板、卫生间较旧且脏，低于如家一两个档次。', '短评打分': 5}
{'短评内容': '酒店的标间有个特点，两张床一张1.35，一张1.2米非常适合带孩子家庭入住，但是餐厅非常！非常差！早餐的小菜不新鲜，吃了就坏肚子，油条上的不够喊服务员再上点躲着假装听不到，第二天和餐厅说了，他们居然在后厨骂人，然后要什么都说没有不给上，虽然房间是含餐的但是带着老人不愿意惹气就没和他们理论，平心而论客房不错，餐厅给人感觉就一开黑店的！根本不匹配！', '短评打分': 1}
{'短评内容': '服务很好，设施也不错，早餐有点让人失望！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设施简单，离火车站、汽车站不是特别近，打车7元左右，服务还行', '短评打分': 3}
{'短评内容': '整体感觉良好，服务态度不错，地理位置优越，就是房子卫生间有些糟，下水堵。价钱很实在。', '短评打分': 5}
{'短评内容': '性价比比较高 卫生状况很好 早餐很丰富 服务态度很好', '短评打分': 3}
{'短评内容': '作为工薪阶层以下的朋友，可以考虑，这里位置在新城区，面对人民大道，交通还可以，但设施和卫生作为09年刚开的酒店还是一般', '短评打分': 1}
{'短评内容': '酒店设施一般，服务一般，价格还算实惠，早餐还可以。基本满意。', '短评打分': 5}
{'短评内容': '   屋里潮    早饭不好', '短评打分': 5}
{'短评内容': '位置还行只是没有专用停车场', '短评打分': 5}
{'短评内容': '还可以，就是不太卫生，交通便利，房间空间不错就是没有衣柜之类的...\r\n\r\n', '短评打分': 5}
{'短评内容': '价格挺优惠的，但是设施有待提高，地理位置还可以。', '短评打分': 5}
{'短评内容': '这家店除了卫生间以外～完全可以跟莫泰～还有如家这样的酒店拼一拼。。。空调的排水管最好还是弄外面去～不要弄到卫生间里～～总之很满意～', '短评打分': 5}
{'短评内容': '不知为何我入住时查不到我的订单信息，第二天才告诉我有了。我订了二天也住了二天，回来查订单只显示住了一天，积分也只给了一天，不知道为什么？', '短评打分': 1}
{'短评内容': '订的虽然是特价房事先也没说房间没有窗啊,各种设施比较陈旧,房门不能反锁,房间有学生价的也未告知', '短评打分': 1}
{'短评内容': '是个性价比很高的经济酒店，比较干净，隔音效果不怎么好，服务员很热情！', '短评打分': 3}
{'短评内容': '整体感觉还是满意的，房间比较大还有沙发，会客人方便。床也舒服，就是淋浴的水太小的。冷热水还不好调，房间还没有配洗手肥皂。电脑台没有书写灯，\r\n', '短评打分': 1}
{'短评内容': '性价比挺高的，服务员不错，热情周到，卫生比较干净，隔音效果不怎么好！', '短评打分': 5}
{'短评内容': '这个酒店还不错，服务环境都不错，以后还会入住！', '短评打分': 3}
{'短评内容': '房间还不错，物美价廉，值得推荐，下次还住', '短评打分': 5}
{'短评内容': '+条件一般,设备陈旧.价格比较低廉', '短评打分': 5}
{'短评内容': '特价房真的是特殊\u3000不光价格特殊\u3000房间本身在宾馆内部就是特殊\u3000隔音效果极差\u3000睡着觉\u3000窗外走廊上有人说话都能把人吵醒', '短评打分': 1}
