{'短评内容': '酒店位置不错 早餐也可以 就是房间没WI-FI 信号超级差 洗澡浴缸也不喜欢地上到处是水', '短评打分': 4}
{'短评内容': '酒店离火车站比较近，挺方便的。酒店有自己的停车场，停车方便。前台服务热情，房间空间足够大，床还算舒服。早餐不错，尤其包子！整体来说，推荐！', '短评打分': 5}
{'短评内容': '酒店离火车站比较近，挺方便的。酒店有自己的停车场，停车方便。前台服务热情，房间空间足够大，床还算舒服。早餐不错，尤其包子！整体来说，推荐！', '短评打分': 5}
{'短评内容': '酒店离火车站比较近，挺方便的。酒店有自己的停车场，停车方便。前台服务热情，房间空间足够大，床还算舒服。早餐不错，尤其包子！整体来说，推荐！', '短评打分': 5}
{'短评内容': '酒店离火车站比较近，挺方便的。酒店有自己的停车场，停车方便。前台服务热情，房间空间足够大，床还算舒服。早餐不错，尤其包子！整体来说，推荐！', '短评打分': 5}
{'短评内容': '床头没有插座  服气', '短评打分': 3}
{'短评内容': '地理位置得天独厚，干净整洁，值得再次入住。', '短评打分': 4}
{'短评内容': '老字号酒店，人性化', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '房间不错，性价比高。', '短评打分': 5}
{'短评内容': '网络无线太卡，前台接待服务态度不咋地', '短评打分': 3}
{'短评内容': '房间天天打扫，早餐不错', '短评打分': 3}
{'短评内容': '不错，服务不错，房间卫生', '短评打分': 3}
{'短评内容': '格局好！够豪华！交通便利。', '短评打分': 3}
{'短评内容': '酒店非常好', '短评打分': 4}
{'短评内容': '很好 下次去还住着 就是房间稍微小了点 不过环境和档次都高 而且服务态度好  我电脑网连不上 少个驱动  网络工程师自己回去给我下了个驱动 又给我连上 真的很感动', '短评打分': 5}
{'短评内容': ',环境不错,很满意。', '短评打分': 3}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '这个酒店真不错，服务非常好，服务员很漂亮，设施全，我去别的家比较过了', '短评打分': 3}
{'短评内容': '三人间很夸张，就是 空气差一些！\n完全可以当棋牌室用咯！', '短评打分': 5}
{'短评内容': '帮朋友订的，房间有点点潮，卫生间比较大，有阳台，周围餐饮很多，吃饭方便。总体满意！', '短评打分': 5}
{'短评内容': '牡丹江性价比最好的酒店了！还能寄存！！打车很方便！！', '短评打分': 5}
{'短评内容': '住的9楼顶楼，供暖很好。但是，隔壁一夜都有噪音，好像钟表的声音，隔音太不好。', '短评打分': 5}
{'短评内容': 'ktv不知如何，有机会去看看  客房没话说', '短评打分': 5}
{'短评内容': '很好 继续加油      早餐时间在延长些就更好了', '短评打分': 5}
{'短评内容': '这里还有商务KTV。早餐比较好 ，包子 还可以~！', '短评打分': 5}
{'短评内容': '三人间很夸张，就是 空气差一些！\n完全可以当棋牌室用咯！', '短评打分': 5}
{'短评内容': '酒店环境很好，服务很不错。只是宣传的服务有误，提供免费上网，不是给你提供电脑间。只有网线没有电脑很无耐\r\n恩群', '短评打分': 3}
{'短评内容': '环境还好,早餐一般', '短评打分': 3}
{'短评内容': '早餐非常好！', '短评打分': 3}
{'短评内容': '非常好!', '短评打分': 3}
{'短评内容': '酒店的价位和房间格局以及卫生都很好,大堂服务也不错.位置也相对方便好找. 就是\n给的房间外有封闭阳台,还用布单遮挡,阳台是封了2个房间的窗户,而且没法通风,光线也不好; 餐厅在8点30分就没有再加粥呀和一些该加的饭食,让人感觉不舒服,严重影响了酒店的形象.希望能改进.还有就是晚上在房间里能清晰听到楼下的KTV音乐声音.', '短评打分': 5}
{'短评内容': '很好很好，早餐非常好!', '短评打分': 3}
{'短评内容': '浴室里浴架有破损无法放浴品及毛巾，没有吹风机很不方便，而且没有防滑拖鞋洗澡很危险，而且房间的隔音不好，窗户是单层的，虽然住在7楼但是到晚上一楼的孩子们玩耍的声音还是很容易听见。两个屋的电视，主卧的电视信号超差，可以跟小旅馆相比。早餐就餐要餐票也很费劲，当初入住之前咨询三人入住可否给三张餐票，但是到第二天一早就说不知道，而且打扫房间在下午的4点左右真的很不知道这家宾馆到底有多少服务人员。', '短评打分': 1}
{'短评内容': '条件不错，价格公道，值得一住。条件不错，价格公道，值得一住。条件不错，价格公道，值得一住。条件不错，价格公道，值得一住。', '短评打分': 5}
{'短评内容': '每次到牡丹江都会住这家酒店，住的比较舒服，房间干净，比较适合住宿。楼下KTV比较吵，餐厅包子比较好吃。\n每次到牡丹江都会住这家酒店，住的比较舒服，房间干净，比较适合住宿。楼下KTV比较吵，餐厅包子比较好吃。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很好，早餐非常不错，狗不理包子好吃!', '短评打分': 3}
{'短评内容': '非常好，房间大而且干净，餐厅的狗不理包子也很好吃，比很多星级酒店条件要好很多', '短评打分': 5}
{'短评内容': '酒店位置、设施、服务、早餐、网速俱佳，停车位充足。就是房卡质量太差一插卡折了，赔付50元贵', '短评打分': 5}
{'短评内容': '酒店硬件条件还可以，楼下的KTV晚间还是有些吵，早餐一般。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间内居然没有桌椅，用电脑极为不便，另外五楼以下为KTV,夜间非常吵闹，本以为价格还算便宜，真是不值啊', '短评打分': 1}
{'短评内容': '性价比较高，酒店内部设施较全。不足之处就是停车场较小', '短评打分': 5}
{'短评内容': '因为下面有ktv所以有点吵，房间挺大的，价格很便宜', '短评打分': 5}
