{'短评内容': '环境比较好，非常安静', '短评打分': 5}
{'短评内容': '位置好，交通方便', '短评打分': 3}
{'短评内容': '位置好，周边配套完善', '短评打分': 4}
{'短评内容': '还好吧，住了2天，就是第二天出去玩了，晚上去插房卡。插不了，说我只开了一天的房，吓我一跳。后来客服又给我改好了', '短评打分': 4}
{'短评内容': '有点简陋，没有地方停车，凑活住吧！', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '交通便利，位于市中区的繁华地段！逛街，购物，吃饭都很方便！价廉物美的一家酒店！很满意！', '短评打分': 5}
{'短评内容': '酒店还行一般', '短评打分': 5}
{'短评内容': '房间床上闻到一股尿少味 很坏心情', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还可以，就是设施旧了点，其他还不错，早上凉水好小，洗澡好热。', '短评打分': 3}
{'短评内容': '还行，服务态度不错，可以', '短评打分': 3}
{'短评内容': '还可以吧，就是莫得停车位，网上约定的都是最差的房间啦！', '短评打分': 3}
{'短评内容': '不推荐，楼上是会议室晚上唱歌又跳舞的', '短评打分': 3}
{'短评内容': '一个人住还是可以，就是早上有点吵', '短评打分': 3}
