{'短评内容': '房间还不错。设施好，就是卫生间异味太大，说不出的怪味道', '短评打分': 5}
{'短评内容': '环境不错哦', '短评打分': 5}
{'短评内容': '讲实话 钱江已经不是以前的钱江了。 当年上派最好 ，现在不行了。现在装潢淘汰了，然后酒店配备什么都没。真心差 要翻新了啊', '短评打分': 3}
{'短评内容': '太旧了，太老了', '短评打分': 3}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '卫生很干净，服务质量高', '短评打分': 5}
{'短评内容': '环境不错，装修有点旧了', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 5}
{'短评内容': '酒店比较老，服务态度很好', '短评打分': 4}
{'短评内容': '环境很好 舒适', '短评打分': 5}
{'短评内容': '老酒店了，一般般，房间挺大的，设施陈旧', '短评打分': 3}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '肥西出差住的，高级单间就是楼层高一些，其他都一样。房间偏小。', '短评打分': 4}
{'短评内容': '空调说是正在检修，晚上睡觉都冻感冒了', '短评打分': 3}
{'短评内容': '一般，没暖气，夏天还好', '短评打分': 3}
{'短评内容': '环境不错设施一般早餐很丰富.卫生也一般.', '短评打分': 3}
{'短评内容': '管理有问题，深更半夜阿姨开门。', '短评打分': 5}
{'短评内容': '上派最好的酒店了，一般吧，还算过得去。就是住的房间空调有问题，一直不制热，其他都还可以。', '短评打分': 5}
{'短评内容': '服务很好,可以下午两点才退房.下次去还是住这家酒店.', '短评打分': 5}
{'短评内容': '酒店环境不错，房间装修比较新，房间也很大，赞一个', '短评打分': 5}
{'短评内容': '这个酒店我可有话要说了.我定了两间房,在7楼.可是5楼有外包出去的KTV,KTV一直从晚上到早上都有人在撕声裂肺的唱.\n我打总台多个电话要求解决,后来又打110,110说要打12345市长热线,打到市长热线,还好,凌晨4时左右还有人接,很热情,但说应该归110管.于是市长热线接通三方热线,说是一会派人解决.但一直没动静.\n后来,我又打总台,总台把我们换到12楼.总算安静了.\n不过,这个酒店是四星级', '短评打分': 1}
{'短评内容': '酒店环境好，设施很新，性价比超过合肥一般5星酒店，附近吃饭很方便。', '短评打分': 5}
{'短评内容': '硬件还不错。。。房间偏小。。。早餐不够丰盛  性价比一般', '短评打分': 5}
{'短评内容': '房间采光不错，宽敞明亮，而且服务人员也很热情周到，对我们都特别照顾，挺亲切的.', '短评打分': 5}
{'短评内容': '很好的一家酒店，个人感觉这个档次很便宜，设施也很好。服务也好，晚上也问是否要重新打扫房间。', '短评打分': 5}
{'短评内容': '肥西最好的酒店，四星级，环境很好，房间设施很好。', '短评打分': 3}
{'短评内容': '肥西县最好的酒店，设施很好，h很干净，不错。', '短评打分': 5}
{'短评内容': ' 酒店不错，比较新，下次过来，还会选择！', '短评打分': 5}
{'短评内容': '去住了，很新的酒店，酒店设施还是不错的，很干净，服务也很好，就是周边环境差了点，但是在肥西县，这个酒店应该算是最好的了', '短评打分': 3}
{'短评内容': 'KTV在五楼，很吵，晚上休息不好。', '短评打分': 1}
{'短评内容': '不错，挺好', '短评打分': 5}
