{'短评内容': '早餐不错，价格便宜，服务态度好，环境也挺好！', '短评打分': 5}
{'短评内容': '还不错，适合出差住宿……', '短评打分': 5}
{'短评内容': '酒店位置在市中心，出行相当方便', '短评打分': 5}
{'短评内容': '每次来都住非常好！', '短评打分': 5}
{'短评内容': '晚上会有火车声 还挺怀旧的 其他的都中规中矩 停车场也有 交通也方便 开票服务啥的都挺好的 比较满意', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '有几间房靠近空调，吵得很厉害，不过找到服务台就把房间换了，作为快捷酒店，条件算好的，房间够大，周边吃饭也方便', '短评打分': 5}
{'短评内容': '房间服务都不错', '短评打分': 5}
{'短评内容': '房间很宽敞，也很干净，很不错，仅靠着雨山公园，散散步溜溜弯是个不错的选择，离马鞍山汽车站也不远，挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '喝水杯是纸杯子，不利环保建议更换，茶包该提供的，想喝个茶怎么弄喇。', '短评打分': 5}
{'短评内容': '不错，酒店环境非常好', '短评打分': 5}
{'短评内容': '挺好的，就是有点吵', '短评打分': 5}
{'短评内容': '还好，在外面住这样的可以了。', '短评打分': 5}
{'短评内容': '房间特别吵 底下卖电瓶车的七点就开始放音乐 噪音太大', '短评打分': 5}
{'短评内容': '房间大且干净，服务态度好。\n早餐价格贵了一点，其它尚可。下次还会入住。', '短评打分': 5}
{'短评内容': '房间比较大且干净整洁；不足的是早餐价格高了一点。', '短评打分': 5}
{'短评内容': '服务不错，早餐没试，不好评论。刚好碰上电梯事故，上下六楼还是有点累，不过是临时性的。2011年开张的，以房间内家具的损坏程度，硬件的维护保养有待提高，也许和本身的质量有关。美林小厨的饭菜质量有待提高，服务员素质有待专业化。\n总体性价比过得去，离好还有距离。', '短评打分': 5}
{'短评内容': '入住第二天，有个朋友也在那出差，帮他也定了这个酒店，他的评价是： 被子不是很舒服，兮兮松松的，没有如家的被子那么舒服。', '短评打分': 5}
{'短评内容': '房间还可以，但是早餐确实没啥吃的，应该做的好吃些，内容再丰富点。', '短评打分': 5}
{'短评内容': '還可以', '短评打分': 3}
{'短评内容': '到马鞍山出差基本上都住这个酒店。一个是因为酒店离办事的几个地方都比较近；另一个是酒店价格适中，卫生，房间等条件都还可以。', '短评打分': 5}
{'短评内容': '非常好的酒店，位置好，距离景区很近，前台服务也很好，早餐很超值，房间很温馨，性价比高，总之还会入住；；；；；；；；；；；', '短评打分': 5}
{'短评内容': '松子发表点评：很干净的酒店，下次来马鞍山还会选择入住，就是早餐内容太少，应该还要再丰富一些，比较好打车，服务态度不错。', '短评打分': 5}
{'短评内容': '相对来说，不错的酒店，房间比一般的快捷酒店大一些，交通也好，不过饭店里的午餐晚餐是相当的贵啊，建议适当降低一些', '短评打分': 5}
{'短评内容': '乾淨衛生\n經濟連鎖店還是有點標準\n下次還會住', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，价格也很低，不错，值得推荐。', '短评打分': 5}
{'短评内容': '靠铁路~很吵~一个晚上都没睡好觉~酒店本身还不错~装修可以~空间也够大~ 就是位置不好', '短评打分': 1}
{'短评内容': '空间很大 很舒适 环境也很好 水不太大', '短评打分': 3}
{'短评内容': '酒店不错，干净整洁，缺点是酒店中的美林小厨太贵了，与当地的经济水平及其不匹配', '短评打分': 5}
{'短评内容': '价格很便宜的，而且里面装修也是很好，服务还可以的', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 3}
{'短评内容': '很棒，设计理念不错，环境优越，性价比高！', '短评打分': 5}
{'短评内容': '以前住过，勉强OK,这次一塌糊涂，不说了，反正拜拜了', '短评打分': 1}
{'短评内容': '酒店不错，和其他莫泰差不多，该有的都有~~', '短评打分': 5}
{'短评内容': '半夜被噪音吵醒，叫服务员来看看，一直也没人来，呵呵。以后不来住了。', '短评打分': 1}
{'短评内容': '地理位置不错，在中心地带，周边出行很方便，这里的服务都挺好的，服务员热情周到，住宿环境很不错', '短评打分': 5}
{'短评内容': '很干净，不错！', '短评打分': 3}
{'短评内容': '还不错~环境可以，服务不错，早餐不错，就是隔音效果稍差', '短评打分': 5}
{'短评内容': '服务不积极，反应速度不行，整体感觉比其他整个快捷酒店有差距。', '短评打分': 1}
{'短评内容': '清爽、整洁，房间比较大，早餐一般，总体不错，值得推荐！', '短评打分': 5}
{'短评内容': '价格很便宜的，而且里面装修也是很好，服务还可以的，唯一就是停车不方便。', '短评打分': 5}
{'短评内容': '酒店很干净，值', '短评打分': 3}
{'短评内容': '别的都好，早餐太差，水里参了点牛奶。前台服务态度也不好。', '短评打分': 5}
{'短评内容': '总体设施很好，交通也算方便，性价比高，但是位置很多出租车司机找不到啊', '短评打分': 3}
{'短评内容': '总体设施很好，交通也算方便，性价比高。但是位置很多出租车司机都找不到啊', '短评打分': 5}
