{'descr': '我觉得还可以，就是停车不太好停', 'star': 4}
{'descr': '服务态度很好，而且房间里很干净，住在也舒服，早餐也不错', 'star': 5}
{'descr': '干净，卫生，服务态度很好，会一直支持七天连锁的', 'star': 5}
{'descr': '住宿挺好的，服务也好，手机充电器丢了给我补了一个，感谢', 'star': 5}
{'descr': '价格合适，但比较一般', 'star': 3}
{'descr': '很棒哦哦哦，，，', 'star': 5}
{'descr': '都挺好的  环境也不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '一如既往的好', 'star': 5}
{'descr': '还行吧，服务不错的', 'star': 5}
{'descr': '一般！卫生挺干净的，但是房子隔音效果太差，我就看个电视隔壁就叫着打扰睡觉了！卫生间纸也没有！', 'star': 5}
{'descr': '不错，下次再来', 'star': 5}
{'descr': '很好很好很好', 'star': 5}
{'descr': '房间干净', 'star': 5}
{'descr': '还行吧', 'star': 5}
{'descr': '一般般，还可以。离家近', 'star': 4}
{'descr': '一般般，还可以', 'star': 4}
{'descr': '代朋友預定', 'star': 5}
{'descr': '酒店位置不错，出差过来很干净也安静', 'star': 5}
{'descr': '服务好！', 'star': 5}
{'descr': '离高铁近、唯一的优点………………', 'star': 5}
{'descr': '交通便捷，', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '距離我出差地點近, 故選擇這間酒店, 房間乾淨, 但通風不佳, 或許跟窗戶被釘住有關, 另外因為在高鐵軌道旁, 且緊鄰第一大道, 所以難免吵些.附近有中華園鬧區,購物還算方便.', 'star': 4}
